"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Dr. Hector Luis Nevarez, MD, PA","(210) 224-6633","https://www.yellowpages.com/san-antonio-tx/mip/dr-hector-luis-nevarez-md-pa-14805999","Physicians & Surgeons, Ophthalmology,Medical Clinics,Physicians & Surgeons","http://vistaeyeassociates.com","","730 N Main Ave Ste 418","San Antonio","TX","78205","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"2. ","Retina Institute of South Texas, Dr. Wendall Bauman Jr. MD","(210) 654-0400","https://www.yellowpages.com/san-antonio-tx/mip/retina-institute-of-south-texas-dr-wendall-bauman-jr-md-21994571?lid=1001329772296","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","11651 Toepperwein Rd","San Antonio","TX","78233","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"3. ","Eye Associates of South Texas","(210) 697-3937","https://www.yellowpages.com/san-antonio-tx/mip/eye-associates-of-south-texas-474913165?lid=1001268012592","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Optometry Equipment & Supplies","https://www.eyeassociatesofsouthtexas.com/locations","","10935 Wurzbach Rd","San Antonio","TX","78230","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"4. ","Dr. Randy Owen Mauffray, MD","(210) 226-6169","https://www.yellowpages.com/san-antonio-tx/mip/dr-randy-owen-mauffray-md-541747180","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.saeye.com","","800 Mccullough Ave","San Antonio","TX","78215","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"5. ","Baribeau Cataract and Laser","(210) 692-8888","https://www.yellowpages.com/san-antonio-tx/mip/baribeau-cataract-and-laser-480289695","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Medical Clinics","http://baribeaueyes.com","","4025 E Southcross Blvd Bldg 4","San Antonio","TX","78222","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"6. ","The Eyeglass Shop","(210) 714-2848","https://www.yellowpages.com/san-antonio-tx/mip/the-eyeglass-shop-11752090","Physicians & Surgeons, Ophthalmology,Optometrists,Opticians","","","2526 Nacogdoches Rd","San Antonio","TX","78217","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"7. ","Today's Vision-Medical Center","(210) 530-2733","https://www.yellowpages.com/san-antonio-tx/mip/todays-vision-medical-center-6812463","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.todaysvision.com","","1955 Babcock Rd","San Antonio","TX","78229","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"8. ","Dr. Moises Alexander Chica, MD","(210) 615-1311","https://www.yellowpages.com/san-antonio-tx/mip/dr-moises-alexander-chica-md-8768743","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Medical Centers","http://www.retinasanantonio.com","","9480 Huebner Rd Ste 310","San Antonio","TX","78240","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"9. ","Dr. Monica Linette Allison, OD","(210) 495-9020","https://www.yellowpages.com/san-antonio-tx/mip/dr-monica-linette-allison-od-28419","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons, Family Medicine & General Practice","http://www.visionsource-stoneoak.com","","19202 Stone Oak Pkwy","San Antonio","TX","78258","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"10. ","Onofre Robert OD","(210) 561-6135","https://www.yellowpages.com/san-antonio-tx/mip/onofre-robert-od-504415137","Physicians & Surgeons, Ophthalmology,Optometrists","","","15900 La Cantera Pkwy","San Antonio","TX","78256","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"11. ","Dr. Raymond H. Hernandez Iii, MD","(210) 494-4741","https://www.yellowpages.com/san-antonio-tx/mip/dr-raymond-h-hernandez-iii-md-22814097","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Plastic & Reconstructive","http://www.sonterraeyes.com","","19292 Stone Oak Pkwy","San Antonio","TX","78258","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"12. ","Peter J Speicher MD","(210) 223-9707","https://www.yellowpages.com/san-antonio-tx/mip/peter-j-speicher-md-5618204","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Medical Clinics","","","730 N Main Ave Ste 418","San Antonio","TX","78205","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"13. ","Lisa Marten, MD","(210) 692-1388","https://www.yellowpages.com/san-antonio-tx/mip/lisa-marten-md-532549785","Physicians & Surgeons, Ophthalmology,Medical Clinics,Laser Vision Correction","","","2424 Babcock Rd Ste 101","San Antonio","TX","78229","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"14. ","Bellevue Eye Center","(210) 924-5121","https://www.yellowpages.com/san-antonio-tx/mip/bellevue-eye-center-13275093","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","","","1327 SW Military Dr","San Antonio","TX","78221","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"15. ","Arno Mary Hastings","(210) 225-3377","https://www.yellowpages.com/san-antonio-tx/mip/arno-mary-hastings-502826093?lid=1001329776478","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometry Equipment & Supplies","","","2520 Broadway St","San Antonio","TX","78215","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"16. ","Davis Vision Inc","(210) 245-2404","https://www.yellowpages.com/san-antonio-tx/mip/davis-vision-inc-467171917","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.davisvision.com","","175 E Houston St","San Antonio","TX","78205","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"17. ","Master Eye Associates","(210) 227-5095","https://www.yellowpages.com/san-antonio-tx/mip/master-eye-associates-468057676","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","","","175 E Houston St Ste 100","San Antonio","TX","78205","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"18. ","Terry, Arlo C, MD","(210) 223-5561","https://www.yellowpages.com/san-antonio-tx/mip/terry-arlo-c-md-458543904","Physicians & Surgeons, Ophthalmology","http://www.ophthalmologysa.com","","414 Navarro St Ste 400","San Antonio","TX","78205","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"19. ","Dr. Jeremiah J Brown Jr, MD","(210) 223-5561","https://www.yellowpages.com/san-antonio-tx/mip/dr-jeremiah-j-brown-jr-md-459065373","Physicians & Surgeons, Ophthalmology,Medical Clinics,Physicians & Surgeons","http://www.drjeremiahbrown.yourmd.com","","414 Navarro St Ste 400","San Antonio","TX","78205","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"20. ","Tsai Julie","(210) 225-8885","https://www.yellowpages.com/san-antonio-tx/mip/tsai-julie-473854826","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons","","","343 W Houston St Ste 109","San Antonio","TX","78205","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
"21. ","San Martin Eye Clinic","(210) 271-7575","https://www.yellowpages.com/san-antonio-tx/mip/san-martin-eye-clinic-30155317","Physicians & Surgeons, Ophthalmology,Optometrists,Laser Vision Correction","http://www.sanmartineyeclinic.com","","315 N San Saba Ste 100","San Antonio","TX","78207","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Antonio,%20Texas"
