"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Keshav Narain, MD","(408) 294-3534","https://www.yellowpages.com/san-jose-ca/mip/keshav-narain-md-464875502","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.southbayretina.com","","455 Oconnor Dr Ste 310","San Jose","CA","95128","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"2. ","Kas & Weiner Eye Center","(408) 773-6855","https://www.yellowpages.com/san-jose-ca/mip/kas-weiner-eye-center-6488858","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Physicians & Surgeons","http://www.optical-sanjose.com","","5710 Cahalan Ave","San Jose","CA","95123","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"3. ","Randal Pham, MD, MS, FACS","(408) 290-8265","https://www.yellowpages.com/san-jose-ca/mip/randal-pham-md-ms-facs-478565563","Physicians & Surgeons, Ophthalmology,Opticians,Physicians & Surgeons, Cosmetic Surgery","https://www.randalphammd.com","","989 Story Rd Unit 8063","San Jose","CA","95122","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"4. ","Sunrise Optometry","(408) 274-0998","https://www.yellowpages.com/san-jose-ca/mip/sunrise-optometry-458883729","Physicians & Surgeons, Ophthalmology,Optometrists","","","1818 Tully Rd","San Jose","CA","95122","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"5. ","Envision Optometry","(408) 281-1311","https://www.yellowpages.com/san-jose-ca/mip/envision-optometry-593706","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.eyeqoptometry.com","","1013 E Capitol Expy","San Jose","CA","95121","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"6. ","Story Optometry","(408) 920-7091","https://www.yellowpages.com/san-jose-ca/mip/story-optometry-453658937","Physicians & Surgeons, Ophthalmology,Optometrists","https://story-optometry.business.site","","992 Story Rd","San Jose","CA","95122","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"7. ","Jeanette Lee OD","(408) 433-0800","https://www.yellowpages.com/san-jose-ca/mip/jeanette-lee-od-5652368","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.2020eyesonline.com","","2555 N 1st St","San Jose","CA","95131","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"8. ","Donald D Drenth OD","(408) 295-0246","https://www.yellowpages.com/san-jose-ca/mip/donald-d-drenth-od-16770339","Physicians & Surgeons, Ophthalmology,Optometrists","http://infocusdoctors.com","","42 S 1st St","San Jose","CA","95113","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"9. ","Weyland B Dear OD","(408) 295-0246","https://www.yellowpages.com/san-jose-ca/mip/weyland-b-dear-od-1791621","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","http://www.infocusdoctors.com","","42 S 1st St","San Jose","CA","95113","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"10. ","Crest Optometry","(408) 372-7647","https://www.yellowpages.com/san-jose-ca/mip/crest-optometry-465423767","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","http://www.crestoptometry.com","","173 N Morrison Ave Ste E","San Jose","CA","95126","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"11. ","Charles Holt OD","(408) 293-2020","https://www.yellowpages.com/san-jose-ca/mip/charles-holt-od-560138030","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.sight2success.com","","678 E Santa Clara St","San Jose","CA","95112","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"12. ","Dr. Robert Masi, MD","(408) 869-3400","https://www.yellowpages.com/san-jose-ca/mip/dr-robert-masi-md-30685625","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.eyemedicalclinic.com","","220 Meridian Ave","San Jose","CA","95126","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"13. ","Dr. John Sullivan, MD","(408) 869-3400","https://www.yellowpages.com/san-jose-ca/mip/dr-john-sullivan-md-545186733","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Plastic & Reconstructive,Physicians & Surgeons, Family Medicine & General Practice","http://www.eyemedicalclinic.com","","220 Meridian Ave","San Jose","CA","95126","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"14. ","Dr. Roderick Biswell, MD","(408) 869-3400","https://www.yellowpages.com/san-jose-ca/mip/dr-roderick-biswell-md-545186735","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://www.eyemedicalclinic.com","","220 Meridian Ave","San Jose","CA","95126","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"15. ","Dr. Harmohina Bagga, MD","(408) 869-3400","https://www.yellowpages.com/san-jose-ca/mip/dr-harmohina-bagga-md-547566556","Physicians & Surgeons, Ophthalmology","","","220 Meridian Ave","San Jose","CA","95126","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"16. ","Jeanie Paik, MD","(408) 547-3455","https://www.yellowpages.com/san-jose-ca/mip/jeanie-paik-md-558607896","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","220 Meridian Ave","San Jose","CA","95126","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"17. ","Tamer M Hadi, MD","(408) 683-9948","https://www.yellowpages.com/san-jose-ca/mip/tamer-m-hadi-md-558613613","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","220 Meridian Ave","San Jose","CA","95126","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"18. ","Burton Worrell OD","(408) 947-2020","https://www.yellowpages.com/san-jose-ca/mip/burton-worrell-od-15985660","Physicians & Surgeons, Ophthalmology,Optometrists","","","545 Meridian Ave","San Jose","CA","95126","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"19. ","Clear Concepts Optometry","(408) 259-2020","https://www.yellowpages.com/san-jose-ca/mip/clear-concepts-optometry-512655172","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.clearconceptsoptometry.com","","1575 Alum Rock Ave","San Jose","CA","95116","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"20. ","Friendly Eye Care Optometry","(408) 292-2020","https://www.yellowpages.com/san-jose-ca/mip/friendly-eye-care-optometry-766579","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.friendlyoptometry.com","","730 Story Rd","San Jose","CA","95122","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"21. ","Dr. Paul Damon Anders, MD","(408) 292-5151","https://www.yellowpages.com/san-jose-ca/mip/dr-paul-damon-anders-md-467654938","Physicians & Surgeons, Ophthalmology","","","2039 Forest Ave Ste 308","San Jose","CA","95128","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"22. ","Dr. Sheila S Town, MD","(408) 293-8846","https://www.yellowpages.com/san-jose-ca/mip/dr-sheila-s-town-md-517478710","Physicians & Surgeons, Ophthalmology","","","2039 Forest Ave Ste 201","San Jose","CA","95128","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"23. ","Dr. Paul P De Figard, MD","(831) 393-9191","https://www.yellowpages.com/san-jose-ca/mip/dr-paul-p-de-figard-md-528971296","Physicians & Surgeons, Ophthalmology","","","2039 Forest Ave Ste 308","San Jose","CA","95128","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"24. ","Dr. Ho Sun H Choi, MD","(408) 777-6350","https://www.yellowpages.com/san-jose-ca/mip/dr-ho-sun-h-choi-md-559173374","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://sceyes.com","","2081 Forest Ave Ste 2","San Jose","CA","95128","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"25. ","Robert Neger","(408) 971-1949","https://www.yellowpages.com/san-jose-ca/mip/robert-neger-17488679","Physicians & Surgeons, Ophthalmology,Medical Clinics,Physicians & Surgeons","","","2100 Forest Ave","San Jose","CA","95128","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"26. ","Erin Brett Lally, MD","(408) 295-3433","https://www.yellowpages.com/san-jose-ca/mip/erin-brett-lally-md-531270100","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://ecsv.com","","2100 Forest Ave Ste 105","San Jose","CA","95128","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"27. ","Carey Bart MD","(408) 295-3433","https://www.yellowpages.com/san-jose-ca/mip/carey-bart-md-453602331","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.careyvision.com","","2110 Forest Ave Ste B","San Jose","CA","95128","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
"28. ","George M Hewes D","(408) 295-3433","https://www.yellowpages.com/san-jose-ca/mip/george-m-hewes-d-478482671","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.careyvision.com","","2110 Forest Ave Ste B","San Jose","CA","95128","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=San%20Jose,%20California"
