"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","First Sight Vision Services","(661) 260-1840","https://www.yellowpages.com/santa-clarita-ca/mip/first-sight-vision-services-467954983","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.firstsightvision.net","","26468 Carl Boyer Dr","Santa Clarita","CA","91350","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"2. ","The Vision Center","(661) 297-2020","https://www.yellowpages.com/santa-clarita-ca/mip/the-vision-center-4882705","Physicians & Surgeons, Ophthalmology,Optometrists,Optical Goods","http://thevisioncenter.com","","26506 Bouquet Canyon Rd","Santa Clarita","CA","91350","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"3. ","Optx Optometry","(661) 799-7464","https://www.yellowpages.com/valencia-ca/mip/optx-optometry-5472288","Physicians & Surgeons, Ophthalmology,Optometrists","http://myoptx.com","","24305 Town Center Dr Ste 160","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"4. ","A Children's Eye Care Specialist","(661) 255-5556","https://www.yellowpages.com/valencia-ca/mip/a-childrens-eye-care-specialist-903681?lid=1001416477361","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics-Ophthalmology,Physicians & Surgeons, Pediatrics","","","23501 Cinema Dr., Suite 109","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"5. ","Dr. Arnold A Barton, MD","(661) 259-6022","https://www.yellowpages.com/valencia-ca/mip/dr-arnold-a-barton-md-9768211","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://santa-clarita-carpet-cleaning.net","","23861 Mcbean Pkwy Ste E12","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"6. ","The Retina Partners","(661) 705-1075","https://www.yellowpages.com/valencia-ca/mip/the-retina-partners-561482599","Physicians & Surgeons, Ophthalmology,Opticians,Optometrists","https://www.theretinapartners.com?y_source=1_otgzotk2ms01ntmtbg9jyxrpb24ud2vic2l0zq%3d%3d","","23929 Mcbean Pkwy Ste 208","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"7. ","Dr. Brian B Gross, MD","(661) 255-6622","https://www.yellowpages.com/valencia-ca/mip/dr-brian-b-gross-md-468311597","Physicians & Surgeons, Ophthalmology","","","25880 Tournament Rd","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"8. ","Laser Eye Center","(661) 222-9500","https://www.yellowpages.com/valencia-ca/mip/laser-eye-center-497203013","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.lasereyecenter.com","","23838 Valencia Blvd # 110","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"9. ","Eyexam of California","(661) 287-9023","https://www.yellowpages.com/valencia-ca/mip/eyexam-of-california-552106401","Physicians & Surgeons, Ophthalmology,Optometrists,Opticians","http://lenscrafters.com","","24201 Valencia Blvd","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"10. ","Laser Eye Center","(661) 222-9500","https://www.yellowpages.com/valencia-ca/mip/laser-eye-center-514594326","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","","","23300 Cinema Dr","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"11. ","Abraham Eye Center","(661) 977-7377","https://www.yellowpages.com/valencia-ca/mip/abraham-eye-center-561427472","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","23501 Cinema Dr, Suite 116","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"12. ","Craig J. Helm, MD","(661) 259-3937","https://www.yellowpages.com/valencia-ca/mip/craig-j-helm-md-9605015","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","25775 Mcbean Pkwy","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"13. ","Valencia Eye Institute","(661) 253-5000","https://www.yellowpages.com/valencia-ca/mip/valencia-eye-institute-481098223","Physicians & Surgeons, Ophthalmology,Optometrists","","","23929 Mcbean Pkwy Ste 110","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"14. ","Dr. Yen Nguyen, MD","(661) 253-8000","https://www.yellowpages.com/valencia-ca/mip/dr-yen-nguyen-md-475251220","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Anesthesiology","","","23845 Mcbean Pkwy","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"15. ","Sun, Alice OD -Optometrist","(661) 259-1662","https://www.yellowpages.com/valencia-ca/mip/sun-alice-od-optometrist-533446327","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optometrists","https://www.drallandzeltser.com","","25862 Mcbean Pkwy","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"16. ","Chowdhury, Hasan Murad, MD","(661) 222-2600","https://www.yellowpages.com/valencia-ca/mip/chowdhury-hasan-murad-md-478692360","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Skin Care","https://www.providence.org/doctors/profile.aspx?name=hasan+m+chowdhury&id=200740#llaid=1158","","26357 Mcbean Pkwy Ste 300","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"17. ","National Vision","(661) 253-4121","https://www.yellowpages.com/stevenson-ranch-ca/mip/national-vision-474468499","Physicians & Surgeons, Ophthalmology,Optical Goods,Optical Goods Repair","http://www.nationalvision.com","","25450 The Old Rd","Stevenson Ranch","CA","91381","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"18. ","Firas Michael Rahhal MD","(661) 290-2336","https://www.yellowpages.com/valencia-ca/mip/firas-michael-rahhal-md-453524515","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","","","23501 Cinema Dr","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"19. ","Richard Roe MD","(661) 290-2336","https://www.yellowpages.com/valencia-ca/mip/richard-roe-md-471045397","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","","","23501 Cinema Dr","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"20. ","Retina Vitreous Associates Medical Group","(661) 290-2336","https://www.yellowpages.com/valencia-ca/mip/retina-vitreous-associates-medical-group-478690901","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","http://www.laretina.com","","23501 Cinema Dr","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"21. ","J Jill Hopkins MD","(661) 290-2336","https://www.yellowpages.com/valencia-ca/mip/j-jill-hopkins-md-541086505","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Laser Vision Correction","","","23501 Cinema Dr","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"22. ","Helm Vision Group","(661) 254-7200","https://www.yellowpages.com/valencia-ca/mip/helm-vision-group-1513503","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Opticians","http://www.2helmvisiongroup.com","","27420 Tourney Rd #100","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"23. ","Santa Clarita Family Optometry","(661) 255-2050","https://www.yellowpages.com/valencia-ca/mip/santa-clarita-family-optometry-482319606","Physicians & Surgeons, Ophthalmology,Optometrists","","","23138 Valencia Blvd","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"24. ","Dr. Craig Helm","(661) 259-3937","https://www.yellowpages.com/valencia-ca/mip/dr-craig-helm-460226953","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","27420 Tourney Rd","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"25. ","Laser Vision Center of Santa Clarita","(661) 255-6622","https://www.yellowpages.com/valencia-ca/mip/laser-vision-center-of-santa-clarita-534988010","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.helmvisiongroup.com","","27420 Tourney Rd","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"26. ","Aleksandr Yelenskiy, MD","(661) 259-3937","https://www.yellowpages.com/valencia-ca/mip/aleksandr-yelenskiy-md-553614386","Physicians & Surgeons, Ophthalmology","","","27420 Tourney Rd Ste 100","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"27. ","Advanced Vision Care Optometry","(661) 257-4499","https://www.yellowpages.com/valencia-ca/mip/advanced-vision-care-optometry-504721878","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","https://visionsource-advopt.com","","27674 Newhall Ranch Rd","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"28. ","First Sight Vision Services","(661) 295-4990","https://www.yellowpages.com/valencia-ca/mip/first-sight-vision-services-471139395","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Optical Goods","http://firstsightvision.net","","27931 Kelly Johnson Pkwy","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"29. ","Teagle Optometry","(661) 253-3888","https://www.yellowpages.com/valencia-ca/mip/teagle-optometry-4761482","Physicians & Surgeons, Ophthalmology,Optometrists,Laser Vision Correction","http://www.teagleoptometry.com","","27011 McBean Pkwy","Valencia","CA","91355","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
"30. ","Family Eyecare","(661) 253-3662","https://www.yellowpages.com/valencia-ca/mip/family-eyecare-14493796","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.familyeyecare.com","","26926 The Old Rd","Valencia","CA","91381","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Santa%20Clarita,%20California"
