"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Russell Van Norman, MD","(318) 861-4009","https://www.yellowpages.com/shreveport-la/mip/russell-van-norman-md-478923987","Physicians & Surgeons, Ophthalmology","https://www.shreveporteyesurgery.com","","1801 Fairfield Avenue Suite 207","Shreveport","LA","71101","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"2. ","Lusk Eye Specialists - Shreveport","(318) 222-5555","https://www.yellowpages.com/shreveport-la/mip/lusk-eye-specialists-shreveport-21535336","Physicians & Surgeons, Ophthalmology,Contact Lenses,Optical Goods","https://www.luskeye.com/?utm_source=OffSite&utm_medium=GMBandOtherOffSiteDirectories","","451 Ashley Ridge Blvd","Shreveport","LA","71106","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"3. ","Alan B Richards MD","(318) 222-8402","https://www.yellowpages.com/shreveport-la/mip/alan-b-richards-md-483464480","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Pediatrics-Ophthalmology,Physicians & Surgeons","http://www.eyeseerichards.com","","1400 E Bert Kouns Industrial Loop Ste 103","Shreveport","LA","71105","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"4. ","Vekovius, Bryan MD,Dr","(318) 675-3733","https://www.yellowpages.com/shreveport-la/mip/vekovius-bryan-md-dr-455899585?lid=1000439726740","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Plastic & Reconstructive,Laser Vision Correction","http://www.drveko.com","","450 Ashley Ridge Blvd","Shreveport","LA","71106","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"5. ","Vitreo, Retinal Associates","(318) 222-8421","https://www.yellowpages.com/shreveport-la/mip/vitreo-retinal-associates-478911804","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.vitreoretinalassociates.com","","836 Olive St","Shreveport","LA","71104","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"6. ","Wyche Taylor Coleman III","(318) 212-5901","https://www.yellowpages.com/shreveport-la/mip/wyche-taylor-coleman-iii-467174291","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.wkeyeinstitute.com","","2530 Bert Kouns Industrial Loop","Shreveport","LA","71118","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"7. ","Steen-hall Eye Institute","(318) 621-3000","https://www.yellowpages.com/shreveport-la/mip/steen-hall-eye-institute-473232655","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Physicians & Surgeons, Cosmetic Surgery","","","333 Texas St Ste 1525","Shreveport","LA","71101","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"8. ","Eye Care Specialists Of Louisiana LLC.","(318) 841-3937","https://www.yellowpages.com/shreveport-la/mip/eye-care-specialists-of-louisiana-llc-450928804","Physicians & Surgeons, Ophthalmology","","","1801 Fairfield Ave","Shreveport","LA","71101","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"9. ","Shreveport Eye Specialists","(318) 606-5470","https://www.yellowpages.com/shreveport-la/mip/shreveport-eye-specialists-542539482","Physicians & Surgeons, Ophthalmology,Optometrists,Physicians & Surgeons","","","1801 Fairfield Ave Ste 408","Shreveport","LA","71101","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"10. ","John B Carmody, Other","(318) 841-3937","https://www.yellowpages.com/shreveport-la/mip/john-b-carmody-other-544273223","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","https://visionsource-eyecareinc.com","","1801 Fairfield Ave Ste 103","Shreveport","LA","71101","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"11. ","Rambin Regina","(318) 222-8421","https://www.yellowpages.com/shreveport-la/mip/rambin-regina-478906421","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Surgery-General","","","836 Olive St","Shreveport","LA","71104","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"12. ","Dr. Miles Gregory Clayton, MD","(318) 224-8411","https://www.yellowpages.com/shreveport-la/mip/dr-miles-gregory-clayton-md-529462603","Physicians & Surgeons, Ophthalmology","https://www.va.gov/sta/guide/home.as","","510 E Stoner Ave","Shreveport","LA","71101","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"13. ","Brian David Walker, MD","(713) 500-6500","https://www.yellowpages.com/shreveport-la/mip/brian-david-walker-md-567189833","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1420 Kings Hwy","Shreveport","LA","71103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"14. ","Ganley, James MD DRPH LSU","(318) 675-5010","https://www.yellowpages.com/shreveport-la/mip/ganley-james-md-drph-lsu-12971530","Physicians & Surgeons, Ophthalmology","","","1501 Kings Hwy","Shreveport","LA","71103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"15. ","Dr. Kristin K Madonia, MD","(318) 675-5980","https://www.yellowpages.com/shreveport-la/mip/dr-kristin-k-madonia-md-463734300","Physicians & Surgeons, Ophthalmology","","","1501 Kings Hwy","Shreveport","LA","71103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
"16. ","Dr. Arthur A Kavanaugh, MD","(318) 675-5010","https://www.yellowpages.com/shreveport-la/mip/dr-arthur-a-kavanaugh-md-466150198","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://lsuhscshreveport.edu","","1501 Kings Hwy","Shreveport","LA","71103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Shreveport,%20Louisiana"
