"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Midtown Optometry","(209) 957-8000","https://www.yellowpages.com/stockton-ca/mip/midtown-optometry-30899418","Physicians & Surgeons, Ophthalmology,Optometrists","http://www.midtownoptometry.com","","1101 E March Ln","Stockton","CA","95210","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Stockton,%20California"
"2. ","Eye Care Associates","(209) 477-0296","https://www.yellowpages.com/stockton-ca/mip/eye-care-associates-22916511","Physicians & Surgeons, Ophthalmology,Optometrists","","","2087 Grand Canal Blvd","Stockton","CA","95207","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Stockton,%20California"
"3. ","Heritage Eye, Skin & Laser Center","(209) 465-5933","https://www.yellowpages.com/stockton-ca/mip/heritage-eye-skin-laser-center-478469212","Physicians & Surgeons, Ophthalmology,Contact Lenses,Eyeglasses","http://www.heritageeye.com","","445 W Poplar St","Stockton","CA","95203","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Stockton,%20California"
"4. ","Daniel Wee, MD","(209) 623-4700","https://www.yellowpages.com/stockton-ca/mip/daniel-wee-md-545081113","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://centerforsightstockton.com","","1899 W March Ln","Stockton","CA","95207","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Stockton,%20California"
"5. ","Nakanishi Alan MD MS FACS","(209) 478-1797","https://www.yellowpages.com/stockton-ca/mip/nakanishi-alan-md-ms-facs-533161102?lid=1000438564031","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Orthopedics,Medical Equipment & Supplies","http://deltaeyemedicalgroup.com","","1617 Saint Marks Plz Ste D","Stockton","CA","95207","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Stockton,%20California"
"6. ","Zeiter Eye Medical Group Inc.","(209) 466-5566","https://www.yellowpages.com/stockton-ca/mip/zeiter-eye-medical-group-inc-461700979","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Physicians & Surgeons, Plastic & Reconstructive","http://www.zeitereye.com","","255 E Weber Ave","Stockton","CA","95202","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Stockton,%20California"
"7. ","Edington, Philip A, MD","(209) 948-5515","https://www.yellowpages.com/stockton-ca/mip/edington-philip-a-md-3667202","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://centerforsight.org","","1805 N California St Ste 101","Stockton","CA","95204","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Stockton,%20California"
"8. ","Dr. Kala Swamynathan, MD","(209) 948-5515","https://www.yellowpages.com/stockton-ca/mip/dr-kala-swamynathan-md-4595043","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1805 N California St","Stockton","CA","95204","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Stockton,%20California"
"9. ","Nod Motors","(209) 451-4322","https://www.yellowpages.com/stockton-ca/mip/nod-motors-169927","Physicians & Surgeons, Ophthalmology,Optometrists","","","1504 S Mariposa Rd","Stockton","CA","95205","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Stockton,%20California"
"10. ","All City Optometry","(209) 951-4506","https://www.yellowpages.com/stockton-ca/mip/all-city-optometry-537937601","Physicians & Surgeons, Ophthalmology,Optometrists","https://www.vichood.com/location.html","","1069 W March Ln","Stockton","CA","95207","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Stockton,%20California"
