"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Retina Vitreous Associates Inc","(419) 251-4367","https://www.yellowpages.com/toledo-oh/mip/retina-vitreous-associates-inc-452874246","Physicians & Surgeons, Ophthalmology,Optometrists","","","2213 Cherry St","Toledo","OH","43608","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Toledo,%20Ohio"
"2. ","Dr. Charles King Dabbs, MD","(419) 251-4367","https://www.yellowpages.com/toledo-oh/mip/dr-charles-king-dabbs-md-505112621","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","2213 Cherry St","Toledo","OH","43608","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Toledo,%20Ohio"
"3. ","Dr. Daniel F Marcus, MD","(419) 479-6181","https://www.yellowpages.com/toledo-oh/mip/dr-daniel-f-marcus-md-16753395","Physicians & Surgeons, Ophthalmology","","","2109 Hughes Dr Fl E","Toledo","OH","43606","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Toledo,%20Ohio"
"4. ","Garrabrant Michele A OD","(419) 471-2020","https://www.yellowpages.com/toledo-oh/mip/garrabrant-michele-a-od-458556755","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons, Plastic & Reconstructive,Physicians & Surgeons, Family Medicine & General Practice","http://www.visionassociates.net","","2109 Hughes Dr","Toledo","OH","43606","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Toledo,%20Ohio"
"5. ","Prinstein Andrea C OD","(419) 472-2020","https://www.yellowpages.com/toledo-oh/mip/prinstein-andrea-c-od-7378628","Physicians & Surgeons, Ophthalmology,Optometrists","","","","Toledo","OH","43613","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Toledo,%20Ohio"
"6. ","Toledo Family Eyecare","(419) 474-6122","https://www.yellowpages.com/toledo-oh/mip/toledo-family-eyecare-454560115","Physicians & Surgeons, Ophthalmology","","","4565 Monroe St","Toledo","OH","43613","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Toledo,%20Ohio"
"7. ","Optivue","(419) 476-5333","https://www.yellowpages.com/toledo-oh/mip/optivue-2430473","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.midwesteyeconsultants.com","","5733 Lewis Ave","Toledo","OH","43612","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Toledo,%20Ohio"
"8. ","Sunforest Vision Center Inc","(419) 475-9251","https://www.yellowpages.com/toledo-oh/mip/sunforest-vision-center-inc-21839909","Physicians & Surgeons, Ophthalmology,Optical Goods,Physicians & Surgeons, Surgery-General","","","3915 Sunforest Ct Ste 3","Toledo","OH","43623","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Toledo,%20Ohio"
"9. ","Dr. Abraham Yap Sim, MD","(419) 475-9251","https://www.yellowpages.com/toledo-oh/mip/dr-abraham-yap-sim-md-537673323","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Osteopathic Clinics","http://www.drabrahamsim.yourmd.com","","3915 Sunforest Ct","Toledo","OH","43623","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Toledo,%20Ohio"
"10. ","Associated Eye Care","(419) 882-0588","https://www.yellowpages.com/toledo-oh/mip/associated-eye-care-481820520","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://www.manta.com/c/mbsx5t5/associated-eye-care","","3915 Sunforest Ct","Toledo","OH","43623","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Toledo,%20Ohio"
