"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Alma Irma Murphy, MD","(520) 323-1313","https://www.yellowpages.com/tucson-az/mip/alma-irma-murphy-md-539525136","Physicians & Surgeons, Ophthalmology","https://eyesaz.com","","490 N Alvernon Way","Tucson","AZ","85711","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Tucson,%20Arizona"
"2. ","Hodges Eye Care & Surgical Center","(520) 326-4321","https://www.yellowpages.com/tucson-az/mip/hodges-eye-care-surgical-center-539632530","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Medical Clinics","http://www.hodgeseyecare.com","","1502 N Tucson Blvd","Tucson","AZ","85716","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Tucson,%20Arizona"
"3. ","Retina Associates","(520) 365-4814","https://www.yellowpages.com/tucson-az/mip/retina-associates-4200354?lid=1002015506090","Physicians & Surgeons, Ophthalmology,Opticians,Optometrists","http://retinatucson.com","","6561 E Carondelet Dr","Tucson","AZ","85710","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Tucson,%20Arizona"
"4. ","Southwestern Eye Center","(520) 790-8888","https://www.yellowpages.com/tucson-az/mip/southwestern-eye-center-481186834","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.sweye.com","","5632 E 5th St","Tucson","AZ","85711","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Tucson,%20Arizona"
"5. ","Wayne W Bixenman, MD","(520) 886-4137","https://www.yellowpages.com/tucson-az/mip/wayne-w-bixenman-md-25148257","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","http://www.eldoradoeye.com","","1500 N Wilmot Rd Ste 180C","Tucson","AZ","85712","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Tucson,%20Arizona"
"6. ","Nationwide Vision Tucson Az Office","(520) 807-5721","https://www.yellowpages.com/tucson-az/mip/nationwide-vision-tucson-az-office-11777659","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","http://www.nationwidevision.com","","1685 W Valencia Rd Ste 105","Tucson","AZ","85746","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Tucson,%20Arizona"
"7. ","Arizona Eye Consultants","(520) 327-3487","https://www.yellowpages.com/tucson-az/mip/arizona-eye-consultants-12928478","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Medical Clinics","http://www.arizonaeyeconsultants.com","","6422 E Speedway Blvd Ste 100","Tucson","AZ","85710","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Tucson,%20Arizona"
"8. ","Maltzman, Jeffrey S, MD","(520) 878-9283","https://www.yellowpages.com/tucson-az/mip/maltzman-jeffrey-s-md-10637940","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Medical Clinics","http://www.eyestucson.com","","10425 N Oracle Rd","Tucson","AZ","85737","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Tucson,%20Arizona"
"9. ","Tucson Eye Physicians","(520) 399-6117","https://www.yellowpages.com/tucson-az/mip/tucson-eye-physicians-468868905?lid=1002013242589","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Opticians","https://www.tucsonvision.com","","1745 E Skyline Dr","Tucson","AZ","85718","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Tucson,%20Arizona"
"10. ","Clarity Eye Care & Surgery - Kristin Carter, MD","(520) 230-5064","https://www.yellowpages.com/tucson-az/mip/clarity-eye-care-surgery-kristin-carter-md-503133902?lid=1001942479947","Physicians & Surgeons, Ophthalmology,Optometry Equipment & Supplies,Opticians","http://www.clarityeyes.com","","1615 N Swan Rd","Tucson","AZ","85712","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Tucson,%20Arizona"
