"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Triad Ophthalmic Physicians PLLC","(336) 760-2240","https://www.yellowpages.com/winston-salem-nc/mip/triad-ophthalmic-physicians-pllc-480110285","Physicians & Surgeons, Ophthalmology","http://triadeyedocs.com","","150 Kimel Park Dr","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"2. ","Fox Eye Care Group","(336) 701-6811","https://www.yellowpages.com/winston-salem-nc/mip/fox-eye-care-group-478330537?lid=1000540187491","Physicians & Surgeons, Ophthalmology,Medical Equipment & Supplies,Optical Goods-Wholesale & Manufacturers","http://www.foxeyecare.com","","100 Hanes Mall Blvd","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"3. ","Gregory P Temas MD","(336) 659-8180","https://www.yellowpages.com/winston-salem-nc/mip/gregory-p-temas-md-496802983?lid=1001011874872","Physicians & Surgeons, Ophthalmology,Laser Vision Correction,Optometrists","http://temaseye.com","","725 Highland Oaks Dr Ste 101","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"4. ","Piedmont Ophthalmic Studies","(336) 723-5577","https://www.yellowpages.com/winston-salem-nc/mip/piedmont-ophthalmic-studies-14700557","Physicians & Surgeons, Ophthalmology,Optical Goods,Optometrists","","","224 Town Run Ln","Winston Salem","NC","27101","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"5. ","Branch, James D.","(336) 723-0748","https://www.yellowpages.com/winston-salem-nc/mip/branch-james-d-545448918","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","224 Town Run Ln","Winston Salem","NC","27101","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"6. ","Lee Hewitt Opticians","(336) 725-5800","https://www.yellowpages.com/winston-salem-nc/mip/lee-hewitt-opticians-520105724","Physicians & Surgeons, Ophthalmology,Optometrists,Opticians","","","500 W 4th St Ste 102","Winston Salem","NC","27101","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"7. ","Istock, Tim, OD","(336) 716-4091","https://www.yellowpages.com/winston-salem-nc/mip/istock-tim-od-469885357","Physicians & Surgeons, Ophthalmology,Optical Goods,Medical Centers","http://wakehealth.edu","","Optical Designs At Janeway","Winston Salem","NC","27157","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"8. ","Gillian Gabrielle Treadwell, MD","(336) 716-1322","https://www.yellowpages.com/winston-salem-nc/mip/gillian-gabrielle-treadwell-md-565666798","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","Medical Center Blvd","Winston Salem","NC","27157","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"9. ","Greven, Craig M, MD","(336) 716-4091","https://www.yellowpages.com/winston-salem-nc/mip/greven-craig-m-md-465049632","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optical Goods","http://wakehealth.edu","","1 Medical Center Blvd","Winston Salem","NC","27157","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"10. ","Dr. Keith Andrew Walter, MD","(336) 716-4091","https://www.yellowpages.com/winston-salem-nc/mip/dr-keith-andrew-walter-md-470395524","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","http://wakehealth.edu","","1 Medical Center Blvd","Winston Salem","NC","27157","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"11. ","Tyler Christian Goff, MD","(336) 716-5222","https://www.yellowpages.com/winston-salem-nc/mip/tyler-christian-goff-md-546055610","Physicians & Surgeons, Ophthalmology","","","1 Medical Center Blvd","Winston Salem","NC","27157","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"12. ","Jessica Erin Weinstein, MD","(859) 323-5867","https://www.yellowpages.com/winston-salem-nc/mip/jessica-erin-weinstein-md-566386012","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","1 Medical Center Blvd","Winston Salem","NC","27157","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"13. ","Buena Vista Eye Pc","(336) 723-2555","https://www.yellowpages.com/winston-salem-nc/mip/buena-vista-eye-pc-7513654","Physicians & Surgeons, Ophthalmology,Optical Goods,Opticians","","","1214 Reynolda Rd","Winston Salem","NC","27104","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"14. ","Louis N Gottlieb MD","(336) 723-1041","https://www.yellowpages.com/winston-salem-nc/mip/louis-n-gottlieb-md-10857595","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","631 Coliseum Dr","Winston Salem","NC","27106","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"15. ","Henry Warren Burnett, MD","(336) 765-3930","https://www.yellowpages.com/winston-salem-nc/mip/henry-warren-burnett-md-464430105","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons,Optometrists","https://www.novanthealth.org/home/patients--visitors/our-doctors/find-a-doctor/npi/1023078821/henry-w-burnett.aspx","","110 Oakwood Dr Ste 380","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"16. ","Forsyth Eye Health and Surgery, PC","(336) 842-5477","https://www.yellowpages.com/winston-salem-nc/mip/forsyth-eye-health-and-surgery-pc-553538176","Physicians & Surgeons, Ophthalmology,Medical Centers,Optometrists","https://www.forsytheyehealth.com","","2827 Lyndhurst Ave","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"17. ","Dunn, Leslie T, OD","(336) 765-5788","https://www.yellowpages.com/winston-salem-nc/mip/dunn-leslie-t-od-535446016","Physicians & Surgeons, Ophthalmology,Optometrists","","","800 S Stratford Rd","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"18. ","Triangle Visions Optometry","(336) 765-8130","https://www.yellowpages.com/winston-salem-nc/mip/triangle-visions-optometry-546352226","Physicians & Surgeons, Ophthalmology,Optometrists","https://www.trianglevisions.com/locations/winston-salem","","3111 Maplewood Ave Ste 103","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"19. ","Davis, Roger OD","(336) 765-5350","https://www.yellowpages.com/winston-salem-nc/mip/davis-roger-od-14234176","Physicians & Surgeons, Ophthalmology,Optometrists","","","3316 Silas Creek Pkwy","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"20. ","Davis, Lisa OD","(336) 765-5350","https://www.yellowpages.com/winston-salem-nc/mip/davis-lisa-od-482594320","Physicians & Surgeons, Ophthalmology,Optometrists","http://daviseye.com","","3316 Silas Creek Pkwy","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"21. ","Triad Eye Doc","(336) 760-2240","https://www.yellowpages.com/winston-salem-nc/mip/triad-eye-doc-561745762","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","150 Kimel Park Dr","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"22. ","Central Piedmont Retina","(336) 602-2801","https://www.yellowpages.com/winston-salem-nc/mip/central-piedmont-retina-461548302","Physicians & Surgeons, Ophthalmology,Medical Clinics,Optometrists","","","3333 Brookview Hills Blvd","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
"23. ","Dr. John Thomas Harriott, MD","(336) 602-2801","https://www.yellowpages.com/winston-salem-nc/mip/dr-john-thomas-harriott-md-470871699","Physicians & Surgeons, Ophthalmology,Physicians & Surgeons","","","3333 Brookview Hills Blvd","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lasik%20Eye%20Surgery%20Clinics&geo_location_terms=Winston-Salem,%20North%20Carolina"
