"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Wagner Dean R","(330) 535-9149","https://www.yellowpages.com/akron-oh/mip/wagner-dean-r-458944334?lid=1000232151546","Attorneys,Employee Benefits & Worker Compensation Attorneys,Labor & Employment Law Attorneys","http://www.deanwagner.com/","","1 Cascade Plz","Akron","OH","44308","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Akron,%20Ohio"
"2. ","Roderick Linton Belfance","(330) 434-3000","https://www.yellowpages.com/akron-oh/mip/roderick-linton-belfance-482197817?lid=1001657194641","Attorneys,Family Law Attorneys,Medical Malpractice Attorneys","http://www.rlbllp.com","","50 S Main St","Akron","OH","44308","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Akron,%20Ohio"
"3. ","Associated Court Reporting Inc.","(234) 542-8555","https://www.yellowpages.com/akron-oh/mip/associated-court-reporting-inc-22969088?lid=1001627295268","Attorneys,Stenographers-Public,Court & Convention Reporters","http://www.associatedcourtreporting.com","","441 Wolf Ledges Pkwy Ste 106","Akron","OH","44311","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Akron,%20Ohio"
"4. ","Grant  Paul M","(330) 730-0834","https://www.yellowpages.com/akron-oh/mip/grant-paul-m-533203399?lid=1002104190710","Attorneys,Accident & Property Damage Attorneys,Divorce Attorneys","http://www.grant-law.com","","209 S Main St Fl 8","Akron","OH","44308","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Akron,%20Ohio"
"5. ","Ciccolini  & Associates Company Lpa","(330) 753-1051","https://www.yellowpages.com/akron-oh/mip/ciccolini-associates-company-lpa-547434338?lid=1002104082032","Attorneys,Probate Law Attorneys,Accident & Property Damage Attorneys","http://www.ciccolinilawfirm.com","","2715 Manchester","Akron","OH","44319","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Akron,%20Ohio"
"6. ","Skidmore & Associates Co","(330) 835-6517","https://www.yellowpages.com/akron-oh/mip/skidmore-associates-co-543047881?lid=1001959841262","Attorneys,Estate Planning Attorneys,Construction Law Attorneys","http://www.skidmorelaw.com","","1 Cascade Plz","Akron","OH","44308","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Akron,%20Ohio"
"7. ","Skidmore & Associates","(234) 206-8614","https://www.yellowpages.com/akron-oh/mip/skidmore-associates-516219271?lid=1001780222413","Attorneys,General Practice Attorneys,Real Estate Attorneys","http://www.skidmorelaw.com/index.html","","1 Cascade Plz","Akron","OH","44308","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Akron,%20Ohio"
"8. ","Brown, Robert H Aty","(330) 376-3000","https://www.yellowpages.com/akron-oh/mip/brown-robert-h-aty-13605454?lid=1001055183734","Attorneys,Family Law Attorneys,Divorce Attorneys","","","120 E Mill St Ste 407A","Akron","OH","44308","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Akron,%20Ohio"
"9. ","Delino Lawrence JR Attorney at Law","(330) 535-9330","https://www.yellowpages.com/akron-oh/mip/delino-lawrence-jr-attorney-at-law-514595420?lid=1001235413269","Attorneys,Family Law Attorneys,Personal Injury Law Attorneys","http://none@none.com","","137 S Main St Ste 204","Akron","OH","44308","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Akron,%20Ohio"
"10. ","Young & Yeargin","(330) 784-8800","https://www.yellowpages.com/akron-oh/mip/young-yeargin-28488554?lid=1001657187826","Attorneys,Wills, Trusts & Estate Planning Attorneys,Probate Law Attorneys","","","507 Canton Rd","Akron","OH","44312","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Akron,%20Ohio"
