"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Budagher & Associates","(505) 375-2462","https://www.yellowpages.com/albuquerque-nm/mip/budagher-associates-467265745?lid=1002084688670","Attorneys,Tax Attorneys,Estate Planning Attorneys","http://www.budagherlaw.com","","3500 Comanche Rd NE Ste B","Albuquerque","NM","87107","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"2. ","Law  Offices of Christopher C. Marlowe, LLC","(505) 226-0842","https://www.yellowpages.com/albuquerque-nm/mip/law-offices-of-christopher-c-marlowe-llc-544533982?lid=1002067062150","Attorneys,Family Law Attorneys,Personal Injury Law Attorneys","http://www.christophermarlowelaw.com","","820 2nd St NW","Albuquerque","NM","87102","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"3. ","Caruso Law Offices, PC","(505) 226-3561","https://www.yellowpages.com/albuquerque-nm/mip/caruso-law-offices-pc-1656204?lid=371824670","Attorneys,Transportation Law Attorneys,Legal Service Plans","http://www.carusolaw.com","","4302 Carlisle Blvd NE","Albuquerque","NM","87107","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"4. ","Narvaez Law Firm, P. A.","(505) 273-8537","https://www.yellowpages.com/albuquerque-nm/mip/narvaez-law-firm-p-a-7135942?lid=1002078846999","Attorneys,Civil Litigation & Trial Law Attorneys,Labor & Employment Law Attorneys","https://narvaezlawfirm.com","","601 Rio Grande Blvd NW","Albuquerque","NM","87104","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"5. ","Madison, Mroz, Steinman, Kenny & Olexy, P.A.","(505) 242-2177","https://www.yellowpages.com/albuquerque-nm/mip/madison-mroz-steinman-kenny-olexy-p-a-460666354?lid=1001659683193","Attorneys,Business Law Attorneys,Employee Benefits & Worker Compensation Attorneys","http://www.madisonlaw.com","","201 3rd St NW","Albuquerque","NM","87102","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"6. ","Cheryl McLean","(505) 545-6210","https://www.yellowpages.com/albuquerque-nm/mip/cheryl-mclean-14030235?lid=1002102508069","Attorneys,Personal Injury Law Attorneys,Accident & Property Damage Attorneys","https://www.duhigglaw.com","","914 Lomas Boulevard Northwest","Albuquerque","NM","87102","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"7. ","Ken Wagner Law, P.A.","(505) 369-7731","https://www.yellowpages.com/albuquerque-nm/mip/ken-wagner-law-p-a-478692069?lid=1002076695636","Attorneys,Personal Injury Law Attorneys,Family Law Attorneys","http://www.kenwagnerlaw.com","","200 Lomas Blvd NW Ste 850","Albuquerque","NM","87102","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"8. ","Geer Wissel & Levy","(505) 633-5273","https://www.yellowpages.com/albuquerque-nm/mip/geer-wissel-levy-455820233?lid=1002074142295","Attorneys,General Practice Attorneys,Discrimination & Civil Rights Law Attorneys","http://www.gwlpa.com","","20 First Plaza Ctr NW Ste 306","Albuquerque","NM","87102","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"9. ","Cuddy & McCarthy LLP","(505) 886-2903","https://www.yellowpages.com/albuquerque-nm/mip/cuddy-mccarthy-llp-496618747?lid=1002075549973","Attorneys,General Practice Attorneys","http://cuddymccarthy.com","","7770 Jefferson St NE","Albuquerque","NM","87109","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"10. ","Kenneth C Leach & Associates PC","(505) 333-8941","https://www.yellowpages.com/albuquerque-nm/mip/kenneth-c-leach-associates-pc-3111055?lid=1002101326767","Attorneys,Business Law Attorneys,Environment & Natural Resources Law Attorneys","http://www.kcleachlaw.com","","320 Osuna Rd NE","Albuquerque","NM","87107","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"11. ","Ortiz LeeAnn Attorney At Law","(505) 243-7671","https://www.yellowpages.com/albuquerque-nm/mip/ortiz-leeann-attorney-at-law-431411?lid=1001896928360","Attorneys,Wrongful Death Attorneys,Accident & Property Damage Attorneys","","","1216 Lomas Blvd NW","Albuquerque","NM","87102","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"12. ","William Lock Law Offices","(505) 880-1200","https://www.yellowpages.com/albuquerque-nm/mip/william-lock-law-offices-6652471?lid=1002103508370","Attorneys,Estate Planning Attorneys,Estate Planning, Probate, & Living Trusts","","","5732 Osuna Rd NE","Albuquerque","NM","87109","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
"13. ","Corbin Hildebrandt, P.C.","(505) 998-6626","https://www.yellowpages.com/albuquerque-nm/mip/corbin-hildebrandt-p-c-1582224?lid=1001867942025","Attorneys,Insurance,Personal Injury Law Attorneys","","","1400 Central Ave SE Ste 2000","Albuquerque","NM","87106","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Albuquerque,%20New%20Mexico"
