"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Durham Law Firm","(762) 222-1738","https://www.yellowpages.com/evans-ga/mip/durham-law-firm-469572915?lid=1002075085813","Attorneys,Criminal Law Attorneys,Civil Litigation & Trial Law Attorneys","http://www.durhamlawfirm.net","","2560 Trade Center Drive","Evans","GA","30809","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"2. ","Floyd Leopard & Blake LLP","(706) 724-7511","https://www.yellowpages.com/augusta-ga/mip/floyd-leopard-blake-llp-7766820?lid=1001434461149","Attorneys,Automobile Accident Attorneys,Divorce Assistance","http://www.greenestreetlaw.com","","461 Greene St","Augusta","GA","30901","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"3. ","Goff Stephen L","(706) 790-4837","https://www.yellowpages.com/augusta-ga/mip/goff-stephen-l-466241430","Attorneys","","","3564 Monte Carlo Dr","Augusta","GA","30906","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"4. ","TRAFFIC TICKET DEFENSE ATTORNEYS","(877) 787-2334","https://www.yellowpages.com/nationwide/mip/traffic-ticket-defense-attorneys-496530037?lid=1000936632521","Attorneys,Traffic Law Attorneys,DUI & DWI Attorneys","http://www.trafficticket-attorney.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"5. ","Bill Gordon & Associates","(844) 461-0191","https://www.yellowpages.com/nationwide/mip/bill-gordon-associates-452285628?lid=1002082086974","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","https://bgasocialsecurityattorney.com/index.php/iyp","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"6. ","TVC Truckers Voice in Court Attorneys","(888) 293-9432","https://www.yellowpages.com/nationwide/mip/tvc-truckers-voice-in-court-attorneys-2701?lid=1001784173629","Attorneys,Transportation Law Attorneys,Traffic Law Attorneys","http://www.tvctruckersvoiceincourt.com/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"7. ","Legal Aid Legal Services Corp","(844) 213-6575","https://www.yellowpages.com/nationwide/mip/legal-aid-legal-services-corp-505997155?lid=1002023101995","Attorneys,Divorce Attorneys,Legal Clinics","http://www.legalaidlegalservices.org","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"8. ","The Tax Resolvers","(877) 451-5785","https://www.yellowpages.com/nationwide/mip/the-tax-resolvers-567859188?lid=1002098315596","Attorneys,Administrative & Governmental Law Attorneys,Tax Attorneys","","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"9. ","Bennett Law Firm","(706) 955-8275","https://www.yellowpages.com/augusta-ga/mip/bennett-law-firm-503297893","Attorneys,General Practice Attorneys","http://bennettlawfirm.com","","3120 Peach Orchard Rd Ste 12","Augusta","GA","30906","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"10. ","H Wilson Haynes Jr Attorney","(706) 650-8750","https://www.yellowpages.com/augusta-ga/mip/h-wilson-haynes-jr-attorney-541190816","Attorneys","http://www.donsbachking.com","","504 Blackburn DR","Augusta","GA","30907","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"11. ","Jackson Ben Attorney At Law","(706) 359-8885","https://www.yellowpages.com/nationwide/mip/jackson-ben-attorney-at-law-554779023","Attorneys","","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"12. ","Pak Ronald J","(706) 798-5529","https://www.yellowpages.com/augusta-ga/mip/pak-ronald-j-23419","Attorneys","","","3241 Deans Bridge Rd","Augusta","GA","30906","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"13. ","Munge & Associates","(706) 826-9992","https://www.yellowpages.com/augusta-ga/mip/munge-associates-469087541","Attorneys,Legal Service Plans","","","","Augusta","GA","30901","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
