"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Peterson Charles","(331) 240-9361","https://www.yellowpages.com/aurora-il/mip/peterson-charles-6131768?lid=1000820243730","Attorneys","http://www.presbrey.com","","821 W Galena Blvd","Aurora","IL","60506","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"2. ","The Hollingsworth Law Firm","(630) 701-1700","https://www.yellowpages.com/aurora-il/mip/the-hollingsworth-law-firm-23231672?lid=1001612765542","Attorneys,Business Law Attorneys,Estate Planning Attorneys","http://hollingsworthlaw.net","","1700 N Farnsworth Ave","Aurora","IL","60505","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"3. ","Law  Office of Mark C Shea PC","(630) 283-6341","https://www.yellowpages.com/aurora-il/mip/law-office-of-mark-c-shea-pc-549580433?lid=1002004617086","Attorneys,Estate Planning Attorneys,Estate Planning, Probate, & Living Trusts","http://www.markshealaw.com","","75 Executive Dr","Aurora","IL","60504","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"4. ","Dreyer Foote Streit Furgason","(630) 914-6625","https://www.yellowpages.com/aurora-il/mip/dreyer-foote-streit-furgason-21846693?lid=1001987721410","Attorneys,Financial Services,Family Law Attorneys","http://www.dreyerfoote.com","","1999 W Downer Pl","Aurora","IL","60506","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"5. ","Debtstoppers Bankruptcy Law Firm","(872) 225-2964","https://www.yellowpages.com/aurora-il/mip/debtstoppers-bankruptcy-law-firm-469870156?lid=1002091726280","Attorneys,Bankruptcy Services,Tax Attorneys","https://l.debtstoppers.com/adwordsil-thryv","","1444 N Farnsworth Ave Ste 300","Aurora","IL","60505","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"6. ","Debtstoppers Bankruptcy Law Firm","(773) 614-7108","https://www.yellowpages.com/chicago-il/mip/debtstoppers-bankruptcy-law-firm-23061613?lid=1002039536010","Attorneys,Securities & Investment Law Attorneys,Bankruptcy Law Attorneys","https://l.debtstoppers.com/adwordsil-thryv","","11101 S Western Ave","Chicago","IL","60643","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"7. ","Legal Aid Legal Services Corp","(844) 213-6575","https://www.yellowpages.com/nationwide/mip/legal-aid-legal-services-corp-505997155?lid=1002023101995","Attorneys,Divorce Attorneys,Legal Clinics","http://www.legalaidlegalservices.org","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"8. ","Bill Gordon & Associates","(844) 461-0191","https://www.yellowpages.com/nationwide/mip/bill-gordon-associates-452285628?lid=1002082086974","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","https://bgasocialsecurityattorney.com/index.php/iyp","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"9. ","TRAFFIC TICKET DEFENSE ATTORNEYS","(877) 787-2334","https://www.yellowpages.com/nationwide/mip/traffic-ticket-defense-attorneys-496530037?lid=1000936632521","Attorneys,Traffic Law Attorneys,DUI & DWI Attorneys","http://www.trafficticket-attorney.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"10. ","Petti Murphy & Associates","(630) 457-1691","https://www.yellowpages.com/geneva-il/mip/petti-murphy-associates-23232465?lid=1001400542904","Attorneys,Employee Benefits & Worker Compensation Attorneys,Construction Law Attorneys","https://www.pettimurphylaworland.com","","22 S 4th St Ste 2","Geneva","IL","60134","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"11. ","J David Tax Law","(888) 265-2361","https://www.yellowpages.com/jacksonville-fl/mip/j-david-tax-law-540773434?lid=1002069740015","Attorneys,Tax Return Preparation,Tax Attorneys","http://www.jdavidtaxlaw.com/free-consultation/yp/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"12. ","Social Security Disability Advisors","(844) 352-5451","https://www.yellowpages.com/salt-lake-city-ut/mip/social-security-disability-advisors-475537434?lid=1002056960801","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","http://disabilityadvisors.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"13. ","Laraia & Whitty","(630) 755-3194","https://www.yellowpages.com/wheaton-il/mip/laraia-whitty-550459161?lid=1001786303384","Attorneys,Business Law Attorneys,Corporation & Partnership Law Attorneys","http://laraialaw.com","","1761 S Naperville Rd Ste 201","Wheaton","IL","60189","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
"14. ","TVC Truckers Voice in Court Attorneys","(888) 293-9432","https://www.yellowpages.com/nationwide/mip/tvc-truckers-voice-in-court-attorneys-2701?lid=1001784173629","Attorneys,Transportation Law Attorneys,Traffic Law Attorneys","http://www.tvctruckersvoiceincourt.com/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Aurora,%20Illinois"
