"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","TRAFFIC TICKET DEFENSE ATTORNEYS","(877) 787-2334","https://www.yellowpages.com/nationwide/mip/traffic-ticket-defense-attorneys-496530037?lid=1000936632521","Attorneys,Traffic Law Attorneys,DUI & DWI Attorneys","http://www.trafficticket-attorney.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Baton%20Rouge,%20Louisiana"
"2. ","Attorneys Collectors & Investigators","(888) 258-5298","https://www.yellowpages.com/nationwide/mip/attorneys-collectors-investigators-482249945?lid=1001314814087","Attorneys,Collection Agencies,Skip Tracing","http://www.dlrfirm.com/who-we-are/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Baton%20Rouge,%20Louisiana"
"3. ","Bill Gordon & Associates","(844) 461-0191","https://www.yellowpages.com/nationwide/mip/bill-gordon-associates-452285628?lid=1002082086974","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","https://bgasocialsecurityattorney.com/index.php/iyp","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Baton%20Rouge,%20Louisiana"
"4. ","Gordon McKernan Injury Attorneys","(225) 888-8888","https://www.yellowpages.com/baton-rouge-la/mip/gordon-mckernan-injury-attorneys-452253722","Attorneys,Personal Injury Law Attorneys,Wrongful Death Attorneys","https://www.getgordon.com/baton-rouge-injury-attorney","","5656 Hilton Ave","Baton Rouge","LA","70808","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Baton%20Rouge,%20Louisiana"
"5. ","Fletcher, Roy & Chenevert","(225) 343-2876","https://www.yellowpages.com/baton-rouge-la/mip/fletcher-roy-chenevert-480915676","Attorneys,Personal Injury Law Attorneys,Wrongful Death Attorneys","http://fletcherandroy.com","","660 Government St","Baton Rouge","LA","70802","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Baton%20Rouge,%20Louisiana"
"6. ","Commerce Title Co","(225) 769-8800","https://www.yellowpages.com/baton-rouge-la/mip/commerce-title-co-473711355","Attorneys,Title Companies,Escrow Service","http://www.commercetitle.com","","2051 Silverside Dr Ste 160","Baton Rouge","LA","70808","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Baton%20Rouge,%20Louisiana"
"7. ","McManus Charles","(225) 508-7548","https://www.yellowpages.com/baton-rouge-la/mip/mcmanus-charles-22832304?lid=1002081182087","Attorneys,Personal Injury Law Attorneys,Accident & Property Damage Attorneys","http://charlesmcmanus.com","","8520 Scotland Ave","Baton Rouge","LA","70807","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Baton%20Rouge,%20Louisiana"
"8. ","Locke Meredith Sean Fagan & Associates","(225) 272-4085","https://www.yellowpages.com/baton-rouge-la/mip/locke-meredith-sean-fagan-associates-462170461?lid=1002005302970","Attorneys,General Practice Attorneys,Admiralty & Maritime Law Attorneys","http://www.lockemeredithlaw.com","","1300 Millerville Rd","Baton Rouge","LA","70816","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Baton%20Rouge,%20Louisiana"
"9. ","Murphy Law Firm LLC","(225) 341-8041","https://www.yellowpages.com/baton-rouge-la/mip/murphy-law-firm-llc-539482100?lid=1002102100213","Attorneys,Business & Commercial Insurance,Liability & Malpractice Insurance","https://www.murphylawfirm.com","","2354 S Acadian Thruway","Baton Rouge","LA","70808","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Baton%20Rouge,%20Louisiana"
"10. ","Williamson Fontenot Campbell","(225) 228-1152","https://www.yellowpages.com/baton-rouge-la/mip/williamson-fontenot-campbell-15066135?lid=1002059191961","Attorneys,Admiralty & Maritime Law Attorneys,Personal Injury Law Attorneys","https://lawyerbatonrouge.com","","955 Mcclung St","Baton Rouge","LA","70802","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Baton%20Rouge,%20Louisiana"
