"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Forstman & Cutchen LLP","(205) 588-7211","https://www.yellowpages.com/birmingham-al/mip/forstman-cutchen-llp-472784634?lid=1000625276373","Attorneys,Labor & Employment Law Attorneys,Social Security & Disability Law Attorneys","http://www.forstmancutchen.com","","15 Office Park Cir STE","Birmingham","AL","35223","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Birmingham,%20Alabama"
"2. ","Roderick Walls & Associates LLC","(205) 251-0334","https://www.yellowpages.com/birmingham-al/mip/roderick-walls-associates-llc-5318786?lid=1001329554127","Attorneys,Labor & Employment Law Attorneys,Employee Benefits & Worker Compensation Attorneys","http://www.wallscooplaw.com","","2122 1st Ave N","Birmingham","AL","35203","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Birmingham,%20Alabama"
"3. ","J. Richet Pearson","(205) 252-8961","https://www.yellowpages.com/birmingham-al/mip/j-richet-pearson-3321126?lid=1001723823524","Attorneys,Family Law Attorneys,Wills, Trusts & Estate Planning Attorneys","","","201 Beacon Parkway West","Birmingham","AL","35209","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Birmingham,%20Alabama"
"4. ","Schwartz And McClure","(205) 933-9451","https://www.yellowpages.com/birmingham-al/mip/schwartz-and-mcclure-8090951?lid=1002004359842","Attorneys,Bankruptcy Law Attorneys,Collection Law Attorneys","http://www.schwartzmcclure.com","","1609 Richard Arrington Jr Blvd S","Birmingham","AL","35205","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Birmingham,%20Alabama"
"5. ","Samuel A. Rumore Jr.","(205) 322-0627","https://www.yellowpages.com/birmingham-al/mip/samuel-a-rumore-jr-537550162?lid=1001746991495","Attorneys","","","2230 3rd Ave N","Birmingham","AL","35203","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Birmingham,%20Alabama"
"6. ","Lockhart Danny C PC","(205) 798-8900","https://www.yellowpages.com/birmingham-al/mip/lockhart-danny-c-pc-452749911?lid=1001616295769","Attorneys,General Practice Attorneys,Criminal Law Attorneys","","","1129 Forestdale Blvd","Birmingham","AL","35214","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Birmingham,%20Alabama"
"7. ","Cicio & Cicio PC","(205) 939-1327","https://www.yellowpages.com/birmingham-al/mip/cicio-cicio-pc-13124023?lid=1001933053363","Attorneys,Wrongful Death Attorneys,General Practice Attorneys","http://cicio-ciciolawoffices.com","","2153 14th Ave S","Birmingham","AL","35205","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Birmingham,%20Alabama"
"8. ","Simms and Associates","(205) 321-2300","https://www.yellowpages.com/birmingham-al/mip/simms-and-associates-538496510?lid=1001761413583","Attorneys,General Practice Attorneys,Criminal Law Attorneys","http://www.2simmsandassociates.com","","608 37th St S","Birmingham","AL","35222","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Birmingham,%20Alabama"
"9. ","Bond Botes Reese & Shinn PC","(205) 802-2200","https://www.yellowpages.com/birmingham-al/mip/bond-botes-reese-shinn-pc-7041315?lid=1001081324326","Attorneys,Social Security & Disability Law Attorneys,Bankruptcy Law Attorneys","http://www.bondandbotes.com","","600 University Park Pl Ste 510","Birmingham","AL","35209","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Birmingham,%20Alabama"
"10. ","Kellie Avery-Tubb","(205) 403-6509","https://www.yellowpages.com/birmingham-al/mip/kellie-avery-tubb-474573775?lid=1000437175842","Attorneys,Collection Law Attorneys,Divorce Attorneys","","","2 Riverchase Office Plz","Birmingham","AL","35244","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Birmingham,%20Alabama"
