"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Letro Francis M Attorney","(716) 271-2856","https://www.yellowpages.com/buffalo-ny/mip/letro-francis-m-attorney-6992795?lid=1002053413791","Attorneys,Personal Injury Law Attorneys","http://www.letrolaw.com","","110 Pearl St","Buffalo","NY","14202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"2. ","Tronolone & Surgalla PC","(716) 271-3335","https://www.yellowpages.com/buffalo-ny/mip/tronolone-surgalla-pc-479570410?lid=1002080382814","Attorneys,Divorce Attorneys,Personal Injury Law Attorneys","http://www.tslawoffices.com","","298 Main St","Buffalo","NY","14202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"3. ","Michael R Hettler Attorney","(716) 875-8664","https://www.yellowpages.com/buffalo-ny/mip/michael-r-hettler-attorney-545556560?lid=1002042336249","Attorneys,Family Law Attorneys,Estate Planning Attorneys","https://www.wnylabor.com","","22 Victoria Blvd","Buffalo","NY","14217","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"4. ","Delaware Pediatric Associates","(716) 427-6863","https://www.yellowpages.com/buffalo-ny/mip/delaware-pediatric-associates-496582803?lid=1002017243895","Attorneys,Criminal Law Attorneys,Physicians & Surgeons, Allergy & Immunology","","","2550 Delaware Ave","Buffalo","NY","14216","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"5. ","Walter P. Seegert Attorney at Law","(716) 363-6000","https://www.yellowpages.com/buffalo-ny/mip/walter-p-seegert-attorney-at-law-548273695?lid=1002070472772","Attorneys,Transportation Law Attorneys,Medical Equipment & Supplies","https://bouvierlaw.com/about/walter-p-seegert","","350 Main St","Buffalo","NY","14202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"6. ","Pusatier, Sherman, Abbott and Sugarman, LLP","(716) 427-6755","https://www.yellowpages.com/buffalo-ny/mip/pusatier-sherman-abbott-and-sugarman-llp-545099019?lid=1002075054053","Attorneys,Accident & Property Damage Attorneys,Mediation Services","http://www.psasattorneys.com","","2464 Elmwood Ave","Buffalo","NY","14217","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"7. ","Gelber  & O'Connell","(716) 568-7106","https://www.yellowpages.com/amherst-ny/mip/gelber-oconnell-456877320?lid=1002100940810","Attorneys,Accident & Property Damage Attorneys,Transportation Law Attorneys","http://www.gelberoconnell.com","","6512 Main","Amherst","NY","14221","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"8. ","Legal Aid Legal Services Corp","(844) 213-6575","https://www.yellowpages.com/nationwide/mip/legal-aid-legal-services-corp-505997155?lid=1002023101995","Attorneys,Divorce Attorneys,Legal Clinics","http://www.legalaidlegalservices.org","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"9. ","Ziomek & Ziomek","(413) 549-0080","https://www.yellowpages.com/amherst-ma/mip/ziomek-ziomek-12109865?lid=1002055748130","Attorneys,Administrative & Governmental Law Attorneys,Estate Planning Attorneys","","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"10. ","Bill Gordon & Associates","(844) 461-0191","https://www.yellowpages.com/nationwide/mip/bill-gordon-associates-452285628?lid=1002082086974","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","https://bgasocialsecurityattorney.com/index.php/iyp","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"11. ","Bengart & de Marco","(716) 838-4600","https://www.yellowpages.com/tonawanda-ny/mip/bengart-de-marco-1163020?lid=1002099685521","Attorneys,Administrative & Governmental Law Attorneys,Labor & Employment Law Attorneys","http://brandarama.com","","2655 Sheridan Dr","Tonawanda","NY","14150","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"12. ","TRAFFIC TICKET DEFENSE ATTORNEYS","(877) 787-2334","https://www.yellowpages.com/nationwide/mip/traffic-ticket-defense-attorneys-496530037?lid=1000936632521","Attorneys,Traffic Law Attorneys,DUI & DWI Attorneys","http://www.trafficticket-attorney.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"13. ","Simpson & Simpson PLLC","(716) 626-1564","https://www.yellowpages.com/williamsville-ny/mip/simpson-simpson-pllc-1222781?lid=1000985013733","Attorneys,Patent, Trademark & Copyright Law Attorneys,Patent Agents","http://www.idealawyers.com","","5555 Main St","Williamsville","NY","14221","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"14. ","J David Tax Law","(888) 265-2361","https://www.yellowpages.com/jacksonville-fl/mip/j-david-tax-law-540773434?lid=1002069740015","Attorneys,Tax Return Preparation,Tax Attorneys","http://www.jdavidtaxlaw.com/free-consultation/yp/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"15. ","Lakeshore Primary Care Associates","(716) 646-1084","https://www.yellowpages.com/hamburg-ny/mip/lakeshore-primary-care-associates-453270234?lid=1001801765329","Attorneys,Criminal Law Attorneys,Physicians & Surgeons, Pediatrics","http://www.lakeshorepca.com","","4855 Camp Rd","Hamburg","NY","14075","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"16. ","Cheryl Stein Law Firm PLLC","(716) 406-4266","https://www.yellowpages.com/getzville-ny/mip/cheryl-stein-law-firm-pllc-519938790?lid=1001997036345","Attorneys,Insurance,Property & Casualty Insurance","http://www.cherylsteinlaw.com","","2350 N Forest Rd Ste 16a","Getzville","NY","14068","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"17. ","TVC Truckers Voice in Court Attorneys","(888) 293-9432","https://www.yellowpages.com/nationwide/mip/tvc-truckers-voice-in-court-attorneys-2701?lid=1001784173629","Attorneys,Transportation Law Attorneys,Traffic Law Attorneys","http://www.tvctruckersvoiceincourt.com/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"18. ","The Tax Resolvers","(877) 451-5785","https://www.yellowpages.com/nationwide/mip/the-tax-resolvers-567859188?lid=1002098315642","Attorneys,Administrative & Governmental Law Attorneys,Tax Attorneys","","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"19. ","Attorneys Collectors & Investigators","(888) 258-5298","https://www.yellowpages.com/nationwide/mip/attorneys-collectors-investigators-482249945?lid=1001314814087","Attorneys,Collection Agencies,Skip Tracing","http://www.dlrfirm.com/who-we-are/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"20. ","Debt Collection Firm","(800) 731-7308","https://www.yellowpages.com/nationwide/mip/debt-collection-firm-496284263?lid=1001328710934","Attorneys,Skip Tracing,Collection Agencies","https://dlrcollectionagency.com/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"21. ","William Costello Attorney","(716) 773-3600","https://www.yellowpages.com/grand-island-ny/mip/william-costello-attorney-472411654?lid=1000636448763","Attorneys,Real Estate Attorneys,Divorce Attorneys","","","1980 Whitehaven Rd","Grand Island","NY","14072","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"22. ","Randy S. Margulis, Esq. Attorney At Law","(716) 810-9600","https://www.yellowpages.com/buffalo-ny/mip/randy-s-margulis-esq-attorney-at-law-21747707","Attorneys,Criminal Law Attorneys,Family Law Attorneys","http://www.randymargulis.com","","19 Limestone Dr Ste 9","Buffalo","NY","14221","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"23. ","Lovallo & Williams","(716) 854-1112","https://www.yellowpages.com/buffalo-ny/mip/lovallo-williams-1231572","Attorneys,General Practice Attorneys,Legal Service Plans","","","295 Main St Rm 1088","Buffalo","NY","14203","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"24. ","The Rossi Law Firm","(716) 854-5555","https://www.yellowpages.com/buffalo-ny/mip/the-rossi-law-firm-469673136","Attorneys,Criminal Law Attorneys,Family Law Attorneys","https://www.rossilawfirm.com","","68 Niagara St","Buffalo","NY","14202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"25. ","Carey Firm","(716) 362-1176","https://www.yellowpages.com/buffalo-ny/mip/carey-firm-11166384","Attorneys,Paralegals","http://thecareyfirm.com","","70 Niagara St","Buffalo","NY","14202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"26. ","Miserendino Law Firm","(716) 854-1002","https://www.yellowpages.com/buffalo-ny/mip/miserendino-law-firm-454784135","Attorneys,Personal Injury Law Attorneys,General Practice Attorneys","http://www.miserendinolaw.com","","295 Main St Rm 1068","Buffalo","NY","14203","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"27. ","Lipsitz & Ponterio LLC","(716) 849-0701","https://www.yellowpages.com/buffalo-ny/mip/lipsitz-ponterio-llc-470375558","Attorneys,Accident & Property Damage Attorneys,Personal Injury Law Attorneys","http://www.lipsitzponterio.com","","135 Delaware Ave Ste 210","Buffalo","NY","14202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"28. ","Pope Law Firm, PLLC","(716) 881-1202","https://www.yellowpages.com/buffalo-ny/mip/pope-law-firm-pllc-15423128","Attorneys,Divorce Attorneys,DUI & DWI Attorneys","http://www.lawonly.com","","329 Elmwood Ave","Buffalo","NY","14222","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
"29. ","Keenan Law Firm","(716) 854-5063","https://www.yellowpages.com/buffalo-ny/mip/keenan-law-firm-12400885","Attorneys,General Practice Attorneys","http://www.keenan-law-firm.com","","268 Main St Ste 302","Buffalo","NY","14202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Buffalo,%20New%20York"
