"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Doherty Law Firm PC","(719) 633-3450","https://www.yellowpages.com/colorado-springs-co/mip/doherty-law-firm-pc-462102526?lid=1002039534771","Attorneys,Contract Law Attorneys,Business Litigation Attorneys","https://dohertylawpc.com","","2 N Cascade Ave Ste 1100","Colorado Springs","CO","80903","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
"2. ","Law Office of Frederick W. Newall","(719) 301-2606","https://www.yellowpages.com/colorado-springs-co/mip/law-office-of-frederick-w-newall-1757563?lid=1002074142284","Attorneys,Administrative & Governmental Law Attorneys,Employee Benefits & Worker Compensation Attorneys","http://www.fredericknewallattorney.com","","730 N Weber St","Colorado Springs","CO","80903","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
"3. ","Finlayson Mark","(719) 520-9455","https://www.yellowpages.com/colorado-springs-co/mip/finlayson-mark-467004500?lid=1001280168709","Attorneys,Elder Law Attorneys,Family Law Attorneys","","","528 N Tejon St","Colorado Springs","CO","80903","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
"4. ","Law Offices of Debra Eiland","(719) 471-1545","https://www.yellowpages.com/colorado-springs-co/mip/law-offices-of-debra-eiland-6122157?lid=1002104398349","Attorneys,Business Law Attorneys,Discrimination & Civil Rights Law Attorneys","","","24 S Weber St","Colorado Springs","CO","80903","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
"5. ","Henry B. Eastland","(719) 578-0035","https://www.yellowpages.com/colorado-springs-co/mip/henry-b-eastland-543535236?lid=1002047086848","Attorneys,Family Law Attorneys,Guardianship Services","http://eastland-law.com","","320 E Costilla St","Colorado Springs","CO","80903","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
"6. ","Holder & Associates","(719) 419-5870","https://www.yellowpages.com/colorado-springs-co/mip/holder-associates-425399?lid=1001849997195","Attorneys,Business Law Attorneys,Guardianship Services","http://mikeholderlaw.com","","421 S Tejon St","Colorado Springs","CO","80903","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
"7. ","Dianna Harris","(719) 635-5991","https://www.yellowpages.com/colorado-springs-co/mip/dianna-harris-509690947?lid=1001700917997","Attorneys,Family Law Attorneys,Divorce Attorneys","http://www.diannaharrislaw.com","","532 S Weber St","Colorado Springs","CO","80903","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
"8. ","Waters Kubik & Cassens","(719) 301-0336","https://www.yellowpages.com/colorado-springs-co/mip/waters-kubik-cassens-5189670?lid=1002029426503","Attorneys,Criminal Law Attorneys,Personal Property Law Attorneys","https://lawfirmwkc.com","","707 S Tejon St","Colorado Springs","CO","80903","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
"9. ","Law Office of Stephen H. Swift, P.C.","(719) 888-6162","https://www.yellowpages.com/colorado-springs-co/mip/law-office-of-stephen-h-swift-p-c-505496943?lid=1002046290198","Attorneys,Administrative & Governmental Law Attorneys,Tax Attorneys","http://swiftlaw.net","","733 E Costilla St","Colorado Springs","CO","80903","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
"10. ","Graham.Law","(719) 301-4431","https://www.yellowpages.com/colorado-springs-co/mip/graham-law-547041910?lid=1002073193106","Attorneys,Divorce Assistance,Divorce Attorneys","https://www.graham.law","","2 N Cascade Ave Ste 1100","Colorado Springs","CO","80903","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
"11. ","Diane K Bross, PC","(719) 301-4291","https://www.yellowpages.com/colorado-springs-co/mip/diane-k-bross-pc-482429669?lid=1002074079304","Attorneys,Administrative & Governmental Law Attorneys,Estate Planning Attorneys","http://www.dianebrosslaw.com","","2139 Chuckwagon Rd","Colorado Springs","CO","80919","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
"12. ","FRANCIS Mark D","(719) 265-6900","https://www.yellowpages.com/colorado-springs-co/mip/francis-mark-d-7083948?lid=1001622944367","Attorneys,General Practice Attorneys,Product Liability Law Attorneys","","","1880 Office Club Pt","Colorado Springs","CO","80920","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Colorado%20Springs,%20Colorado"
