"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Law Offices of Gary Bruce","(706) 596-1446","https://www.yellowpages.com/columbus-ga/mip/law-offices-of-gary-bruce-10067068","Attorneys","http://www.garybrucelaw.com","","912 2nd Ave","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"2. ","Crawford & Brown Law Office LLP","(706) 418-1028","https://www.yellowpages.com/columbus-ga/mip/crawford-brown-law-office-llp-482089019?lid=1001901545386","Attorneys,Business Law Attorneys,Civil Litigation & Trial Law Attorneys","https://www.crawfordandbrown.com/","","1430 Wynnton Rd","Columbus","GA","31906","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"3. ","Arey & Cross, PC","(706) 596-6745","https://www.yellowpages.com/columbus-ga/mip/arey-cross-pc-490383073?lid=1000525073607","Attorneys,Criminal Law Attorneys,Family Law Attorneys","http://alc-law.com","","4800 Armour Rd","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"4. ","Robert R Lomax","(706) 322-0100","https://www.yellowpages.com/columbus-ga/mip/robert-r-lomax-5525354?lid=1001838056825","Attorneys,Wills, Trusts & Estate Planning Attorneys,Civil Litigation & Trial Law Attorneys","http://www.thelomaxfirm.com","","820 Brookstone Centre Pkwy","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"5. ","Clark Adams Attorney at Law","(877) 835-8939","https://www.yellowpages.com/columbus-ga/mip/clark-adams-attorney-at-law-2003246","Attorneys,Criminal Law Attorneys,Transportation Law Attorneys","http://www.clarkadamslaw.com","","831 2nd Ave","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"6. ","Nicolson, Ray & Turner","(706) 327-4551","https://www.yellowpages.com/columbus-ga/mip/nicolson-ray-turner-472869332","Attorneys,Real Estate Attorneys","http://www.nrtlegal.com","","100 Southern Way Ste A","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"7. ","The Roper Law Firm","(706) 596-5353","https://www.yellowpages.com/columbus-ga/mip/the-roper-law-firm-531665457?lid=1001383775872","Attorneys,Labor & Employment Law Attorneys,Consumer Law Attorneys","http://www.roperlaw.com","","5353 Veterans Pkwy Ste D","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"8. ","Maisano Cynthia Law Office","(706) 321-2003","https://www.yellowpages.com/columbus-ga/mip/maisano-cynthia-law-office-451067603","Attorneys,Family Law Attorneys,Military & Veterans Law Attorneys","http://www.overby-law.com","","900 2nd Ave","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"9. ","Maxine Wallace, P.C.","(706) 324-6300","https://www.yellowpages.com/columbus-ga/mip/maxine-wallace-p-c-519902251","Attorneys,Family Law Attorneys","http://www.attorneymaxinewallace.com","","945 Broadway","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"10. ","Law Offices Of Mark P Jones","(706) 225-2555","https://www.yellowpages.com/columbus-ga/mip/law-offices-of-mark-p-jones-483263941","Attorneys,Criminal Law Attorneys,Divorce Attorneys","http://www.lawyermarkjones.com","","233 12th St Ste 600","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"11. ","Akin, Gerald R., Attorney At Law","(706) 324-1499","https://www.yellowpages.com/columbus-ga/mip/akin-gerald-r-attorney-at-law-507595910","Attorneys,Divorce Attorneys,Family Law Attorneys","http://www.akinlawga.com","","233 12th St Ste 801","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"12. ","Brian Ramey Law Office","(706) 536-9085","https://www.yellowpages.com/columbus-ga/mip/brian-ramey-law-office-541227717?lid=1001798825368","Attorneys,Divorce Assistance,Adoption Services","http://www.brianrameyattorney.com","","833 3rd Ave","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
"13. ","Affleck & Gordon PC","(706) 322-7745","https://www.yellowpages.com/columbus-ga/mip/affleck-gordon-pc-21757521","Attorneys,Social Security & Disability Law Attorneys,Criminal Law Attorneys","http://www.affleckandgordon.com","","233 12th St","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Columbus,%20Georgia"
