"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Hughes Paul M Law Office","(313) 964-6465","https://www.yellowpages.com/detroit-mi/mip/hughes-paul-m-law-office-8189346?lid=1001412550662","Attorneys,Accident & Property Damage Attorneys,General Practice Attorneys","http://attorneyhughes.com","","65 Cadillac Sq","Detroit","MI","48226","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"2. ","Denise M. Hudson","(313) 483-4287","https://www.yellowpages.com/detroit-mi/mip/denise-m-hudson-19289743?lid=387098556","Attorneys,Wills, Trusts & Estate Planning Attorneys,Real Estate Attorneys","http://denisemhudson.com","","615 Griswold St Ste 1626","Detroit","MI","48226","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"3. ","Affordable Legal Services","(313) 965-5770","https://www.yellowpages.com/detroit-mi/mip/affordable-legal-services-18316849?lid=1001406258618","Attorneys,Estate Planning Attorneys,Paralegals","http://www.rodgreenlegal.com","","65 Cadillac Sq","Detroit","MI","48226","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"4. ","Great Lakes Legal","(313) 874-5820","https://www.yellowpages.com/detroit-mi/mip/great-lakes-legal-532795422?lid=1001651394902","Attorneys,Family Law Attorneys,Criminal Law Attorneys","http://nlsmichigan.org","","7310 Woodward Ave","Detroit","MI","48202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"5. ","Bernstein & Bernstein","(313) 963-2340","https://www.yellowpages.com/detroit-mi/mip/bernstein-bernstein-1350131?lid=1001755713742","Attorneys,Personal Injury Law Attorneys,Workers Compensation Assistance","http://www.lawfirmofbernstein.com","","535 Griswold St Ste 2040","Detroit","MI","48226","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"6. ","Charles J Schneider PC","(734) 237-6392","https://www.yellowpages.com/livonia-mi/mip/charles-j-schneider-pc-3507702?lid=171949618","Attorneys,Bankruptcy Law Attorneys,Bankruptcy Services","http://www.a-new-start.com","","39319 Plymouth Rd","Livonia","MI","48150","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"7. ","Bernstein & Bernstein","(248) 213-8049","https://www.yellowpages.com/southfield-mi/mip/bernstein-bernstein-549913136?lid=171934118","Attorneys,Automobile Accident Attorneys,Employee Benefits & Worker Compensation Attorneys","http://www.lawfirmofbernstein.com","","18831 W 10 Mile Rd","Southfield","MI","48075","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"8. ","Cochran Kroll & Associates P C","(888) 252-0480","https://www.yellowpages.com/livonia-mi/mip/cochran-kroll-associates-p-c-13436072?lid=1000350752486","Attorneys,Criminal Law Attorneys,Family Law Attorneys","http://www.CochranKroll.com","","15510 Farmington Rd","Livonia","MI","48154","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"9. ","Debt Relief Centers","(313) 769-3208","https://www.yellowpages.com/dearborn-mi/mip/debt-relief-centers-536849229?lid=1001351706833","Attorneys,Financial Services,Credit & Debt Counseling","http://www.debtreliefcenters.net","","23930 Michigan Ave","Dearborn","MI","48124","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"10. ","Granzeier & Blankenship","(734) 307-0748","https://www.yellowpages.com/wyandotte-mi/mip/granzeier-blankenship-455650543?lid=1001886906876","Attorneys,Divorce Attorneys,Accident & Property Damage Attorneys","http://www.granzeierblankenship.com/","","2630 Biddle Ave","Wyandotte","MI","48192","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"11. ","Barry Resnick","(248) 788-6236","https://www.yellowpages.com/farmington-hills-mi/mip/barry-resnick-550108378?lid=1000142958462","Attorneys,Family Law Attorneys,Transportation Law Attorneys","http://www.barryresnick.com","","30300 Northwestern Hwy","Farmington Hills","MI","48334","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"12. ","Law  Offices of Susan Widenbaum, P.C. MICHIGAN","(734) 427-0303","https://www.yellowpages.com/westland-mi/mip/law-offices-of-susan-widenbaum-p-c-michigan-550093553?lid=1001041562887","Attorneys,Wills, Trusts & Estate Planning Attorneys,Criminal Law Attorneys","http://www.widenbaumlaw.com","","33124 Warren Rd","Westland","MI","48185","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
"13. ","Legal Aid Legal Services Corp","(844) 213-6575","https://www.yellowpages.com/nationwide/mip/legal-aid-legal-services-corp-505997155?lid=1002023101995","Attorneys,Divorce Attorneys,Legal Clinics","http://www.legalaidlegalservices.org","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Detroit,%20Michigan"
