"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Perry Perry & Perry PA","(919) 794-7099","https://www.yellowpages.com/durham-nc/mip/perry-perry-perry-pa-2117437?lid=1001539056326","Attorneys,Employee Benefits & Worker Compensation Attorneys,Labor & Employment Law Attorneys","http://www.perryperryperrypa.com","","321 E Chapel Hill St","Durham","NC","27701","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Durham,%20North%20Carolina"
"2. ","Williams, N Cole","(984) 377-7022","https://www.yellowpages.com/durham-nc/mip/williams-n-cole-7832750?lid=1002038727019","Attorneys,DUI & DWI Attorneys,Drug Charges Attorneys","http://www.colewilliamslaw.com","","205 N Church St","Durham","NC","27701","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Durham,%20North%20Carolina"
"3. ","McGill & Noble Attorneys","(919) 493-8876","https://www.yellowpages.com/durham-nc/mip/mcgill-noble-attorneys-31227?lid=1000439711821","Attorneys,General Practice Attorneys,Criminal Law Attorneys","","","3518 Westgate Dr Ste 425","Durham","NC","27707","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Durham,%20North%20Carolina"
"4. ","Russ & Canaday PLLC","(919) 530-0245","https://www.yellowpages.com/durham-nc/mip/russ-canaday-pllc-472202853?lid=1000437170173","Attorneys","","","302 E Pettigrew St Ste. 240","Durham","NC","27701","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Durham,%20North%20Carolina"
"5. ","Richard Watson Law, PLLC","(919) 794-4788","https://www.yellowpages.com/durham-nc/mip/richard-watson-law-pllc-505560816?lid=1001097738675","Attorneys,General Practice Attorneys","http://richardwatsonlaw.com","","43 Glenmore Drive","Durham","NC","27707","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Durham,%20North%20Carolina"
"6. ","Judy Whisnant Attorney at Law PC","(919) 688-6860","https://www.yellowpages.com/durham-nc/mip/judy-whisnant-attorney-at-law-pc-10009098?lid=1000437175044","Attorneys,Arbitration & Mediation Attorneys,General Practice Attorneys","http://www.judywhisnantlaw.com","","123 W Main Street Ste 612","Durham","NC","27701","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Durham,%20North%20Carolina"
"7. ","Shimar Recycling Inc","(919) 680-6262","https://www.yellowpages.com/durham-nc/mip/shimar-recycling-inc-456891473?lid=1000218871246","Attorneys,Personal Injury Law Attorneys,Records Management Consulting & Service","http://www.shimar.com","","938 Harvest Rd","Durham","NC","27704","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Durham,%20North%20Carolina"
"8. ","Cole'sLaw","(919) 867-5682","https://www.yellowpages.com/durham-nc/mip/coleslaw-538518250?lid=1001721190512","Attorneys,Personal Property Law Attorneys,Patent, Trademark & Copyright Law Attorneys","https://www.facebook.com/triangleiplaw","","800 Park Dr","Durham","NC","27709","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Durham,%20North%20Carolina"
"9. ","Mitchiner & Small, PLLC","(984) 444-5272","https://www.yellowpages.com/raleigh-nc/mip/mitchiner-small-pllc-553049885?lid=1000082990004","Attorneys,Estate Planning, Probate, & Living Trusts,Estate Planning Attorneys","http://www.mitchinerlaw.com","","805 Spring Forest Rd Ste 100","Raleigh","NC","27609","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Durham,%20North%20Carolina"
"10. ","Roberson Law Firm P.A.","(919) 933-2700","https://www.yellowpages.com/chapel-hill-nc/mip/roberson-law-firm-p-a-451159942?lid=1000078235696","Attorneys,Wills, Trusts & Estate Planning Attorneys,Corporation & Partnership Law Attorneys","http://www.rlfpa.com","","1829 E Franklin St","Chapel Hill","NC","27514","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Durham,%20North%20Carolina"
