"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Parker & Frey PLLC","(910) 984-8391","https://www.yellowpages.com/fayetteville-nc/mip/parker-frey-pllc-541988220?lid=1001597739510","Attorneys,Transportation Law Attorneys,Employee Benefits & Worker Compensation Attorneys","http://www.nccompspecialist.com","","2919 Breezewood Ave","Fayetteville","NC","28303","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fayetteville,%20North%20Carolina"
"2. ","The Law Office of Jeffrey E. Radford","(910) 484-4765","https://www.yellowpages.com/fayetteville-nc/mip/the-law-office-of-jeffrey-e-radford-4637470?lid=1001875228963","Attorneys,Real Estate Attorneys,Personal Injury Law Attorneys","http://www.jeffradfordlaw.com","","1300 Bragg Blvd","Fayetteville","NC","28301","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fayetteville,%20North%20Carolina"
"3. ","Anderson; Johnson Lawrence & Butler","(910) 401-2886","https://www.yellowpages.com/fayetteville-nc/mip/anderson-johnson-lawrence-butler-453072101?lid=1002103326316","Attorneys,General Practice Attorneys,Legal Service Plans","http://www.andersonjohnson.com","","109 Broadfoot Ave","Fayetteville","NC","28305","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fayetteville,%20North%20Carolina"
"4. ","Lloyd  King Law Firm PLLC","(252) 308-4687","https://www.yellowpages.com/fayetteville-nc/mip/lloyd-king-law-firm-pllc-557385330?lid=1002054069463","Attorneys,Insurance,Insurance Attorneys","http://www.kingdisability.com","","213 Dick St Ste 105","Fayetteville","NC","28301","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fayetteville,%20North%20Carolina"
"5. ","Robin Weaver Hurmence","(910) 745-6584","https://www.yellowpages.com/fayetteville-nc/mip/robin-weaver-hurmence-10438823?lid=1002099375919","Attorneys,Guardianship Services,Family Law Attorneys","http://www.robinweaverhurmencelaw.com","","1017 Arsenal Ave","Fayetteville","NC","28305","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fayetteville,%20North%20Carolina"
"6. ","Parker & Frey Law Firm PLLC","(910) 591-2551","https://www.yellowpages.com/fayetteville-nc/mip/parker-frey-law-firm-pllc-468736684?lid=1001823128750","Attorneys,Family Law Attorneys,Personal Injury Law Attorneys","http://www.nccompspecialist.com","","2919 Breezewood Ave Ste 200b","Fayetteville","NC","28303","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fayetteville,%20North%20Carolina"
"7. ","Clark William E","(910) 323-2020","https://www.yellowpages.com/fayetteville-nc/mip/clark-william-e-540659165?lid=1002099376471","Attorneys,Real Estate Attorneys","http://www.weclark.com","","2850 Village Dr","Fayetteville","NC","28304","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fayetteville,%20North%20Carolina"
"8. ","The Reed Noble Law Firm PLLC","(910) 223-7600","https://www.yellowpages.com/fayetteville-nc/mip/the-reed-noble-law-firm-pllc-475957173?lid=1000568987437","Attorneys,Transportation Law Attorneys,Traffic Law Attorneys","http://www.noblelegalservices.com","","5114 Yadkin Rd Ste 100","Fayetteville","NC","28303","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fayetteville,%20North%20Carolina"
"9. ","Orcutt John T Law Offices","(888) 234-6627","https://www.yellowpages.com/fayetteville-nc/mip/orcutt-john-t-law-offices-460711210?lid=1000088477613","Attorneys,Estate Planning Attorneys,Business Bankruptcy Law Attorneys","https://www.billsbills.com/debt-relief-yp","","2711 Breezewood Ave","Fayetteville","NC","28303","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fayetteville,%20North%20Carolina"
"10. ","McGeachy Hudson & Zuravel","(910) 323-1853","https://www.yellowpages.com/fayetteville-nc/mip/mcgeachy-hudson-zuravel-8265848?lid=1002096664959","Attorneys,Transportation Law Attorneys,General Practice Attorneys","","","138 Dick St","Fayetteville","NC","28301","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fayetteville,%20North%20Carolina"
