"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Fischler  & Friedman PA","(800) 558-2172","https://www.yellowpages.com/fort-lauderdale-fl/mip/fischler-friedman-pa-549173631?lid=1002004290628","Attorneys,Family Law Attorneys,Wills, Trusts & Estate Planning Attorneys","http://www.ffpa-law.com","","1000 S Andrews Ave","Fort Lauderdale","FL","33316","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"2. ","King, Robert L","(954) 678-3182","https://www.yellowpages.com/fort-lauderdale-fl/mip/king-robert-l-21757033?lid=209982602","Attorneys,Estate Planning Attorneys,Wills, Trusts & Estate Planning Attorneys","http://www.probateattorneyfortlauderdale.net","","3081 E Commercial Blvd Ste 200","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"3. ","Lyle B Masnikoff & Accociates PA","(954) 908-7714","https://www.yellowpages.com/fort-lauderdale-fl/mip/lyle-b-masnikoff-accociates-pa-453678577?lid=198836179","Attorneys,Social Security & Disability Law Attorneys,Labor & Employment Law Attorneys","http://www.workerscompfl.net","","110 E Broward Blvd","Fort Lauderdale","FL","33301","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"4. ","Johnson Anselmo Murdoch Burke, Piper, and Hochman, P.A.","(754) 216-9225","https://www.yellowpages.com/fort-lauderdale-fl/mip/johnson-anselmo-murdoch-burke-piper-and-hochman-p-a-478401757?lid=1000083000703","Attorneys,Business Law Attorneys,Labor & Employment Law Attorneys","http://www.jambg.com","","2455 E Sunrise Blvd","Fort Lauderdale","FL","33304","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"5. ","Billing Cochran Lyles Mauro & Ramsey PA","(954) 764-7150","https://www.yellowpages.com/fort-lauderdale-fl/mip/billing-cochran-lyles-mauro-ramsey-pa-1306490?lid=209985784","Attorneys,Insurance,Business & Commercial Insurance","http://www.billingcochran.com","","515 E Las Olas Blvd","Fort Lauderdale","FL","33301","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"6. ","Bigge & Rodriguez PA","(954) 678-9418","https://www.yellowpages.com/fort-lauderdale-fl/mip/bigge-rodriguez-pa-482233469?lid=1001722489706","Attorneys,Business Law Attorneys,Business Bankruptcy Law Attorneys","http://www.biggerodriguez.com/","","915 Middle River Dr Ste 401","Fort Lauderdale","FL","33304","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"7. ","Cooper Levenson, Attorneys at Law","(954) 613-6816","https://www.yellowpages.com/fort-lauderdale-fl/mip/cooper-levenson-attorneys-at-law-534828440?lid=1002069194380","Attorneys,Divorce Assistance,Family Law Attorneys","https://www.cooperlevenson.com","","500 E Broward Blvd","Fort Lauderdale","FL","33394","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"8. ","McConnaughhay Coonrod, Pope, Weaver & Stern, P.A.","(954) 900-6296","https://www.yellowpages.com/fort-lauderdale-fl/mip/mcconnaughhay-coonrod-pope-weaver-stern-p-a-457956217?lid=1000438495416","Attorneys,Insurance Attorneys,Workers Compensation Assistance","http://www.mcconnaughhay.com","","500 W Cypress Creek Rd","Fort Lauderdale","FL","33309","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"9. ","Stehpen J McDonald","(954) 462-2717","https://www.yellowpages.com/fort-lauderdale-fl/mip/stehpen-j-mcdonald-7472352?lid=1001722486617","Attorneys,General Practice Attorneys","","","315 SE 7th St","Fort Lauderdale","FL","33301","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"10. ","Sidweber, & Weintraub PA PA","(954) 563-3477","https://www.yellowpages.com/fort-lauderdale-fl/mip/sidweber-weintraub-pa-pa-459591446?lid=1001722486607","Attorneys","http://www.sidweberlaw.com","","3020 NE 32nd Ave","Fort Lauderdale","FL","33308","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"11. ","Baxter Jack","(954) 772-4461","https://www.yellowpages.com/fort-lauderdale-fl/mip/baxter-jack-535999462?lid=1001722486815","Attorneys","","","Ft L","Fort Lauderdale","FL","33334","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"12. ","Fischer Carey M PA","(954) 524-3553","https://www.yellowpages.com/fort-lauderdale-fl/mip/fischer-carey-m-pa-17409073?lid=210014712","Attorneys,General Practice Attorneys,Civil Litigation & Trial Law Attorneys","http://www.careyfischerlaw.com","","800 SE 3rd Ave","Fort Lauderdale","FL","33316","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"13. ","Tripp Scott PA","(954) 525-7500","https://www.yellowpages.com/fort-lauderdale-fl/mip/tripp-scott-pa-22788847?lid=1001649870302","Attorneys,Wills, Trusts & Estate Planning Attorneys,Legal Service Plans","http://www.trippscott.com/practice-areas","","110 SE 6th St","Fort Lauderdale","FL","33301","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
"14. ","Susan D. Lasky P.A.","(954) 400-7474","https://www.yellowpages.com/fort-lauderdale-fl/mip/susan-d-lasky-p-a-467854344?lid=1000992930542","Attorneys,Financial Services,Bankruptcy Services","http://www.suelasky.com","","915 Middle River Dr Ste 420","Fort Lauderdale","FL","33304","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Fort%20Lauderdale,%20Florida"
