"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Ted B. Lyons & Associates PC","(214) 838-1221","https://www.yellowpages.com/dallas-tx/mip/ted-b-lyons-associates-pc-496055703?lid=1001859135413","Attorneys,Automobile Accident Attorneys,Transportation Law Attorneys","http://www.tedlyon.com/?utm_source=YP.com-Network&utm_medium=YP.com-Network_20&utm_campaign=YP.com-Network_20","","18601 Lyndon B Johnson Fwy","Dallas","TX","75234","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Garland,%20Texas"
"2. ","The Law Offices of Juan Hernandez","(888) 287-0349","https://www.yellowpages.com/nationwide/mip/the-law-offices-of-juan-hernandez-2323232?lid=1001840961983","Attorneys,Personal Injury Law Attorneys,Accident Reconstruction Service","http://www.juanlaw.com/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Garland,%20Texas"
"3. ","Hemphill Robert D Attorney At Law","(214) 368-1226","https://www.yellowpages.com/dallas-tx/mip/hemphill-robert-d-attorney-at-law-451276996?lid=1002070299389","Attorneys,Business Management,General Practice Attorneys","http://hemphilllaw.com","","8350 N Central Expy Ste 950","Dallas","TX","75206","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Garland,%20Texas"
"4. ","Wilder Law Firm","(214) 317-4098","https://www.yellowpages.com/plano-tx/mip/wilder-law-firm-475213150?lid=1002045786190","Attorneys,General Practice Attorneys,Criminal Law Attorneys","https://www.wilderfirm.com","","7950 Legacy Drive Suite 365","Plano","TX","75024","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Garland,%20Texas"
"5. ","Legal Aid Legal Services Corp","(844) 213-6575","https://www.yellowpages.com/nationwide/mip/legal-aid-legal-services-corp-505997155?lid=1002023101995","Attorneys,Divorce Attorneys,Legal Clinics","http://www.legalaidlegalservices.org","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Garland,%20Texas"
"6. ","The Shapiro Law Firm","(469) 912-0026","https://www.yellowpages.com/plano-tx/mip/the-shapiro-law-firm-3577105?lid=1002054058866","Attorneys,Child Custody Attorneys,DUI & DWI Attorneys","http://www.theshapirolawfirm.com","","701 E 15th St Ste 204","Plano","TX","75074","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Garland,%20Texas"
"7. ","The King Firm","(682) 200-3676","https://www.yellowpages.com/fort-worth-tx/mip/the-king-firm-505005756?lid=1002059191956","Attorneys,Divorce Assistance,Adoption Law Attorneys","https://www.kingfamilylaw.com/practice-areas","","2900 Airport Fwy","Fort Worth","TX","76111","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Garland,%20Texas"
"8. ","Bill Gordon & Associates","(844) 461-0191","https://www.yellowpages.com/nationwide/mip/bill-gordon-associates-452285628?lid=1002082086974","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","https://bgasocialsecurityattorney.com/index.php/iyp","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Garland,%20Texas"
"9. ","TRAFFIC TICKET DEFENSE ATTORNEYS","(877) 787-2334","https://www.yellowpages.com/nationwide/mip/traffic-ticket-defense-attorneys-496530037?lid=1000936632521","Attorneys,Traffic Law Attorneys,DUI & DWI Attorneys","http://www.trafficticket-attorney.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Garland,%20Texas"
"10. ","George S. McKearin","(972) 889-3825","https://www.yellowpages.com/richardson-tx/mip/george-s-mckearin-4813260?lid=1001059924237","Attorneys,Divorce Assistance,Estate Planning, Probate, & Living Trusts","http://www.mckearinlaw.com","","1901 N Central Expy","Richardson","TX","75080","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Garland,%20Texas"
