"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Platt & Westby PC - Northwest Valley","(602) 730-9286","https://www.yellowpages.com/glendale-az/mip/platt-westby-pc-northwest-valley-468726175?lid=1002001779635","Attorneys,Business Law Attorneys,Bankruptcy Law Attorneys","https://www.plattwestby.com","","20325 N 51st Ave","Glendale","AZ","85308","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"2. ","MayesTelles PLLC","(602) 714-8554","https://www.yellowpages.com/phoenix-az/mip/mayestelles-pllc-460736001?lid=1000401357271","Attorneys,DUI & DWI Attorneys,Bankruptcy Law Attorneys","http://www.mayestelles.com/","","3636 N Central Ave Ste 1000","Phoenix","AZ","85012","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"3. ","Garrison Law Firm","(623) 473-9366","https://www.yellowpages.com/peoria-az/mip/garrison-law-firm-483376694?lid=1001788336081","Attorneys,Administrative & Governmental Law Attorneys,Wrongful Death Attorneys","http://www.garrisonlawfirm.com","","7972 W Thunderbird Rd","Peoria","AZ","85381","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"4. ","Legal Aid Legal Services Corp","(844) 213-6575","https://www.yellowpages.com/nationwide/mip/legal-aid-legal-services-corp-505997155?lid=1002023101995","Attorneys,Divorce Attorneys,Legal Clinics","http://www.legalaidlegalservices.org","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"5. ","Rare Lion Antiques & Jewelry","(480) 787-2081","https://www.yellowpages.com/tempe-az/mip/rare-lion-antiques-jewelry-25104844?lid=1002104397463","Attorneys,Jewelry Appraisers,Jewelers","http://www.rarelionantiques.com","","403 W University Dr","Tempe","AZ","85281","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"6. ","Thornley Law Firm","(623) 688-5181","https://www.yellowpages.com/phoenix-az/mip/thornley-law-firm-562133587?lid=1002072008018","Attorneys,DUI & DWI Attorneys,Drug Charges Attorneys","https://thornleylawfirm.com","","18441 N 25th Ave","Phoenix","AZ","85023","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"7. ","Bill Gordon & Associates","(844) 461-0191","https://www.yellowpages.com/nationwide/mip/bill-gordon-associates-452285628?lid=1002082086974","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","https://bgasocialsecurityattorney.com/index.php/iyp","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"8. ","Wright Law Offices-Free Consultation","(844) 447-5577","https://www.yellowpages.com/phoenix-az/mip/wright-law-offices-free-consultation-550400028?lid=1002090211034","Attorneys,Administrative & Governmental Law Attorneys,Collection Law Attorneys","http://www.azbklawyer.com","","2999 N 44th St Ste 600","Phoenix","AZ","85018","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"9. ","TRAFFIC TICKET DEFENSE ATTORNEYS","(877) 787-2334","https://www.yellowpages.com/nationwide/mip/traffic-ticket-defense-attorneys-496530037?lid=1000936632521","Attorneys,Traffic Law Attorneys,DUI & DWI Attorneys","http://www.trafficticket-attorney.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"10. ","Wayne P. Marsh, PLC","(623) 933-7427","https://www.yellowpages.com/sun-city-az/mip/wayne-p-marsh-plc-475563805?lid=1001369050288","Attorneys,Wills, Trusts & Estate Planning Attorneys","","","17220 N Boswell Blvd Ste 240e","Sun City","AZ","85373","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"11. ","Ronald G. Cooley, Attorney","(623) 341-5415","https://www.yellowpages.com/sun-city-az/mip/ronald-g-cooley-attorney-475166360?lid=1000437164949","Attorneys,Family Law Attorneys,Elder Law Attorneys","https://www.facebook.com/pages/cooleylaw-plc/1453561444944879","","","Sun City","AZ","85351","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"12. ","Jeide Law, PLLC","(480) 788-6149","https://www.yellowpages.com/litchfield-park-az/mip/jeide-law-pllc-526662870?lid=1001505443200","Attorneys,Business Law Attorneys,Administrative & Governmental Law Attorneys","","","5115 N Dysart Rd","Litchfield Park","AZ","85340","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"13. ","J David Tax Law","(888) 265-2361","https://www.yellowpages.com/jacksonville-fl/mip/j-david-tax-law-540773434?lid=1002069740015","Attorneys,Tax Return Preparation,Tax Attorneys","http://www.jdavidtaxlaw.com/free-consultation/yp/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
"14. ","Rowley Chapman & Barney","(888) 279-9896","https://www.yellowpages.com/mesa-az/mip/rowley-chapman-barney-473455863?lid=1000925185209","Attorneys,Criminal Law Attorneys,Family Law Attorneys","http://www.azlegal.com","","63 E Main St","Mesa","AZ","85201","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Glendale,%20Arizona"
