"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Law Office of Forrest W. Wagner","(214) 204-8060","https://www.yellowpages.com/grand-prairie-tx/mip/law-office-of-forrest-w-wagner-496494006?lid=1001469221050","Attorneys,Family Law Attorneys,Divorce Attorneys","https://www.wagfamlaw.com","","522 E Avenue K","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"2. ","Rudd James T","(972) 262-2736","https://www.yellowpages.com/grand-prairie-tx/mip/rudd-james-t-837376?lid=1001116627595","Attorneys,Legal Service Plans,Divorce Attorneys","http://www.jamestruddattorney.com","","410 NW 11th St","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"3. ","Ted B. Lyons & Associates PC","(214) 838-1221","https://www.yellowpages.com/dallas-tx/mip/ted-b-lyons-associates-pc-496055703?lid=1001859135413","Attorneys,Automobile Accident Attorneys,Transportation Law Attorneys","http://www.tedlyon.com/?utm_source=YP.com-Network&utm_medium=YP.com-Network_20&utm_campaign=YP.com-Network_20","","18601 Lyndon B Johnson Fwy","Dallas","TX","75234","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"4. ","The Law Offices of Juan Hernandez","(888) 287-0349","https://www.yellowpages.com/nationwide/mip/the-law-offices-of-juan-hernandez-2323232?lid=1001840961983","Attorneys,Personal Injury Law Attorneys,Accident Reconstruction Service","http://www.juanlaw.com/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"5. ","Hemphill Robert D Attorney At Law","(214) 368-1226","https://www.yellowpages.com/dallas-tx/mip/hemphill-robert-d-attorney-at-law-451276996?lid=1002070299389","Attorneys,Business Management,General Practice Attorneys","http://hemphilllaw.com","","8350 N Central Expy Ste 950","Dallas","TX","75206","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"6. ","Legal Aid Legal Services Corp","(844) 213-6575","https://www.yellowpages.com/nationwide/mip/legal-aid-legal-services-corp-505997155?lid=1002023101995","Attorneys,Divorce Attorneys,Legal Clinics","http://www.legalaidlegalservices.org","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"7. ","The King Firm","(682) 200-3676","https://www.yellowpages.com/fort-worth-tx/mip/the-king-firm-505005756?lid=1002059191956","Attorneys,Divorce Assistance,Adoption Law Attorneys","https://www.kingfamilylaw.com/practice-areas","","2900 Airport Fwy","Fort Worth","TX","76111","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"8. ","Bill Gordon & Associates","(844) 461-0191","https://www.yellowpages.com/nationwide/mip/bill-gordon-associates-452285628?lid=1002082086974","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","https://bgasocialsecurityattorney.com/index.php/iyp","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"9. ","TRAFFIC TICKET DEFENSE ATTORNEYS","(877) 787-2334","https://www.yellowpages.com/nationwide/mip/traffic-ticket-defense-attorneys-496530037?lid=1000936632521","Attorneys,Traffic Law Attorneys,DUI & DWI Attorneys","http://www.trafficticket-attorney.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"10. ","Ted B Lyons & Associates PC","(214) 838-0130","https://www.yellowpages.com/mesquite-tx/mip/ted-b-lyons-associates-pc-457989528?lid=1001852532013","Attorneys,Construction Law Attorneys,Asbestos & Chemical Law Attorneys","http://www.tedlyon.com/?utm_source=YP.com-Network&utm_medium=YP.com-Network_20&utm_campaign=YP.com-Network_20","","18601 Lyndon B Johnson Fwy","Mesquite","TX","75150","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"11. ","John Tanner","(214) 317-4202","https://www.yellowpages.com/plano-tx/mip/john-tanner-534316718?lid=1002102905619","Attorneys,Family Law Attorneys,Legal Service Plans","http://www.legalshieldassociate.com/johntanner","","2713 La Vida Pl","Plano","TX","75023","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"12. ","J David Tax Law","(888) 265-2361","https://www.yellowpages.com/jacksonville-fl/mip/j-david-tax-law-540773434?lid=1002069740015","Attorneys,Tax Return Preparation,Tax Attorneys","http://www.jdavidtaxlaw.com/free-consultation/yp/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"13. ","Cowboy Bail Bonds","(214) 265-7955","https://www.yellowpages.com/dallas-tx/mip/cowboy-bail-bonds-21880022?lid=171398595","Attorneys,Criminal Law Attorneys,Bail Bonds","http://www.cowboybail.com","","314 S Riverfront Blvd","Dallas","TX","75207","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"14. ","Warren N. Abrams Attorney at Law","(972) 960-9040","https://www.yellowpages.com/dallas-tx/mip/warren-n-abrams-attorney-at-law-474956304?lid=1000875194981","Attorneys,DUI & DWI Attorneys,Drug Charges Attorneys","http://warrenabramsattorney.com","","10300 N Central Expy","Dallas","TX","75231","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"15. ","The Law Offices of Juan Hernandez","(469) 324-1374","https://www.yellowpages.com/nationwide/mip/the-law-offices-of-juan-hernandez-465325179?lid=1001759447134","Attorneys,Personal Injury Law Attorneys,Labor & Employment Law Attorneys","http://www.juanlaw.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"16. ","Associated  Cutting","(214) 350-4436","https://www.yellowpages.com/dallas-tx/mip/associated-cutting-17639115?lid=1002004684153","Attorneys,Building Contractors,Business Law Attorneys","http://associatedcutting.com","","2676 Brenner","Dallas","TX","75220","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
"17. ","Sharion L. Fisher","(214) 597-0370","https://www.yellowpages.com/dallas-tx/mip/sharion-l-fisher-30190733?lid=1001907260661","Attorneys,Divorce Assistance,Family Law Attorneys","","","400 S Zang Blvd Ste 815","Dallas","TX","75208","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Grand%20Prairie,%20Texas"
