"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Law Office Of H A (Alec) Carpenter IV","(336) 333-5255","https://www.yellowpages.com/greensboro-nc/mip/law-office-of-h-a-alec-carpenter-iv-22649357?lid=1001974991754","Attorneys,Transportation Law Attorneys,Criminal Law Attorneys","http://www.highpointcriminallawyer.net/","","100 S Elm St Ste 430","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"2. ","McLaughlin, Anthony atty","(336) 383-1082","https://www.yellowpages.com/greensboro-nc/mip/mclaughlin-anthony-atty-16559832?lid=201529774","Attorneys,Wills, Trusts & Estate Planning Attorneys,Real Estate Attorneys","http://www.ncdirtlawyer.com/","","125 S Elm St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"3. ","Foust Richard R","(336) 834-0510","https://www.yellowpages.com/greensboro-nc/mip/foust-richard-r-482857085?lid=1000820229840","Attorneys,Family Law Attorneys,Wills, Trusts & Estate Planning Attorneys","http://www.rfoustlaw.net","","204 Muirs Chapel Rd","Greensboro","NC","27410","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"4. ","Hatfield, Kathryn K","(336) 273-9238","https://www.yellowpages.com/greensboro-nc/mip/hatfield-kathryn-k-2307628?lid=1001628722034","Attorneys,Criminal Law Attorneys,Domestic Violence Attorneys","http://www.hatfieldandhatfield.com","","219 W Washington St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"5. ","McLean, David B PLLC","(336) 455-9500","https://www.yellowpages.com/greensboro-nc/mip/mclean-david-b-pllc-11312359?lid=1001867943428","Attorneys,Family Law Attorneys,Elder Law Attorneys","http://www.mclean-elderlaw.com","","1100 Revolution Mill Dr, Studio  2","Greensboro","NC","27405","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"6. ","Rossi  Bonnie Attorney At Law","(336) 937-0976","https://www.yellowpages.com/greensboro-nc/mip/rossi-bonnie-attorney-at-law-482911759?lid=1002069200069","Attorneys,Child Custody Attorneys,Family Law Attorneys","https://www.bonnierossilawfirm.net","","101 S Elm St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"7. ","Hagan Barett","(336) 232-0650","https://www.yellowpages.com/greensboro-nc/mip/hagan-barett-555145420?lid=1002103325969","Attorneys,Administrative & Governmental Law Attorneys,Tax Attorneys","http://haganbarett.com","","300 N Greene St,","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"8. ","Roane Law - James M Roane III","(336) 252-8027","https://www.yellowpages.com/greensboro-nc/mip/roane-law-james-m-roane-iii-460717410?lid=1002102098146","Attorneys,Medical Law Attorneys,Automobile Accident Attorneys","http://roane-law.com","","107 Lindley Rd","Greensboro","NC","27410","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"9. ","Boydoh & Hale PLLC","(336) 272-3706","https://www.yellowpages.com/greensboro-nc/mip/boydoh-hale-pllc-451102580?lid=1001408589313","Attorneys,Corporation & Partnership Law Attorneys,General Practice Attorneys","http://www.boydohale.com","","125 S Elm St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"10. ","Bradley Law Group","(336) 478-2474","https://www.yellowpages.com/greensboro-nc/mip/bradley-law-group-497182244?lid=1001408590382","Attorneys,Labor & Employment Law Attorneys,Employee Benefits & Worker Compensation Attorneys","http://www.bradleylawnc.com","","1000 Revolution Mill Dr Studio 4","Greensboro","NC","27405","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"11. ","Lee Bruce A Attorney At Law","(336) 271-3060","https://www.yellowpages.com/greensboro-nc/mip/lee-bruce-a-attorney-at-law-460677447?lid=1001581017370","Attorneys,Transportation Law Attorneys,Criminal Law Attorneys","http://www.attorneybrucelee.com","","330 S Greene St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"12. ","Berman, Jeffrey PA","(336) 691-0054","https://www.yellowpages.com/greensboro-nc/mip/berman-jeffrey-pa-6154034?lid=1000439705546","Attorneys,Criminal Law Attorneys,Family Law Attorneys","","","216 Commerce Pl","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"13. ","Schafer Gerald S","(336) 273-9309","https://www.yellowpages.com/greensboro-nc/mip/schafer-gerald-s-13877110?lid=1001187450130","Attorneys,General Practice Attorneys,Traffic Law Attorneys","http://www.geraldschaferlaw.com","","220 Commerce Pl","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"14. ","Hatfield, Cynthia Ann","(336) 273-9238","https://www.yellowpages.com/greensboro-nc/mip/hatfield-cynthia-ann-523865980?lid=1002104187797","Attorneys,Family Law Attorneys,Divorce Attorneys","http://www.hatfieldandhatfield.com","","219 W Washington St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"15. ","Goulder Immigration Law Firm","(336) 808-1119","https://www.yellowpages.com/greensboro-nc/mip/goulder-immigration-law-firm-469520230?lid=1000350364811","Attorneys,General Practice Attorneys,Personal Injury Law Attorneys","http://www.gouldervisa.com","","204 Muirs Chapel Rd","Greensboro","NC","27410","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"16. ","Coltrane & Overfield PLLC","(336) 790-8049","https://www.yellowpages.com/greensboro-nc/mip/coltrane-overfield-pllc-6553019?lid=1002071298984","Attorneys,Business Law Attorneys,Real Estate Attorneys","http://www.caolaw.com","","106 N Elm St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"17. ","Frassineti & Glover","(336) 273-9794","https://www.yellowpages.com/greensboro-nc/mip/frassineti-glover-531800380?lid=1000437174890","Attorneys,Wills, Trusts & Estate Planning Attorneys,Bankruptcy Law Attorneys","","","221 Commerce Pl","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"18. ","Lloyd, Charles A","(336) 275-9358","https://www.yellowpages.com/greensboro-nc/mip/lloyd-charles-a-451102040?lid=1001321046687","Attorneys,Transportation Law Attorneys,Criminal Law Attorneys","http://www.lloydnashlawgreensboro.com","","110 John Wesley Way","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"19. ","Dennis Boring Attorney","(336) 275-8591","https://www.yellowpages.com/greensboro-nc/mip/dennis-boring-attorney-4017945?lid=1001809825754","Attorneys,General Practice Attorneys,Real Estate Attorneys","https://dennisboringlaw.com","","318 S Eugene St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"20. ","Pearman, Larry W","(336) 294-9401","https://www.yellowpages.com/greensboro-nc/mip/pearman-larry-w-975461?lid=1000570684347","Attorneys,Transportation Law Attorneys,Real Estate Attorneys","http://www.2larrypearmanlaw.com","","5405 W Friendly Ave","Greensboro","NC","27410","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"21. ","Gorham, F Kevin","(336) 272-8149","https://www.yellowpages.com/greensboro-nc/mip/gorham-f-kevin-543071673?lid=1000820230218","Attorneys,Accident & Property Damage Attorneys,Transportation Law Attorneys","http://www.maddoxandgorham.com","","100 S Elm St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"22. ","Williams, Joe A PA","(336) 272-8273","https://www.yellowpages.com/greensboro-nc/mip/williams-joe-a-pa-523895840?lid=1001408596159","Attorneys,Labor & Employment Law Attorneys,Personal Injury Law Attorneys","http://www.joewilliamslaw.com","","701 E Market St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"23. ","Cahoon & Swisher","(336) 275-9867","https://www.yellowpages.com/greensboro-nc/mip/cahoon-swisher-451070311?lid=1000820236266","Attorneys,Accident & Property Damage Attorneys,Transportation Law Attorneys","http://www.jswisherattorney.com","","100 S Elm St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"24. ","Burton, Sue & Anderson LLP","(336) 275-0512","https://www.yellowpages.com/greensboro-nc/mip/burton-sue-anderson-llp-520247113?lid=1001350935959","Attorneys,Accident & Property Damage Attorneys,Labor & Employment Law Attorneys","","","419 N Elm St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"25. ","Brod Disability Law","(336) 272-9302","https://www.yellowpages.com/greensboro-nc/mip/brod-disability-law-541983270?lid=1000439690535","Attorneys,Disability Services,Medical Equipment & Supplies","http://www.broddisabilitylaw.com","","517 Simpson Street","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"26. ","Redding & Redding","(336) 628-8062","https://www.yellowpages.com/asheboro-nc/mip/redding-redding-9875528?lid=1002071297605","Attorneys,Arbitration & Mediation Attorneys,General Practice Attorneys","https://www.reddingandredding.com","","173 Scarboro St","Asheboro","NC","27203","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
"27. ","Maynard Law","(336) 777-6478","https://www.yellowpages.com/winston-salem-nc/mip/maynard-law-565871463?lid=1002103329740","Attorneys,Accident & Property Damage Attorneys,Insurance","","","514 S Stratford Rd STE 321","Winston Salem","NC","27103","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Greensboro,%20North%20Carolina"
