"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","CYNTHIA RENA WRIGHT, PC","(256) 539-2121","https://www.yellowpages.com/huntsville-al/mip/cynthia-rena-wright-pc-502870302","Attorneys,Family Law Attorneys,Tax Attorneys","http://www.wrightlegalservices.com","","300 Bob Wallace Ave SW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"2. ","Martin & Helms PC","(256) 539-1990","https://www.yellowpages.com/huntsville-al/mip/martin-helms-pc-21764031","Attorneys,Elder Law Attorneys,Personal Injury Law Attorneys","http://www.martinhelms.com","","401 Holmes Ave NE","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"3. ","Lanier Ford","(256) 535-1100","https://www.yellowpages.com/huntsville-al/mip/lanier-ford-18350460","Attorneys,Divorce Attorneys,Family Law Attorneys","http://lanierford.com","","2101 Clinton Ave W","Huntsville","AL","35805","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"4. ","Siniard, Timberlake & League, P.C.","(256) 536-0770","https://www.yellowpages.com/huntsville-al/mip/siniard-timberlake-league-p-c-3298765","Attorneys,Social Security & Disability Law Attorneys,Accident & Property Damage Attorneys","https://www.law-injury.com/?y_source=1_MTQzMDcyMzctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","","125 Holmes Ave NW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"5. ","Ferguson & Ferguson Attorneys at Law","(256) 534-3435","https://www.yellowpages.com/huntsville-al/mip/ferguson-ferguson-attorneys-at-law-11412998","Attorneys,Accident & Property Damage Attorneys,Personal Injury Law Attorneys","http://fergusonferguson.com.com","","303 Williams Ave SW Ste 321","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"6. ","Hornsby Watson & Hornsby","(256) 666-3726","https://www.yellowpages.com/huntsville-al/mip/hornsby-watson-hornsby-21767331?lid=1001854242418","Attorneys,Transportation Law Attorneys,Social Security & Disability Law Attorneys","http://www.hornsbywatson.com","","1110 Gleneagles Dr SW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"7. ","Conwell & Conwell LLC","(256) 534-8711","https://www.yellowpages.com/huntsville-al/mip/conwell-conwell-llc-11261934","Attorneys","http://conwelllaw.com","","607 Madison St SE","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"8. ","Bradley, Norman Jr","(256) 536-2292","https://www.yellowpages.com/huntsville-al/mip/bradley-norman-jr-451059174","Attorneys,Criminal Law Attorneys,Family Law Attorneys","","","207 Eustis Ave SE","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"9. ","Cartron and Jacobs","(256) 203-0653","https://www.yellowpages.com/huntsville-al/mip/cartron-and-jacobs-475362219?lid=1002004639574","Attorneys,Family Law Attorneys,Bankruptcy Law Attorneys","http://www.cartronjacobs.com","","2310 Market Pl SW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"10. ","Conley Attorney at Law","(256) 533-6797","https://www.yellowpages.com/huntsville-al/mip/conley-attorney-at-law-3312172","Attorneys,Estate Planning, Probate, & Living Trusts,Landlord & Tenant Attorneys","http://www.raconleylaw.net/contact.html","","225 Spragins St NW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"11. ","G John Dezenberg Jr., Attorney at Law","(256) 533-5097","https://www.yellowpages.com/huntsville-al/mip/g-john-dezenberg-jr-attorney-at-law-6421169?lid=1000437165327","Attorneys,Credit & Debt Counseling,Bankruptcy Services","http://www.dezlarsen.com","","908 Memorial Pkwy NW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"12. ","Gardner Bruce A Attorney At Law","(256) 384-1286","https://www.yellowpages.com/huntsville-al/mip/gardner-bruce-a-attorney-at-law-503965953?lid=1000621141563","Attorneys,Administrative & Governmental Law Attorneys,Drug Charges Attorneys","http://www.gardnerlaw.org","","123 Northside Sq Ste 300","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"13. ","Warren & Simpson PC","(256) 539-7575","https://www.yellowpages.com/huntsville-al/mip/warren-simpson-pc-2258905?lid=204224300","Attorneys,Transportation Law Attorneys,Civil Litigation & Trial Law Attorneys","http://www.warrenandsimpson.com/","","105 Northside Sq","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"14. ","Watson McKinney LLP","(256) 801-4804","https://www.yellowpages.com/huntsville-al/mip/watson-mckinney-llp-21764855?lid=1000004002534","Attorneys,Civil Litigation & Trial Law Attorneys,Professional Liability & Negligence Law Attorneys","http://www.watsonmckinney.com","","200 Clinton Ave W Ste 110","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"15. ","Callahan PC","(256) 382-5180","https://www.yellowpages.com/huntsville-al/mip/callahan-pc-475027419?lid=1001433795707","Attorneys,Business Law Attorneys,Contract Law Attorneys","http://www.callahanpc.com","","301 Washington St NW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"16. ","Sharon A Johnston, Attorney at Law","(256) 512-9990","https://www.yellowpages.com/huntsville-al/mip/sharon-a-johnston-attorney-at-law-470437728?lid=1000783310341","Attorneys,Family Law Attorneys,Divorce Attorneys","","","509 Madison St SE","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"17. ","McKinney & Butler LLC","(256) 217-7614","https://www.yellowpages.com/huntsville-al/mip/mckinney-butler-llc-451195029?lid=1001842234263","Attorneys,Abstracters,Transportation Law Attorneys","http://www.personal-injured.com","","303 Williams Ave SW Ste 211","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"18. ","Mari A Irwin PC","(256) 428-1961","https://www.yellowpages.com/huntsville-al/mip/mari-a-irwin-pc-475235334?lid=1000437176798","Attorneys,Family Law Attorneys,Child Custody Attorneys","http://www.divorcelawyerhsv.com","","504 Cleveland Ave NW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"19. ","Morris King & Hodge Attorneys At Law","(256) 666-4188","https://www.yellowpages.com/huntsville-al/mip/morris-king-hodge-attorneys-at-law-10152817?lid=1001854241045","Attorneys,Civil Litigation & Trial Law Attorneys,General Practice Attorneys","http://www.mkhlawyers.com","","129 Pratt Ave NE","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"20. ","A Able American Bail Bond Co Inc","(256) 536-3611","https://www.yellowpages.com/huntsville-al/mip/a-able-american-bail-bond-co-inc-481558264?lid=1001979956927","Attorneys,Appellate Practice Attorneys,Criminal Law Attorneys","http://www.aaabailbond.net","","600 Wheeler Ave NW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"21. ","Rebekah L. Graham","(256) 895-9788","https://www.yellowpages.com/huntsville-al/mip/rebekah-l-graham-524685101?lid=1001437101085","Attorneys,Family Law Attorneys,Divorce Attorneys","http://www.rebekahgraham.com","","2313 MArket Place","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"22. ","Doviet Sharon Atty At Law","(256) 539-7337","https://www.yellowpages.com/huntsville-al/mip/doviet-sharon-atty-at-law-3982853?lid=204248476","Attorneys,Family Law Attorneys","","","920 Merchants Walk SW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"23. ","Terrell, Don Temple","(256) 536-6861","https://www.yellowpages.com/huntsville-al/mip/terrell-don-temple-10041633?lid=1001433794234","Attorneys,Wills, Trusts & Estate Planning Attorneys,Legal Service Plans","","","2322 Country Club Ave NW","Huntsville","AL","35816","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"24. ","Tina R McDonald Attorney At Law","(256) 539-0377","https://www.yellowpages.com/huntsville-al/mip/tina-r-mcdonald-attorney-at-law-531498085","Attorneys,DUI & DWI Attorneys,General Practice Attorneys","http://tinamcdonaldlaw.net","","101 Northside Sq","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"25. ","Price And Flowers Law Firm PC","(256) 536-6000","https://www.yellowpages.com/huntsville-al/mip/price-and-flowers-law-firm-pc-7349280","Attorneys,Criminal Law Attorneys,DUI & DWI Attorneys","http://www.alabamaduiattorney.com","","217 Randolph Ave SE","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"26. ","Ables, Baxter, Parker & Smith PC","(256) 533-3740","https://www.yellowpages.com/huntsville-al/mip/ables-baxter-parker-smith-pc-467170403","Attorneys,Family Law Attorneys,Accident & Property Damage Attorneys","","","315 Franklin St SE","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"27. ","Bruce Gardner Attorney at Law","(256) 533-5756","https://www.yellowpages.com/huntsville-al/mip/bruce-gardner-attorney-at-law-474987549","Attorneys,Criminal Law Attorneys,DUI & DWI Attorneys","http://www.gardnerlaw.org","","333 Franklin St SE Ste 400","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"28. ","Sirote & Permutt PC","(256) 536-1711","https://www.yellowpages.com/huntsville-al/mip/sirote-permutt-pc-465066359","Attorneys,Family Law Attorneys,Tax Attorneys","","","305 Church St SW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"29. ","Kimberly C Brown Law Firm LLC","(256) 533-8795","https://www.yellowpages.com/huntsville-al/mip/kimberly-c-brown-law-firm-llc-465694445","Attorneys,Family Law Attorneys,Labor & Employment Law Attorneys","http://www.kcbrownlawfirm.com","","224 Church St NW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
"30. ","Lusk, Jonathan M","(256) 704-1926","https://www.yellowpages.com/huntsville-al/mip/lusk-jonathan-m-7535908","Attorneys","http://www.luskandlusk.com","","115 Manning Dr SW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Huntsville,%20Alabama"
