"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Sames & Werstak","(956) 267-9371","https://www.yellowpages.com/laredo-tx/mip/sames-werstak-7181348?lid=1000061646645","Attorneys,Civil Litigation & Trial Law Attorneys,Business Law Attorneys","http://sameswerstak.com","","6721 McPherson Rd","Laredo","TX","78041","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Laredo,%20Texas"
"2. ","Del Rio Law Firm, PLLC","(956) 294-2669","https://www.yellowpages.com/laredo-tx/mip/del-rio-law-firm-pllc-544744629?lid=1001880565699","Attorneys,Transportation Law Attorneys,Criminal Law Attorneys","https://www.delriolawfirmtx.com","","401 E Hillside Rd","Laredo","TX","78041","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Laredo,%20Texas"
"3. ","Law Office of Melissa Saldana, P.C.","(956) 267-9507","https://www.yellowpages.com/laredo-tx/mip/law-office-of-melissa-saldana-p-c-544783360?lid=1000061646618","Attorneys,General Practice Attorneys","http://www.msaldanalaw.com/","","809 Victoria St","Laredo","TX","78040","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Laredo,%20Texas"
"4. ","Notzon Law Firm","(956) 717-1961","https://www.yellowpages.com/laredo-tx/mip/notzon-law-firm-21879967?lid=1001875396648","Attorneys,Estate Planning, Probate, & Living Trusts,Immigration Law Attorneys","http://notzonlawfirm.com/","","6999 Mcpherson Rd","Laredo","TX","78041","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Laredo,%20Texas"
"5. ","Zaffirini & Castillo","(956) 724-8355","https://www.yellowpages.com/laredo-tx/mip/zaffirini-castillo-547390590?lid=1002004593399","Attorneys,General Practice Attorneys,Family Law Attorneys","","","1407 Washington St","Laredo","TX","78040","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Laredo,%20Texas"
"6. ","Law Offices Of Freeman & Castillon","(956) 724-1445","https://www.yellowpages.com/laredo-tx/mip/law-offices-of-freeman-castillon-496612314?lid=1001509379709","Attorneys,Business Litigation Attorneys,Business Law Attorneys","","","6909 Springfield Ave","Laredo","TX","78041","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Laredo,%20Texas"
"7. ","The J.M. Dickerson Law Firm PLLC","(956) 790-8544","https://www.yellowpages.com/laredo-tx/mip/the-j-m-dickerson-law-firm-pllc-555587108?lid=1002104085120","Attorneys,Legal Document Assistance,Guardianship Services","http://www.dickeronlaw.com","","2 Lindenwood Drive","Laredo","TX","78045","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Laredo,%20Texas"
"8. ","Law Office of Melissa Saldana, P.C.","(956) 307-3431","https://www.yellowpages.com/laredo-tx/mip/law-office-of-melissa-saldana-p-c-478334473?lid=1001866840704","Attorneys,Divorce Assistance,Estate Planning Attorneys","http://www.msaldanalaw.com","","809 Victoria St","Laredo","TX","78040","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Laredo,%20Texas"
"9. ","Juan J. Garcia Attorney and Counselor at Law","(956) 284-6638","https://www.yellowpages.com/laredo-tx/mip/juan-j-garcia-attorney-and-counselor-at-law-479871425?lid=1000435841427","Attorneys,Family Law Attorneys,Divorce Assistance","http://www.attorneyjuanjgarcia.com","","260 W Calton Rd","Laredo","TX","78041","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Laredo,%20Texas"
"10. ","Law Offices Of Mario A. Castillo, Jr., PLLC","(956) 791-6634","https://www.yellowpages.com/laredo-tx/mip/law-offices-of-mario-a-castillo-jr-pllc-461697204?lid=1001062647376","Attorneys,Food & Beverage Consultants,Actuaries","http://www.mariocastilloattorney.com","","401 E Hillside Rd","Laredo","TX","78041","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Laredo,%20Texas"
