"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Dana Bruce","(562) 247-5712","https://www.yellowpages.com/long-beach-ca/mip/dana-bruce-544893138?lid=1001877985053","Attorneys,Credit & Debt Counseling,Personal Property Law Attorneys","http://www.bkspecialist.net","","4326 Atlantic Ave","Long Beach","CA","90807","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"2. ","Susan E Wise Law Offices","(562) 513-6482","https://www.yellowpages.com/long-beach-ca/mip/susan-e-wise-law-offices-23294399?lid=1002004315007","Attorneys,General Practice Attorneys,Business Law Attorneys","http://www.susanwiselaw.com","","1 World Trade Ctr Ste 400","Long Beach","CA","90831","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"3. ","Bergkvist & Carter","(562) 452-9660","https://www.yellowpages.com/long-beach-ca/mip/bergkvist-carter-22253688?lid=1002046296571","Attorneys,Business Law Attorneys,Corporation & Partnership Law Attorneys","http://lawbbc.com","","400 Oceangate Ste 800","Long Beach","CA","90802","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"4. ","Poland Richard L Attorney At Law","(562) 437-6418","https://www.yellowpages.com/long-beach-ca/mip/poland-richard-l-attorney-at-law-9728034?lid=1000437174795","Attorneys","","","333 W Broadway Ste 200","Long Beach","CA","90802","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"5. ","The Law Office Of Dana Bruce","(562) 269-1772","https://www.yellowpages.com/long-beach-ca/mip/the-law-office-of-dana-bruce-9801360?lid=1002055405858","Attorneys,Business Law Attorneys,Family Law Attorneys","http://www.bkspecialist.net","","4326 Atlantic Ave","Long Beach","CA","90807","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"6. ","Therodore J Batsakis Law","(562) 684-2041","https://www.yellowpages.com/long-beach-ca/mip/therodore-j-batsakis-law-567888009?lid=1002101326481","Attorneys,Criminal Law Attorneys,Personal Injury Law Attorneys","https://www.batsakislaw.com","","333 W Broadway Suite 214","Long Beach","CA","90802","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"7. ","Law Office Of Pereira & Moffatt","(800) 926-1852","https://www.yellowpages.com/long-beach-ca/mip/law-office-of-pereira-moffatt-478387779?lid=1000437165164","Attorneys,Family Law Attorneys,Domestic Violence Attorneys","http://www.npcrimlaw.com","","","Long Beach","CA","90810","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"8. ","Immigration Law Office of Ron A. Kamran","(562) 297-0335","https://www.yellowpages.com/long-beach-ca/mip/immigration-law-office-of-ron-a-kamran-456810349?lid=1001571734999","Attorneys,General Practice Attorneys,Immigration & Naturalization Consultants","http://www.ronkamran.com","","444 W Ocean Blvd","Long Beach","CA","90802","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"9. ","Andrea Cook & Associates","(562) 951-9135","https://www.yellowpages.com/long-beach-ca/mip/andrea-cook-associates-476050197?lid=1001487394206","Attorneys,General Practice Attorneys,Labor & Employment Law Attorneys","http://www.alcooklaw.com","","555 E Ocean Blvd Ste 430","Long Beach","CA","90802","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"10. ","Macksoud & Macksoud LLP","(562) 912-2250","https://www.yellowpages.com/long-beach-ca/mip/macksoud-macksoud-llp-513117955?lid=1001306269318","Attorneys,Domestic Violence Attorneys,Divorce Attorneys","http://www.macksoud-law.com","","1 World Trade Ctr Ste 2320","Long Beach","CA","90831","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"11. ","Leland  Judith S Law Office","(866) 764-3533","https://www.yellowpages.com/whittier-ca/mip/leland-judith-s-law-office-546027191?lid=1002034539500","Attorneys,Social Security & Disability Law Attorneys","http://www.disabilitylawfirm.com","","7007 Washington Ave","Whittier","CA","90602","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"12. ","Jonathan B Lafrance Law OFC","(844) 225-9098","https://www.yellowpages.com/valencia-ca/mip/jonathan-b-lafrance-law-ofc-1404805?lid=1002004568484","Attorneys,Family Law Attorneys,Personal Injury Law Attorneys","http://lawofficesofjonathanblafrance.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"13. ","The Accident Attorneys' Group Inc.","(562) 774-4728","https://www.yellowpages.com/nationwide/mip/the-accident-attorneys-group-inc-9939958?lid=1002040954151","Attorneys,Automobile Accident Attorneys,Personal Injury Law Attorneys","https://iaccidentlawyer.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"14. ","Topalian & Associates","(562) 479-0071","https://www.yellowpages.com/whittier-ca/mip/topalian-associates-461697025?lid=1002057220665","Attorneys,Divorce Assistance,Personal Injury Law Attorneys","http://www.topalianlaw.com","","7211 Painter Ave","Whittier","CA","90602","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"15. ","Legal Aid Legal Services Corp","(844) 213-6575","https://www.yellowpages.com/nationwide/mip/legal-aid-legal-services-corp-505997155?lid=1002023101995","Attorneys,Divorce Attorneys,Legal Clinics","http://www.legalaidlegalservices.org","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"16. ","Skvarna Law Firm","(626) 784-5267","https://www.yellowpages.com/upland-ca/mip/skvarna-law-firm-521069243?lid=1002004751672","Attorneys,Family Law Attorneys,Elder Law Attorneys","http://skvarnalaw.com","","965 N 2nd Ave","Upland","CA","91786","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"17. ","Charlton Weeks","(661) 450-9181","https://www.yellowpages.com/palmdale-ca/mip/charlton-weeks-544988665?lid=1002004319953","Attorneys,Wills, Trusts & Estate Planning Attorneys,Probate Law Attorneys","http://www.charltonweeks.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"18. ","Comstock & Sharpe, Inc.","(310) 904-6248","https://www.yellowpages.com/culver-city-ca/mip/comstock-sharpe-inc-472999956?lid=1002004533369","Attorneys,Wills, Trusts & Estate Planning Attorneys,Probate Law Attorneys","","","11100 Washington Blvd","Culver City","CA","90232","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"19. ","Advocate Law Firm Professional Law Corporation","(844) 898-6714","https://www.yellowpages.com/nationwide/mip/advocate-law-firm-professional-law-corporation-507252318?lid=1002058172217","Attorneys,Accident & Property Damage Attorneys","https://www.advocatelawfirm.org?npcmp=dir:local:4885229:92614","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
"20. ","Bill Gordon & Associates","(844) 461-0191","https://www.yellowpages.com/nationwide/mip/bill-gordon-associates-452285628?lid=1002082086974","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","https://bgasocialsecurityattorney.com/index.php/iyp","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Long%20Beach,%20California"
