"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Lynch Cox Gilman & Goodman PSC","(502) 792-9355","https://www.yellowpages.com/louisville-ky/mip/lynch-cox-gilman-goodman-psc-551151844?lid=209750757","Attorneys,General Practice Attorneys,Wills, Trusts & Estate Planning Attorneys","http://www.lynchcox.com","","500 W Jefferson St","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"2. ","Casi, Paul A II","(502) 907-1407","https://www.yellowpages.com/louisville-ky/mip/casi-paul-a-ii-932254?lid=166181377","Attorneys,Accident & Property Damage Attorneys,Personal Injury Law Attorneys","http://www.casi-law.com","","440 S 7th St","Louisville","KY","40203","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"3. ","Terry Wetherby, Attorney At Law","(502) 245-6930","https://www.yellowpages.com/louisville-ky/mip/terry-wetherby-attorney-at-law-480213577?lid=1001594704529","Attorneys,Probate Law Attorneys,Wills, Trusts & Estate Planning Attorneys","http://attorneyatlawlouisville.com/","","11703 Main St.(Middletown)","Louisville","KY","40243","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"4. ","Deatrick & Spies PSC","(502) 583-9607","https://www.yellowpages.com/louisville-ky/mip/deatrick-spies-psc-454021406?lid=1001514538379","Attorneys,Bankruptcy Law Attorneys,Collection Law Attorneys","http://dsatty.com","","1587 Story Ave","Louisville","KY","40206","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"5. ","Watson Gregory E Attorney at Law","(502) 582-2017","https://www.yellowpages.com/louisville-ky/mip/watson-gregory-e-attorney-at-law-481031463?lid=1001211640330","Attorneys,General Practice Attorneys,Business Law Attorneys","","","129 Evergreen Rd","Louisville","KY","40243","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"6. ","Lynch Cox Gilman & Goodman Psc","(502) 709-6516","https://www.yellowpages.com/louisville-ky/mip/lynch-cox-gilman-goodman-psc-6637353?lid=1002004541974","Attorneys,Family Law Attorneys,Wills, Trusts & Estate Planning Attorneys","http://lynchcoxlaw.com","","500 W Jefferson St","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"7. ","Cooper & Friedman PLLC","(502) 694-4813","https://www.yellowpages.com/louisville-ky/mip/cooper-friedman-pllc-502776574?lid=1002102904779","Attorneys,Labor & Employment Law Attorneys,Accident & Property Damage Attorneys","https://www.cooperandfriedman.com","","1448 Gardiner Ln, Ste 301","Louisville","KY","40213","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"8. ","Trifiletti  Barry M Attorney At Law","(502) 589-9333","https://www.yellowpages.com/louisville-ky/mip/trifiletti-barry-m-attorney-at-law-6749493?lid=1001594704099","Attorneys,Wills, Trusts & Estate Planning Attorneys,Bankruptcy Law Attorneys","http://www.trifilettilaw.com","","721 W Market St","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"9. ","Airhart Edward C PSC","(502) 587-0789","https://www.yellowpages.com/louisville-ky/mip/airhart-edward-c-psc-773899?lid=1001280173230","Attorneys,Legal Clinics,General Practice Attorneys","http://airhart.com/","","440 S 7th St","Louisville","KY","40203","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"10. ","Hebel & Hornung PLLC","(502) 429-9790","https://www.yellowpages.com/louisville-ky/mip/hebel-hornung-pllc-460431548?lid=320505574","Attorneys,Real Estate Attorneys","http://www.hebelhornung.com","","6511 Glenridge Park Pl","Louisville","KY","40222","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"11. ","PenceLegal  PLLC","(502) 736-6200","https://www.yellowpages.com/louisville-ky/mip/pencelegal-pllc-529554693?lid=1001753959393","Attorneys,Business Law Attorneys,Family Law Attorneys","","","2527 Nelson Miller Pkwy Ste 207","Louisville","KY","40223","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"12. ","Mann and Mann Attorney At Law","(502) 587-6544","https://www.yellowpages.com/louisville-ky/mip/mann-and-mann-attorney-at-law-503523265?lid=1001797481183","Attorneys,Real Estate Attorneys","","","500 W Jefferson St","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"13. ","Bardenwerper Talbott & Roberts PLLC","(502) 426-6688","https://www.yellowpages.com/louisville-ky/mip/bardenwerper-talbott-roberts-pllc-458752834?lid=320505430","Attorneys,Real Estate Attorneys","http://www.bardlaw.net","","1000 N Hurstbourne Pkwy","Louisville","KY","40223","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"14. ","Black, David A","(502) 244-3153","https://www.yellowpages.com/louisville-ky/mip/black-david-a-510676493?lid=1001280154932","Attorneys,Corporation & Partnership Law Attorneys,Business Law Attorneys","http://www.davidblacklaw.com","","306 Middletown Park Pl","Louisville","KY","40243","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"15. ","Pryce, Christine M","(502) 589-6190","https://www.yellowpages.com/louisville-ky/mip/pryce-christine-m-527617578?lid=1001526350375","Attorneys","http://christinepriceinc.com","","600 W Main St","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"16. ","Jim Stokes","(502) 361-2466","https://www.yellowpages.com/louisville-ky/mip/jim-stokes-508973274?lid=1001280174360","Attorneys","","","5330 S 3rd St","Louisville","KY","40214","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"17. ","Price, Christine M","(502) 589-6190","https://www.yellowpages.com/louisville-ky/mip/price-christine-m-527612599?lid=1001526350374","Attorneys","http://christinepriceinc.com","","600 W Main St","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"18. ","Shuster Richard","(502) 584-6090","https://www.yellowpages.com/louisville-ky/mip/shuster-richard-454030415?lid=1000437174972","Attorneys,Divorce Assistance,Divorce Attorneys","","","239 S 5th St","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"19. ","James L Fine Attorney PLLC","(502) 899-9997","https://www.yellowpages.com/louisville-ky/mip/james-l-fine-attorney-pllc-21779767?lid=1000439511512","Attorneys,Probate Law Attorneys,Estate Planning Attorneys","http://louisville.citysearch.com/profile/667224770/louisville_ky/fine_james_l_attorney_pllc.html","","4175 Westport Rd","Louisville","KY","40207","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"20. ","Nutt Law Office","(502) 589-0635","https://www.yellowpages.com/louisville-ky/mip/nutt-law-office-12303686?lid=1000525068446","Attorneys,Employee Benefits & Worker Compensation Attorneys,Labor & Employment Law Attorneys","http://nuttlawlouisville.com","","462 Meidinger Tower Suite 1750","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"21. ","Brophy, Katie M Attorney At Law","(502) 561-3486","https://www.yellowpages.com/louisville-ky/mip/brophy-katie-m-attorney-at-law-18487859?lid=1000435841775","Attorneys,Criminal Law Attorneys,Family Law Attorneys","http://www.suzannecorderylaw.com","","101 N 7th St","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"22. ","Patrick T Alcorn Atty","(502) 895-4030","https://www.yellowpages.com/louisville-ky/mip/patrick-t-alcorn-atty-22109744?lid=1000476991956","Attorneys,Wills, Trusts & Estate Planning Attorneys,Family Law Attorneys","","","120 Meridian Ave Ste 1","Louisville","KY","40207","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"23. ","Stoess, Ray H Jr","(502) 583-8633","https://www.yellowpages.com/louisville-ky/mip/stoess-ray-h-jr-460626165?lid=1001214508194","Attorneys,Social Security & Disability Law Attorneys,Personal Injury Law Attorneys","http://www.stoesslawky.com","","600 W Main St","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"24. ","Marks, Greg","(502) 244-4800","https://www.yellowpages.com/louisville-ky/mip/marks-greg-8813943?lid=1001280178398","Attorneys,Social Security & Disability Law Attorneys,General Practice Attorneys","http://www.gregmarkslaw.com","","115 N Watterson Trl","Louisville","KY","40243","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"25. ","Evensen Law Office","(502) 719-3145","https://www.yellowpages.com/louisville-ky/mip/evensen-law-office-14319375?lid=1000437166401","Attorneys,Workers Compensation Assistance,Accident & Property Damage Attorneys","http://www.evensenlawoffice.com","","6011 Brownsboro Park Blvd","Louisville","KY","40207","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"26. ","Roy, Neil P Attorney At Law","(502) 435-4696","https://www.yellowpages.com/louisville-ky/mip/roy-neil-p-attorney-at-law-531084223?lid=1001191608235","Attorneys,Criminal Law Attorneys,Drug Charges Attorneys","http://www.4neilroylaw.com","","539 W Market St","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"27. ","Cotton Wolfinbarger And Associates PLLC","(502) 569-2711","https://www.yellowpages.com/louisville-ky/mip/cotton-wolfinbarger-and-associates-pllc-21773471?lid=1000437173740","Attorneys,Employee Benefits & Worker Compensation Attorneys,Social Security & Disability Law Attorneys","http://www.ttcottonlaw.com","","640 S 4th St","Louisville","KY","40202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"28. ","Masters Mullins & Arrington","(502) 582-2900","https://www.yellowpages.com/louisville-ky/mip/masters-mullins-arrington-466711943?lid=1000855222688","Attorneys,Legal Service Plans,Business Law Attorneys","","","1012 S 4th St","Louisville","KY","40203","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
"29. ","McCoy & Hiestand, PLC","(800) 254-4444","https://www.yellowpages.com/louisville-ky/mip/mccoy-hiestand-plc-503024959?lid=1000562989525","Attorneys,Wills, Trusts & Estate Planning Attorneys,Medical Law Attorneys","http://www.mccoyandhiestand.com","","108 Browns Ln","Louisville","KY","40207","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Louisville,%20Kentucky"
