"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Baird, Lisa A Divorce & Family Law Attorney","(305) 548-8852","https://www.yellowpages.com/miami-fl/mip/baird-lisa-a-divorce-family-law-attorney-523869905?lid=1001409254962","Attorneys,General Practice Attorneys,Child Custody Attorneys","http://www.lisabairdpa.com/","","10271 SW 72nd St Ste 103","Miami","FL","33173","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Miami,%20Florida"
"2. ","Kaufman Steven D","(786) 528-6730","https://www.yellowpages.com/miami-fl/mip/kaufman-steven-d-5162868?lid=197752814","Attorneys,Divorce Assistance,Family Law Attorneys","http://www.stevenkaufman.com","","8950 SW 74th Ct Ste 1711","Miami","FL","33156","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Miami,%20Florida"
"3. ","Stokes & Gonzales Pa","(786) 475-2079","https://www.yellowpages.com/miami-fl/mip/stokes-gonzales-pa-460679666?lid=1001408580826","Attorneys,Personal Injury Law Attorneys,Medical Law Attorneys","http://www.stokesgonzalez.com/","","7300 N Kendall Dr Ste 519","Miami","FL","33156","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Miami,%20Florida"
"4. ","The Law Office of Stuart L. Stuart, PA","(786) 214-6139","https://www.yellowpages.com/miami-fl/mip/the-law-office-of-stuart-l-stuart-pa-506376198?lid=1001546366212","Attorneys,Landlord & Tenant Attorneys,Eviction Service","http://www.tockmanlaw.com/","","12905 SW 42nd St Ste 205","Miami","FL","33175","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Miami,%20Florida"
"5. ","Peckar & Abramson","(305) 358-2600","https://www.yellowpages.com/miami-fl/mip/peckar-abramson-539010209?lid=1001771666523","Attorneys,Construction Law Attorneys,Commercial Law Attorneys","http://www.pecklaw.com","","1 SE 3rd Ave Ste 3100","Miami","FL","33131","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Miami,%20Florida"
"6. ","Hochman & Goldin PA","(786) 214-6351","https://www.yellowpages.com/miami-fl/mip/hochman-goldin-pa-7762677?lid=1001848685888","Attorneys,Traffic Law Attorneys,Transportation Law Attorneys","http://www.hochmanandgoldin.com","","9703 S Dixie Hwy","Miami","FL","33156","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Miami,%20Florida"
"7. ","Horn Andrew W PA","(305) 373-7789","https://www.yellowpages.com/miami-fl/mip/horn-andrew-w-pa-464702907?lid=1001914657270","Attorneys,General Practice Attorneys,Transportation Law Attorneys","http://www.andrewhornlaw.com","","1 SE 3rd Ave","Miami","FL","33131","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Miami,%20Florida"
"8. ","McLuskey, McDonald & Hughes, P.A.","(786) 577-4008","https://www.yellowpages.com/miami-fl/mip/mcluskey-mcdonald-hughes-p-a-479404017?lid=1001637351409","Attorneys,General Practice Attorneys,Business Law Attorneys","http://www.mmlawmiami.com/","","8821 SW 69th Ct","Miami","FL","33156","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Miami,%20Florida"
"9. ","Buchbinder & Elegant PA","(786) 724-2703","https://www.yellowpages.com/miami-fl/mip/buchbinder-elegant-pa-468265743?lid=386408547","Attorneys,Real Estate Attorneys,Divorce Attorneys","","","46 SW 1st St","Miami","FL","33130","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Miami,%20Florida"
"10. ","The Law Office of Stuart L. Tockman, P.A.","(786) 808-6244","https://www.yellowpages.com/miami-fl/mip/the-law-office-of-stuart-l-tockman-p-a-563749772?lid=1002016318170","Attorneys,Real Estate Attorneys,Landlord & Tenant Attorneys","http://tockmanlaw.com","","12905 SW 42nd St Ste 205","Miami","FL","33175","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Miami,%20Florida"
"11. ","Zimmett & Zimmett PA","(786) 693-6187","https://www.yellowpages.com/miami-fl/mip/zimmett-zimmett-pa-3311858?lid=1001575947408","Attorneys,Wills, Trusts & Estate Planning Attorneys,Real Estate Attorneys","","","9200 S Dadeland Blvd","Miami","FL","33156","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Miami,%20Florida"
