"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","John  F Longley Attorney","(772) 335-7447","https://www.yellowpages.com/port-st-lucie-fl/mip/john-f-longley-attorney-451072575?lid=1001616285884","Attorneys,Bankruptcy Law Attorneys","http://www.LongleyandRand.com","","1801 SE Port St Lucie","Port St Lucie","FL","34952","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"2. ","Rebuck, Michael Todd P.A.","(772) 600-4039","https://www.yellowpages.com/palm-city-fl/mip/rebuck-michael-todd-p-a-531731521?lid=1001616292475","Attorneys,Family Law Attorneys","http://www.thefamilylawattorney.net/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"3. ","Concha, Hugo J","(772) 461-6211","https://www.yellowpages.com/fort-pierce-fl/mip/concha-hugo-j-474483718?lid=1000548140119","Attorneys,Transportation Law Attorneys,DUI & DWI Attorneys","http://www.conchalaw.com","","211 S 2nd St","Fort Pierce","FL","34950","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"4. ","Ziskinder Steve PA","(772) 466-8000","https://www.yellowpages.com/fort-pierce-fl/mip/ziskinder-steve-pa-2116845?lid=1001329778529","Attorneys,Family Law Attorneys,DUI & DWI Attorneys","http://www.steveziskinderfortpiercefl.com","","311 S 2nd St Suite 102B","Fort Pierce","FL","34950","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"5. ","Address, Stuart M PA","(772) 266-7241","https://www.yellowpages.com/stuart-fl/mip/address-stuart-m-pa-157251?lid=355555642","Attorneys,General Practice Attorneys,Criminal Law Attorneys","http://stuartaddresslaw.com/","","611 SW Federal Hwy","Stuart","FL","34994","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"6. ","Searcy Denney","(561) 328-1422","https://www.yellowpages.com/west-palm-beach-fl/mip/searcy-denney-541169080?lid=1001809827597","Attorneys,General Practice Attorneys,Personal Property Law Attorneys","http://www.searcylaw.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"7. ","Michael Todd Rebuck","(772) 266-7488","https://www.yellowpages.com/palm-city-fl/mip/michael-todd-rebuck-497654702?lid=1000626968333","Attorneys,Child Custody Attorneys,General Practice Attorneys","http://www.treasurecoastfamilylaw.com/","","1025 SW Martin Downs Blvd","Palm City","FL","34990","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"8. ","Messer and Messer Law Offices","(772) 800-2471","https://www.yellowpages.com/port-saint-lucie-fl/mip/messer-and-messer-law-offices-3069986?lid=194964870","Attorneys,Civil Litigation & Trial Law Attorneys,General Practice Attorneys","http://www.messerandmesser.com","","1555 NW Saint Lucie West Blvd","Port Saint Lucie","FL","34986","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"9. ","Abrahamson & Abrahamson","(772) 888-0299","https://www.yellowpages.com/stuart-fl/mip/abrahamson-abrahamson-550826193?lid=194961210","Attorneys,Wills, Trusts & Estate Planning Attorneys,Probate Law Attorneys","http://www.abrahamsonattorney.com","","759 SW Federal Hwy Ste 302","Stuart","FL","34994","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"10. ","Legal Aid Legal Services Corp","(844) 213-6575","https://www.yellowpages.com/nationwide/mip/legal-aid-legal-services-corp-505997155?lid=1002023101995","Attorneys,Divorce Attorneys,Legal Clinics","http://www.legalaidlegalservices.org","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"11. ","Bill Gordon & Associates","(844) 461-0191","https://www.yellowpages.com/nationwide/mip/bill-gordon-associates-452285628?lid=1002082086974","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","https://bgasocialsecurityattorney.com/index.php/iyp","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"12. ","David M. Lamos","(772) 464-4054","https://www.yellowpages.com/fort-pierce-fl/mip/david-m-lamos-15822836?lid=1001616295344","Attorneys,Family Law Attorneys,Criminal Law Attorneys","http://davidmlamos.com","","805 Delaware Ave","Fort Pierce","FL","34950","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"13. ","TRAFFIC TICKET DEFENSE ATTORNEYS","(877) 787-2334","https://www.yellowpages.com/nationwide/mip/traffic-ticket-defense-attorneys-496530037?lid=1000936632521","Attorneys,Traffic Law Attorneys,DUI & DWI Attorneys","http://www.trafficticket-attorney.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"14. ","Hendrickson, Kevin H","(772) 461-0558","https://www.yellowpages.com/fort-pierce-fl/mip/hendrickson-kevin-h-1874033?lid=1001616295387","Attorneys,Family Law Attorneys,Elder Law Attorneys","http://megapump.com","","310 S 2nd St","Fort Pierce","FL","34950","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"15. ","Becht, Edward W","(772) 465-5500","https://www.yellowpages.com/fort-pierce-fl/mip/becht-edward-w-6004300?lid=1001616295377","Attorneys,Wills, Trusts & Estate Planning Attorneys,Business Law Attorneys","http://bechtlaw.com","","321 S 2nd St","Fort Pierce","FL","34950","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
"16. ","Ozment Law PA","(772) 344-9090","https://www.yellowpages.com/port-saint-lucie-fl/mip/ozment-law-pa-453999289?lid=1001272343443","Attorneys,Bankruptcy Law Attorneys,Real Estate Attorneys","http://www.drakeozment.com","","201 SW Port St Lucie Blvd","Port Saint Lucie","FL","34984","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Port%20St.%20Lucie,%20Florida"
