"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Social Security Disability Advisors","(844) 353-2605","https://www.yellowpages.com/salt-lake-city-ut/mip/social-security-disability-advisors-475537434?lid=1001946553005","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","http://disabilityadvisors.com","","5200 S Highland Dr Ste 300","Salt Lake City","UT","84117","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Salt%20Lake%20City,%20Utah"
"2. ","Law Office Of Brian D. Kelm","(385) 429-3665","https://www.yellowpages.com/salt-lake-city-ut/mip/law-office-of-brian-d-kelm-452438017?lid=1002090993411","Attorneys,Insurance Attorneys,Social Security & Disability Law Attorneys","http://www.briankelm.com","","3191 S Valley St","Salt Lake City","UT","84109","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Salt%20Lake%20City,%20Utah"
"3. ","Morriss O'Bryant Compagni Cannon","(385) 399-9895","https://www.yellowpages.com/salt-lake-city-ut/mip/morriss-obryant-compagni-cannon-532865424?lid=1002100939627","Attorneys,Personal Property Law Attorneys,Trademark Agents & Consultants","http://www.mocclaw.com","","4505 S Wasatch Blvd","Salt Lake City","UT","84124","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Salt%20Lake%20City,%20Utah"
"4. ","Arnold, Wadsworth & Coggins","(801) 917-6953","https://www.yellowpages.com/salt-lake-city-ut/mip/arnold-wadsworth-coggins-534674258?lid=1002030317822","Attorneys,Child Custody Attorneys,Divorce Assistance","https://arnoldwadsworth.com","","465 S 400 E Ste 100","Salt Lake City","UT","84111","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Salt%20Lake%20City,%20Utah"
"5. ","Griffiths & Turner / GT Title Services Inc.","(385) 419-4764","https://www.yellowpages.com/salt-lake-city-ut/mip/griffiths-turner-gt-title-services-inc-543958323?lid=1001783024426","Attorneys,Property & Casualty Insurance,Insurance","http://www.gttitle.net","","5295 S Commerce Dr Ste 150","Salt Lake City","UT","84107","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Salt%20Lake%20City,%20Utah"
"6. ","Herschel Bullen Attorney at Law","(801) 583-1880","https://www.yellowpages.com/salt-lake-city-ut/mip/herschel-bullen-attorney-at-law-475111663?lid=395780478","Attorneys,Appellate Practice Attorneys,Criminal Law Attorneys","http://attorneysaltlake.com","","43 E 400 S","Salt Lake City","UT","84111","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Salt%20Lake%20City,%20Utah"
"7. ","Davis & Jones Law Office","(801) 262-2244","https://www.yellowpages.com/salt-lake-city-ut/mip/davis-jones-law-office-476263575?lid=1000998740630","Attorneys,Financial Services,Bankruptcy Law Attorneys","http://www.utahdebtcare.com","","5663 S Redwood Rd Unit 1","Salt Lake City","UT","84123","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Salt%20Lake%20City,%20Utah"
"8. ","Jeff B. Skoubye, Attorney at Law","(801) 930-6632","https://www.yellowpages.com/salt-lake-city-ut/mip/jeff-b-skoubye-attorney-at-law-21938433?lid=1000439685237","Attorneys,Business Law Attorneys,Corporation & Partnership Law Attorneys","http://www.estateplanutah.com","","999 E Murray Holladay Rd Ste 200","Salt Lake City","UT","84117","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Salt%20Lake%20City,%20Utah"
"9. ","Scalley, Reading, Bates, Hansen, & Rasmussen, P.C.","(385) 715-4052","https://www.yellowpages.com/salt-lake-city-ut/mip/scalley-reading-bates-hansen-rasmussen-p-c-479809301?lid=1002104081605","Attorneys,Business Law Attorneys,Family Law Attorneys","http://www.scalleyreading.com","","15 W South Temple Ste 600","Salt Lake City","UT","84101","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Salt%20Lake%20City,%20Utah"
"10. ","Dart Adamson & Donovan","(385) 429-3716","https://www.yellowpages.com/salt-lake-city-ut/mip/dart-adamson-donovan-497558341?lid=1002104089004","Attorneys,General Practice Attorneys,Family Law Attorneys","http://www.dadlaw.net","","257 E 200 S","Salt Lake City","UT","84111","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Salt%20Lake%20City,%20Utah"
"11. ","Agree-Able Mediations LLC","(801) 528-6350","https://www.yellowpages.com/salt-lake-city-ut/mip/agree-able-mediations-llc-549889447?lid=1002004673146","Attorneys,Counseling Services,Marriage, Family, Child & Individual Counselors","https://www.agreeablemediations.com","","50 W Broadway Ste 300","Salt Lake City","UT","84101","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Salt%20Lake%20City,%20Utah"
