"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Bartleson Law Office PLLC","(509) 960-2312","https://www.yellowpages.com/spokane-wa/mip/bartleson-law-office-pllc-475698537?lid=1002062513574","Attorneys,Divorce Assistance,Family Law Attorneys","http://bartlesonelawoffice.com","","1307 W 8th Ave Apt 1","Spokane","WA","99204","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Spokane,%20Washington"
"2. ","Randall & Danskin","(509) 558-8260","https://www.yellowpages.com/spokane-wa/mip/randall-danskin-11009493?lid=1001982814803","Attorneys,Business Law Attorneys,Corporation & Partnership Law Attorneys","","","601 W Riverside Ave Ste 1500","Spokane","WA","99201","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Spokane,%20Washington"
"3. ","David J. Crouse & Associates, PLLC","(509) 624-1380","https://www.yellowpages.com/spokane-wa/mip/david-j-crouse-associates-pllc-458041?lid=1001981057567","Attorneys,Divorce Attorneys,Family Law Attorneys","https://crouselawgroup.com","","422 W Riverside Ave Ste 920","Spokane","WA","99201","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Spokane,%20Washington"
"4. ","Richard E Gilleran","(509) 484-5900","https://www.yellowpages.com/spokane-wa/mip/richard-e-gilleran-7675830?lid=1001782587646","Attorneys,Family Law Attorneys,Wills, Trusts & Estate Planning Attorneys","http://richardgilleran.com","","201 W Francis Ave","Spokane","WA","99205","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Spokane,%20Washington"
"5. ","Dan Johnson Law","(509) 483-5311","https://www.yellowpages.com/spokane-wa/mip/dan-johnson-law-519581366?lid=1001783000055","Attorneys","http://www.dbjlawspokane.com","","1328 W Mallon Ave","Spokane","WA","99201","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Spokane,%20Washington"
"6. ","Kapri Law","(509) 252-6002","https://www.yellowpages.com/spokane-wa/mip/kapri-law-503065278?lid=1001485636253","Attorneys,Family Law Attorneys,Child Custody Attorneys","http://www.spokane-family-law.com/contact","","1312 N Monroe St # 244","Spokane","WA","99201","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Spokane,%20Washington"
"7. ","Deissner Law Office","(509) 209-8136","https://www.yellowpages.com/spokane-wa/mip/deissner-law-office-22771006?lid=1002019966153","Attorneys,Social Security & Disability Law Attorneys,Bankruptcy Law Attorneys","http://deissnerlaw.com","","1707 W Broadway Ave","Spokane","WA","99201","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Spokane,%20Washington"
"8. ","Adoption and Guardianship Services","(509) 960-6306","https://www.yellowpages.com/spokane-wa/mip/adoption-and-guardianship-services-497740880?lid=1002104193441","Attorneys,Family Planning Information Centers,General Practice Attorneys","http://www.adoptionwa.com","","921 W Broadway Ave,","Spokane","WA","99201","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Spokane,%20Washington"
"9. ","Fannin Law Group","(509) 818-0010","https://www.yellowpages.com/spokane-wa/mip/fannin-law-group-538102477?lid=1001981505193","Attorneys,Personal Injury Law Attorneys,Transportation Law Attorneys","http://fanninlaw.com","","1312 N Monroe St","Spokane","WA","99201","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Spokane,%20Washington"
"10. ","Best Law PLLC","(509) 558-8653","https://www.yellowpages.com/spokane-wa/mip/best-law-pllc-504949818?lid=1002082255664","Attorneys,Insurance Attorneys,Transportation Law Attorneys","http://www.bestlawspokane.com","","905 W Riverside Ave Ste 409","Spokane","WA","99201","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Spokane,%20Washington"
