"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Felhaber Larson Fenlon & Vogt","(612) 900-2784","https://www.yellowpages.com/saint-paul-mn/mip/felhaber-larson-fenlon-vogt-459562753?lid=1001769524244","Attorneys,Real Estate Attorneys","http://felhaber.com","","444 Cedar St Ste 2100","Saint Paul","MN","55101","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=St.%20Paul,%20Minnesota"
"2. ","Meshbesher & Spence","(651) 571-1529","https://www.yellowpages.com/saint-paul-mn/mip/meshbesher-spence-472217708?lid=1002028686631","Attorneys,Criminal Law Attorneys,Personal Injury Law Attorneys","http://meshbesher.com","","7300 Hudson Blvd N","Saint Paul","MN","55128","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=St.%20Paul,%20Minnesota"
"3. ","Sheila J. Kelly Law Firm, LLC","(612) 568-8758","https://www.yellowpages.com/saint-paul-mn/mip/sheila-j-kelly-law-firm-llc-475567551?lid=1000439592853","Attorneys,Elder Law Attorneys,Estate Planning Attorneys","http://sheilakellylaw.com","","4856 Banning Ave","Saint Paul","MN","55110","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=St.%20Paul,%20Minnesota"
"4. ","Pierce Richards Law Office","(651) 645-1055","https://www.yellowpages.com/saint-paul-mn/mip/pierce-richards-law-office-21760890?lid=1000439506133","Attorneys","http://www.lizpierce.com","","2230 Carter Ave Ste 10","Saint Paul","MN","55108","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=St.%20Paul,%20Minnesota"
"5. ","Tentinger Law Firm","(952) 953-3330","https://www.yellowpages.com/saint-paul-mn/mip/tentinger-law-firm-7677187?lid=1000437174005","Attorneys,Divorce Attorneys,Personal Injury Law Attorneys","http://tentingerlawfirm.com","","15000 Garrett Ave","Saint Paul","MN","55124","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=St.%20Paul,%20Minnesota"
"6. ","Thoelke David Atty","(651) 778-3000","https://www.yellowpages.com/saint-paul-mn/mip/thoelke-david-atty-8285667?lid=1000439550870","Attorneys","","","1959 Sloan Pl","Saint Paul","MN","55117","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=St.%20Paul,%20Minnesota"
"7. ","Caldecott & Forro, P.L.C.","(612) 504-5089","https://www.yellowpages.com/saint-paul-mn/mip/caldecott-forro-p-l-c-86369?lid=1002039266341","Attorneys,Business Law Attorneys,Corporation & Partnership Law Attorneys","http://www.caldecottandforro.com","","4669 White Bear Pkwy","Saint Paul","MN","55110","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=St.%20Paul,%20Minnesota"
"8. ","Hoglund, Chwialkowski & Mrozik, PLLC","(218) 520-0749","https://www.yellowpages.com/saint-paul-mn/mip/hoglund-chwialkowski-mrozik-pllc-479041471?lid=1002010484168","Attorneys,Bankruptcy Law Attorneys,Social Security Consultants & Representatives","http://www.hoglundlaw.com","","1781 County Road B W","Saint Paul","MN","55113","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=St.%20Paul,%20Minnesota"
"9. ","Paige J. Donnelly, Ltd.","(651) 583-5958","https://www.yellowpages.com/saint-paul-mn/mip/paige-j-donnelly-ltd-544656105?lid=1001901082859","Attorneys,Construction Law Attorneys,Wrongful Death Attorneys","http://www.paigedonnelly.com","","444 Cedar St Ste 1000","Saint Paul","MN","55101","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=St.%20Paul,%20Minnesota"
"10. ","Prescott Pearson & Tande, PA","(651) 243-6217","https://www.yellowpages.com/saint-paul-mn/mip/prescott-pearson-tande-pa-506160697?lid=1002069216941","Attorneys,Business Bankruptcy Law Attorneys,Financial Services","http://www.prescottpearson.com","","443 Old Highway 8 NW Ste 208","Saint Paul","MN","55112","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=St.%20Paul,%20Minnesota"
