"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Agbulos Markus Law Office Of","(209) 337-3602","https://www.yellowpages.com/stockton-ca/mip/agbulos-markus-law-office-of-475595880?lid=1001670817964","Attorneys,Personal Injury Law Attorneys","http://www.meleycolaw.com/","","11 S San Joaquin St","Stockton","CA","95202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Stockton,%20California"
"2. ","Hakeem Ellis & Marengo A Professional Law Corporation","(209) 337-3223","https://www.yellowpages.com/stockton-ca/mip/hakeem-ellis-marengo-a-professional-law-corporation-505192238?lid=1000822079577","Attorneys,Business Law Attorneys,Personal Injury Law Attorneys","http://www.hakeemellismarengo.com","","3414 Brookside Rd","Stockton","CA","95219","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Stockton,%20California"
"3. ","Judicare","(209) 425-0170","https://www.yellowpages.com/stockton-ca/mip/judicare-21998023?lid=1001597116804","Attorneys,Child Custody Attorneys,Probate Law Attorneys","http://www.craigmarkslaw.com","","42 N Sutter St","Stockton","CA","95202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Stockton,%20California"
"4. ","Rishwain Law Firm The","(209) 472-9100","https://www.yellowpages.com/stockton-ca/mip/rishwain-law-firm-the-455054293?lid=1001643079657","Attorneys,Estate Planning Attorneys,Transportation Law Attorneys","http://rishwainlaw.com","","3031 W March Ln","Stockton","CA","95219","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Stockton,%20California"
"5. ","Scott B. Ennis ESQ. Defense Attorney","(209) 200-7200","https://www.yellowpages.com/stockton-ca/mip/scott-b-ennis-esq-defense-attorney-304922?lid=1000366302598","Attorneys,Traffic Law Attorneys,Real Estate Attorneys","http://www.30f5374f3ad04491b30feb59daef8cea.sites.yp.com","","2233 Grand Canal Blvd Ste 116","Stockton","CA","95207","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Stockton,%20California"
"6. ","Hakeem Ellis And Marengo","(209) 337-3315","https://www.yellowpages.com/stockton-ca/mip/hakeem-ellis-and-marengo-21998375?lid=1000935042381","Attorneys,Attorneys Support & Service Bureaus,Personal Injury Law Attorneys","http://www.hakeemellismarengo.com","","3414 Brookside Rd","Stockton","CA","95219","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Stockton,%20California"
"7. ","Calone & Harrel Law Group LLP","(209) 390-0802","https://www.yellowpages.com/stockton-ca/mip/calone-harrel-law-group-llp-481243670?lid=1000935059922","Attorneys,Administrative & Governmental Law Attorneys,Tax Attorneys","http://caloneandharrel.com","","1810 Grand Canal Blvd","Stockton","CA","95207","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Stockton,%20California"
"8. ","Donald E Barrows Inc","(209) 800-0662","https://www.yellowpages.com/stockton-ca/mip/donald-e-barrows-inc-480774099?lid=1002042337688","Attorneys,Employee Benefits & Worker Compensation Attorneys,Insurance","http://www.dbarrows.com","","11 S San Joaquin St Ste 704","Stockton","CA","95202","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Stockton,%20California"
"9. ","Law Offices of Jennifer A Niemeyer","(209) 242-9805","https://www.yellowpages.com/stockton-ca/mip/law-offices-of-jennifer-a-niemeyer-563339319?lid=1002079337196","Attorneys,Child Custody Attorneys,Family Law Attorneys","","","5250 Claremont Avenue #246","Stockton","CA","95207","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Stockton,%20California"
"10. ","Hartmann Law Firm The","(209) 956-9940","https://www.yellowpages.com/stockton-ca/mip/hartmann-law-firm-the-455274308?lid=1001707171632","Attorneys","http://lawyers.com","","3425 Brookside Rd","Stockton","CA","95219","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Stockton,%20California"
"11. ","Law Offices Of Ronald Stein","(209) 957-9744","https://www.yellowpages.com/stockton-ca/mip/law-offices-of-ronald-stein-21997519?lid=1001588610068","Attorneys,Personal Injury Law Attorneys,Labor & Employment Law Attorneys","http://ronsteinlaw.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Stockton,%20California"
