"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Works & Lentz Inc","(539) 777-1828","https://www.yellowpages.com/tulsa-ok/mip/works-lentz-inc-3380386?lid=1001637348080","Attorneys,Estate Planning Attorneys,Bankruptcy Law Attorneys","http://workslentz.com/","","1437 S Boulder Ave","Tulsa","OK","74119","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"2. ","Gotwals James R & Associates","(918) 599-7088","https://www.yellowpages.com/tulsa-ok/mip/gotwals-james-r-associates-6632221?lid=1001822937936","Attorneys,Estate Planning Attorneys,Family Law Attorneys","http://www.jrgotlaw.com","","525 S Main St","Tulsa","OK","74103","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"3. ","James C Linger Attorney at Law","(918) 585-2797","https://www.yellowpages.com/tulsa-ok/mip/james-c-linger-attorney-at-law-544897008?lid=1002104393981","Attorneys,General Practice Attorneys,Civil Litigation & Trial Law Attorneys","","","1710 S Boston Ave","Tulsa","OK","74119","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"4. ","Caldwell, Catherine","(918) 749-1262","https://www.yellowpages.com/tulsa-ok/mip/caldwell-catherine-531221028?lid=1002020713037","Attorneys,Divorce Attorneys,Divorce Assistance","http://www.tulsaokfamilylaw.com","","5350 E 46th St Ste 128","Tulsa","OK","74135","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"5. ","Newton O'Connor Turner & Ketchum","(918) 587-0101","https://www.yellowpages.com/tulsa-ok/mip/newton-oconnor-turner-ketchum-22701210?lid=1001637353321","Attorneys","http://www.newtonoconnor.com","","15 W 6th St","Tulsa","OK","74119","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"6. ","Aranda Jennifer A.","(918) 599-8844","https://www.yellowpages.com/tulsa-ok/mip/aranda-jennifer-a-503005968?lid=1002073509367","Attorneys","","","616 S Main St","Tulsa","OK","74119","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"7. ","Darrah Mark S","(918) 749-3171","https://www.yellowpages.com/tulsa-ok/mip/darrah-mark-s-15650127?lid=1002073509536","Attorneys","","","2121 S Columbia Ave","Tulsa","OK","74114","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"8. ","Barber & Bartz","(539) 777-1837","https://www.yellowpages.com/tulsa-ok/mip/barber-bartz-2575467?lid=171402952","Attorneys","http://www.barberbartz.com","","525 S Main St Ste 800","Tulsa","OK","74103","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"9. ","Tracy David A.","(539) 777-2668","https://www.yellowpages.com/tulsa-ok/mip/tracy-david-a-496975465?lid=1001359718110","Attorneys,Divorce Attorneys,Mediation Services","http://tulsafamilylawcenter.com/","","320 S Boston Ave Ste 1130","Tulsa","OK","74103","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"10. ","Norman Wohlgemuth Chandler & Jeter","(918) 583-7571","https://www.yellowpages.com/tulsa-ok/mip/norman-wohlgemuth-chandler-jeter-24125543?lid=1001637353307","Attorneys,Legal Service Plans","http://www.nwcdlaw.com","","401 S Boston Ave","Tulsa","OK","74103","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"11. ","Pierce Couch Hendrickson Baysinger & Green LLP","(918) 583-8100","https://www.yellowpages.com/tulsa-ok/mip/pierce-couch-hendrickson-baysinger-green-llp-475240335?lid=1001637353610","Attorneys","http://piercecouch.com","","907 S Detroit Ave","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"12. ","Coulson Scott E","(918) 254-0626","https://www.yellowpages.com/tulsa-ok/mip/coulson-scott-e-453922403?lid=1001637353556","Attorneys","http://www.kivell.com","","7666 E 61st St Ste 240","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"13. ","Charles Bryan Alred, PC","(918) 745-9960","https://www.yellowpages.com/tulsa-ok/mip/charles-bryan-alred-pc-481270610?lid=1000437164136","Attorneys,Transportation Law Attorneys,Personal Injury Law Attorneys","http://www.tulsaautoaccidentslaw.com","","3315 E 47th Pl #115","Tulsa","OK","74135","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"14. ","Elias & Elias Attorneys at Law","(918) 749-8400","https://www.yellowpages.com/tulsa-ok/mip/elias-elias-attorneys-at-law-3279561?lid=1000660374486","Attorneys,Transportation Law Attorneys,Mediation Services","http://eliasandelias.com","","1519 S Utica Ave","Tulsa","OK","74104","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
"15. ","Todd  Alexander Attorney","(918) 744-0201","https://www.yellowpages.com/tulsa-ok/mip/todd-alexander-attorney-483144344?lid=1000439555821","Attorneys,Guardianship Services,Divorce Assistance","https://www.toddalexanderlawfirm.com","","2121 S Columbia Ave","Tulsa","OK","74114","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Tulsa,%20Oklahoma"
