"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Reynolds Law Offices Of Jennifer","(757) 769-8349","https://www.yellowpages.com/virginia-beach-va/mip/reynolds-law-offices-of-jennifer-482432472?lid=1002102705243","Attorneys,Transportation Law Attorneys,Divorce Attorneys","http://www.jer-lawyer.com","","441 Independence Blvd Suite 5","Virginia Beach","VA","23452","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"2. ","Sykes Bourdon, Ahern & Levy","(757) 499-8971","https://www.yellowpages.com/virginia-beach-va/mip/sykes-bourdon-ahern-levy-550832141?lid=1002101337331","Attorneys,Business Litigation Attorneys,Contract Law Attorneys","http://www.sykesbourdon.com","","4429 Bonney Road Suite 500","Virginia Beach","VA","23462","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"3. ","Joe Miller Injury Law, Ltd.","(757) 455-8889","https://www.yellowpages.com/virginia-beach-va/mip/joe-miller-injury-law-ltd-542050084?lid=1002101338859","Attorneys,Civil Litigation & Trial Law Attorneys,Labor & Employment Law Attorneys","http://www.joemillerinjurylaw.com","","5500 Greenwich Rd Ste B","Virginia Beach","VA","23462","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"4. ","Slipow & Robusto  PC","(757) 219-2965","https://www.yellowpages.com/virginia-beach-va/mip/slipow-robusto-pc-3272056?lid=1002067069104","Attorneys,Transportation Law Attorneys,Criminal Law Attorneys","http://www.srklawpc.com","","2476 Nimmo Pkwy Ste 121","Virginia Beach","VA","23456","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"5. ","Hofheimer Family Law Firm","(757) 932-1275","https://www.yellowpages.com/virginia-beach-va/mip/hofheimer-family-law-firm-512641704?lid=1002018922172","Attorneys,Adoption Law Attorneys,Family Law Attorneys","http://www.hoflaw.com","","1604 Hilltop West Shopping Ctr","Virginia Beach","VA","23451","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"6. ","The Law Office of David Pearline","(757) 428-8828","https://www.yellowpages.com/virginia-beach-va/mip/the-law-office-of-david-pearline-8961717?lid=1001812396102","Attorneys,Employee Benefits & Worker Compensation Attorneys,Labor & Employment Law Attorneys","http://www.whistleblow.org","","1064 Laskin Rd","Virginia Beach","VA","23451","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"7. ","Thomas, Adams & Associates PC","(757) 381-6201","https://www.yellowpages.com/virginia-beach-va/mip/thomas-adams-associates-pc-480059489?lid=1002104843297","Attorneys,Transportation Law Attorneys,DUI & DWI Attorneys","http://www.talawgroup.com/index.php","","4176 S Plaza Trl, Ste 128","Virginia Beach","VA","23452","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"8. ","John W Lee PC","(757) 690-7680","https://www.yellowpages.com/virginia-beach-va/mip/john-w-lee-pc-461566768?lid=1002028693179","Attorneys,Divorce Attorneys,Financial Services","http://www.johnleeatty.net","","291 Independence Blvd","Virginia Beach","VA","23462","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"9. ","Law Office Of Scott V Whitlow PC","(757) 932-6410","https://www.yellowpages.com/virginia-beach-va/mip/law-office-of-scott-v-whitlow-pc-13353165?lid=1002063120773","Attorneys,Transportation Law Attorneys,Automobile Accident Attorneys","http://www.scottwhitlow.com","","1397 Laskin Rd","Virginia Beach","VA","23451","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"10. ","Childress Flax & Levine PC","(757) 932-7726","https://www.yellowpages.com/virginia-beach-va/mip/childress-flax-levine-pc-3956316?lid=1002066623473","Attorneys,Transportation Law Attorneys,Family Law Attorneys","http://www.cfllaw.com","","533 Newtown Rd","Virginia Beach","VA","23462","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"11. ","Bill Gordon & Associates","(844) 461-0191","https://www.yellowpages.com/nationwide/mip/bill-gordon-associates-452285628?lid=1002082086974","Attorneys,Social Security Consultants & Representatives,Social Security & Disability Law Attorneys","https://bgasocialsecurityattorney.com/index.php/iyp","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"12. ","TRAFFIC TICKET DEFENSE ATTORNEYS","(877) 787-2334","https://www.yellowpages.com/nationwide/mip/traffic-ticket-defense-attorneys-496530037?lid=1000936632521","Attorneys,Traffic Law Attorneys,DUI & DWI Attorneys","http://www.trafficticket-attorney.com","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"13. ","Kevin R. Pettrey, Esq.","(757) 550-0000","https://www.yellowpages.com/chesapeake-va/mip/kevin-r-pettrey-esq-506335545?lid=1000968469041","Attorneys","http://www.757criminaldefense.com","","638 Independence Pkwy","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"14. ","Richardson & Rosenberg","(757) 524-3584","https://www.yellowpages.com/portsmouth-va/mip/richardson-rosenberg-473594296?lid=1001984359951","Attorneys,Transportation Law Attorneys,Criminal Law Attorneys","http://www.richardsonandrosenberg.com","","355 Crawford St","Portsmouth","VA","23704","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"15. ","Drucker + Falk","(757) 525-9986","https://www.yellowpages.com/newport-news-va/mip/drucker-falk-480724173?lid=1002101335491","Attorneys,Commercial Real Estate,Apartments","http://www.druckerandfalk.com","","11824 Fishing Point Dr","Newport News","VA","23606","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"16. ","TVC Truckers Voice in Court Attorneys","(888) 293-9432","https://www.yellowpages.com/nationwide/mip/tvc-truckers-voice-in-court-attorneys-2701?lid=1001784173629","Attorneys,Transportation Law Attorneys,Traffic Law Attorneys","http://www.tvctruckersvoiceincourt.com/","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"17. ","The Tax Resolvers","(877) 451-5785","https://www.yellowpages.com/nationwide/mip/the-tax-resolvers-567859188?lid=1002098315672","Attorneys,Administrative & Governmental Law Attorneys,Tax Attorneys","","","","","","","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
"18. ","Mid Atlantic Commercial Real Estate","(757) 598-4641","https://www.yellowpages.com/yorktown-va/mip/mid-atlantic-commercial-real-estate-458634845?lid=1001772799871","Attorneys,Real Estate Consultants,Real Estate Agents","http://www.midatlanticcommercial.com","","110 Mid Atlantic Pl","Yorktown","VA","23693","https://www.yellowpages.com/search?search_terms=Lawyer&geo_location_terms=Virginia%20Beach,%20Virginia"
