"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"2. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"3. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417277","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"4. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042129","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"5. ","Eagle Pest Control & Tree Service","(907) 441-1234","https://www.yellowpages.com/eagle-river-ak/mip/eagle-pest-control-tree-service-468119878?lid=1001754837374","Pest Control Services,Pest Control Services-Commercial & Industrial,Pest Control Equipment & Supplies","http://www.eaglepestcontrolak.com","","19052 1st St","Eagle River","AK","99577","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"6. ","Alaska Affordable Pest","(907) 770-5635","https://www.yellowpages.com/anchorage-ak/mip/alaska-affordable-pest-21986451","Pest Control Services,Tree Service","http://alaskaaffordablepestcontrol.com","","4822 Arnica Cir","Anchorage","AK","99502","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"7. ","Edwin's Pest Control","(907) 440-0807","https://www.yellowpages.com/anchorage-ak/mip/edwins-pest-control-495349783","Pest Control Services","http://edwinspestcontrol.com","","2909 W 35th Ave","Anchorage","AK","99517","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"8. ","Eagle Pest Control & Tree Service","(907) 441-1234","https://www.yellowpages.com/anchorage-ak/mip/eagle-pest-control-tree-service-545110849","Pest Control Services","https://www.eaglepestcontrolak.com","","825 Lane St","Anchorage","AK","99508","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"9. ","Nuisance Wildufe Management","(907) 333-9453","https://www.yellowpages.com/anchorage-ak/mip/nuisance-wildufe-management-504644212","Pest Control Services,Bird Barriers, Repellents & Controls","http://nwmak.com","","5850 E 4th Ave","Anchorage","AK","99504","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"10. ","Mosquito Guard Pest Control","(760) 330-1521","https://www.yellowpages.com/anchorage-ak/mip/mosquito-guard-pest-control-525247056","Pest Control Services","http://akmosquitoguard.com","","3000 Amber Bay Loop","Anchorage","AK","99515","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"11. ","Pied Piper Pest Control","(907) 344-2538","https://www.yellowpages.com/anchorage-ak/mip/pied-piper-pest-control-675418","Pest Control Services,Pest Control Equipment & Supplies,Animal Removal Services","https://alaskapest.com","","2440 E 88th Ave Ste A","Anchorage","AK","99507","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"12. ","Edwin's Pest Control","(907) 440-0807","https://www.yellowpages.com/anchorage-ak/mip/edwins-pest-control-474940453","Pest Control Services","http://edwinspestcontrol.com","","1340 W 26th Ave Apt A-3","Anchorage","AK","99503","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"13. ","Eagle Pest Control & Tree Service","(907) 441-1234","https://www.yellowpages.com/anchorage-ak/mip/eagle-pest-control-tree-service-458102416","Pest Control Services,Bee Control & Removal Service,Animal Removal Services","http://www.eaglepestcontrolak.com","","","Anchorage","AK","99508","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"14. ","Professional Pest Control","(907) 276-7630","https://www.yellowpages.com/anchorage-ak/mip/professional-pest-control-463130663","Pest Control Services","","","PO Box 212465","Anchorage","AK","99521","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"15. ","Bug People","(907) 495-1234","https://www.yellowpages.com/anchorage-ak/mip/bug-people-10606897","Pest Control Services","","","","Anchorage","AK","99516","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"16. ","American Pest Management","(907) 277-7378","https://www.yellowpages.com/anchorage-ak/mip/american-pest-management-1512987","Pest Control Services,Pest Control Equipment & Supplies","https://americanpestmanagementak.com","","403 E Fireweed Ln","Anchorage","AK","99503","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"17. ","Alaska Bed Bug Services","(907) 646-0757","https://www.yellowpages.com/anchorage-ak/mip/alaska-bed-bug-services-516405415","Pest Control Services,House Cleaning","","","3705 Arctic Blvd # 2257","Anchorage","AK","99503","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"18. ","Insect Warrior","(855) 784-2049","https://www.yellowpages.com/anchorage-ak/mip/insect-warrior-566737856","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","","","600 E 36th Ave","Anchorage","AK","99503","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"19. ","First Line K9 Alaska","(907) 748-6009","https://www.yellowpages.com/anchorage-ak/mip/first-line-k9-alaska-502941727","Pest Control Services,Guard Dogs,Pest Control Equipment & Supplies","http://www.firstlinek9.com","","2005 Casey Cusack Loop","Anchorage","AK","99515","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"20. ","Tall Trees","(907) 248-3900","https://www.yellowpages.com/anchorage-ak/mip/tall-trees-537926561","Pest Control Services,Tree Service,Landscape Designers & Consultants","http://www.talltreesalaska.com","","6608 Blackberry St","Anchorage","AK","99502","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
"21. ","Alaska Tree Tops Tree Service","(907) 242-0591","https://www.yellowpages.com/anchorage-ak/mip/alaska-tree-tops-tree-service-532608648","Pest Control Services,Tree Service,Arborists","https://aktreetops.com","","PO Box 90281","Anchorage","AK","99509","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Anchorage,%20Alaska"
