"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Albercath Pest Control Services owner","(706) 796-4920","https://www.yellowpages.com/hephzibah-ga/mip/albercath-pest-control-services-owner-469975897","Pest Control Services","","","2060 Bassford Dr","Hephzibah","GA","30815","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"2. ","Summerville Pest Control Inc","(706) 793-6653","https://www.yellowpages.com/augusta-ga/mip/summerville-pest-control-inc-10506494","Pest Control Services,Waterproofing Contractors","","","3452 Peach Orchard Rd","Augusta","GA","30906","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"3. ","CSRA Pest Control","(706) 798-2320","https://www.yellowpages.com/augusta-ga/mip/csra-pest-control-15415109","Pest Control Services","","","2709 Antler Dr N","Augusta","GA","30906","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"4. ","CSRA Trapping Service","(706) 294-3243","https://www.yellowpages.com/augusta-ga/mip/csra-trapping-service-18916132","Pest Control Services,Bird Barriers, Repellents & Controls,Animal Removal Services","http://www.csratrappingservice.com","","3417 Old Louisville Rd","Augusta","GA","30906","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"5. ","Armor Exterminating Co Inc","(706) 724-2424","https://www.yellowpages.com/nationwide/mip/armor-exterminating-co-inc-1563772","Pest Control Services,Waterproofing Contractors,Animal Removal Services","http://www.2armospestcontrolga.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"6. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"7. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"8. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417117","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"9. ","A & R Exterminating Co Inc","(706) 798-1080","https://www.yellowpages.com/augusta-ga/mip/a-r-exterminating-co-inc-12562424?lid=1000511942133","Pest Control Services,Insect Control Devices,Pest Control Equipment & Supplies","","","2605 Peach Orchard Rd","Augusta","GA","30906","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"10. ","Atkinson's Pest Control","(706) 592-0922","https://www.yellowpages.com/hephzibah-ga/mip/atkinsons-pest-control-4176574?lid=1000540197228","Pest Control Services,Pest Control Equipment & Supplies,Insecticides","","","Heph","Hephzibah","GA","30815","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"11. ","Borden Pest Control","(706) 796-7915","https://www.yellowpages.com/augusta-ga/mip/borden-pest-control-481077084?lid=1000437166102","Pest Control Services,Building Contractors,Termite Control","http://www.bordenpestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"12. ","Riggins Pest and Moisture Control","(706) 790-0318","https://www.yellowpages.com/nationwide/mip/riggins-pest-and-moisture-control-479405691","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","http://www.rigginspestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"13. ","Terminix","(706) 733-7702","https://www.yellowpages.com/nationwide/mip/terminix-507272129","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.terminix.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"14. ","Arrow Exterminators","(706) 955-1717","https://www.yellowpages.com/nationwide/mip/arrow-exterminators-464444269","Pest Control Services,Termite Control","http://www.arrowexterminators.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"15. ","Bug House Pest Control","(706) 359-2440","https://www.yellowpages.com/nationwide/mip/bug-house-pest-control-9232523","Pest Control Services","http://www.bughousepestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"16. ","David M Parker Exterminating","(706) 722-8453","https://www.yellowpages.com/nationwide/mip/david-m-parker-exterminating-11190703","Pest Control Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"17. ","Parker David M Exterminating Co","(706) 667-9044","https://www.yellowpages.com/nationwide/mip/parker-david-m-exterminating-co-12155501","Pest Control Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"18. ","Brunson Pest Control","(706) 868-8004","https://www.yellowpages.com/nationwide/mip/brunson-pest-control-17105897","Pest Control Services","https://www.brunsonpestcontrol.com/contact-us","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"19. ","Hookers Trapping Service","(706) 533-7329","https://www.yellowpages.com/nationwide/mip/hookers-trapping-service-21752265","Pest Control Services","http://www.hookerstrappingservices.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"20. ","Barricade Exterminating & Turf","(706) 855-0813","https://www.yellowpages.com/nationwide/mip/barricade-exterminating-turf-464503525","Pest Control Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"21. ","Armor Exterminating Co Inc","(706) 595-4588","https://www.yellowpages.com/nationwide/mip/armor-exterminating-co-inc-504297502","Pest Control Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"22. ","Atkinson's Pest Control","(706) 373-7551","https://www.yellowpages.com/nationwide/mip/atkinsons-pest-control-507280540","Pest Control Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"23. ","Atkinson's Pest Control","(706) 373-7551","https://www.yellowpages.com/nationwide/mip/atkinsons-pest-control-537580181","Pest Control Services","http://www.hephzibahpestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"24. ","Riggins Pest & Moisture Control Co.","(706) 250-7886","https://www.yellowpages.com/nationwide/mip/riggins-pest-moisture-control-co-560051522","Pest Control Services,Waterproofing Contractors","http://www.2rigginspestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"25. ","Faith Pest Control","(706) 823-9202","https://www.yellowpages.com/nationwide/mip/faith-pest-control-560296254","Pest Control Services","http://www.faithpestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"26. ","Delima Pest Control","(706) 306-4685","https://www.yellowpages.com/nationwide/mip/delima-pest-control-560312459","Pest Control Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"27. ","Bug Busters USA","(706) 790-4324","https://www.yellowpages.com/nationwide/mip/bug-busters-usa-560548902","Pest Control Services","http://www.bugbustersusa.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
"28. ","Peachtree Pest Control","(706) 993-2723","https://www.yellowpages.com/nationwide/mip/peachtree-pest-control-560663601","Pest Control Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Augusta-Richmond%20County,%20Georgia"
