"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Wow Pest Control Inc.","(661) 418-7378","https://www.yellowpages.com/bakersfield-ca/mip/wow-pest-control-inc-542205137?lid=1001996542738","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://www.wowpest.com","","4705 new horizon Blvd, suite 3","Bakersfield","CA","93313","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Bakersfield,%20California"
"2. ","Advanced Pest Services","(661) 520-5551","https://www.yellowpages.com/bakersfield-ca/mip/advanced-pest-services-22174718?lid=1000675108058","Pest Control Services,Bee Control & Removal Service,Pest Control Services-Commercial & Industrial","http://www.advancedpestservices.com/","","3612 Coffee Rd","Bakersfield","CA","93308","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Bakersfield,%20California"
"3. ","Clark Pest Control","(661) 241-8295","https://www.yellowpages.com/bakersfield-ca/mip/clark-pest-control-468691831?lid=1002079462349","Pest Control Services,Lawn Maintenance,Weed Control Service","http://www.clarkpest.com","","530 California Ave","Bakersfield","CA","93304","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Bakersfield,%20California"
"4. ","Abate A weed","(661) 335-6183","https://www.yellowpages.com/bakersfield-ca/mip/abate-a-weed-650072?lid=1001996544637","Pest Control Services,Tools,Saws","","","9411 Rosedale Hwy","Bakersfield","CA","93312","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Bakersfield,%20California"
"5. ","Stop Pests Pest Control","(661) 393-9284","https://www.yellowpages.com/bakersfield-ca/mip/stop-pests-pest-control-461701152?lid=1000594186527","Pest Control Services,Insecticides,Pest Control Equipment & Supplies","http://www.stoppest.net","","3400 Unicorn Rd","Bakersfield","CA","93308","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Bakersfield,%20California"
"6. ","Banks Pest Control","(661) 323-7858","https://www.yellowpages.com/bakersfield-ca/mip/banks-pest-control-548642852?lid=1000473185185","Pest Control Services,Furniture Stores,Office Furniture & Equipment","http://www.bankspest.com","","7440 District Blvd","Bakersfield","CA","93313","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Bakersfield,%20California"
"7. ","Oxley Pest Control, Inc","(661) 325-2687","https://www.yellowpages.com/bakersfield-ca/mip/oxley-pest-control-inc-458527164?lid=1001978781489","Pest Control Services,Property Maintenance,Beekeeping & Supplies","http://oxleypest.com","","915 34th St","Bakersfield","CA","93301","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Bakersfield,%20California"
"8. ","Bakersfield's Best Pest Control","(661) 565-2666","https://www.yellowpages.com/bakersfield-ca/mip/bakersfields-best-pest-control-4356974?lid=1001459153962","Pest Control Services,Animal Removal Services,Pest Control Services-Commercial & Industrial","http://www.bakersfieldpestcontrol.com","","","Bakersfield","CA","93309","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Bakersfield,%20California"
"9. ","Waldo's Pest Control","(661) 834-2847","https://www.yellowpages.com/bakersfield-ca/mip/waldos-pest-control-5279737?lid=1000814256093","Pest Control Services,Insecticides,Pest Control Equipment & Supplies","","","Po Box 10836","Bakersfield","CA","93389","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Bakersfield,%20California"
"10. ","Clark Pest Control","(877) 772-3989","https://www.yellowpages.com/nationwide/mip/clark-pest-control-30426665?lid=1002046843837","Pest Control Services,Landscaping & Lawn Services,Lawn Maintenance","http://www.clarkpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Bakersfield,%20California"
