"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Advanced Exterminating CO","(716) 431-4748","https://www.yellowpages.com/buffalo-ny/mip/advanced-exterminating-co-469080770?lid=1001824602165","Pest Control Services,Bee Control & Removal Service,Pest Control Services-Commercial & Industrial","http://www.advancedexterminatingwny.com","","1389 Abbott Rd","Buffalo","NY","14218","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Buffalo,%20New%20York"
"2. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/buffalo-ny/mip/orkin-pest-termite-control-482188396?lid=1002080467177","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","60 Earhart Dr Ste 10","Buffalo","NY","14221","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Buffalo,%20New%20York"
"3. ","ABX Pest Control","(716) 864-0429","https://www.yellowpages.com/tonawanda-ny/mip/abx-pest-control-461900842?lid=423780017","Pest Control Services,Pest Control Equipment & Supplies,Inspection Service","","","296 Hinds St Apt 30","Tonawanda","NY","14150","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Buffalo,%20New%20York"
"4. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Buffalo,%20New%20York"
"5. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Buffalo,%20New%20York"
"6. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417237","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Buffalo,%20New%20York"
"7. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042067","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Buffalo,%20New%20York"
"8. ","Nuisance No More","(716) 366-3087","https://www.yellowpages.com/dunkirk-ny/mip/nuisance-no-more-506359538?lid=1001483688197","Pest Control Services","http://www.nuisancenomore.com","","16 Otter St","Dunkirk","NY","14048","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Buffalo,%20New%20York"
"9. ","Advanced Exterminating CO","(716) 826-2710","https://www.yellowpages.com/buffalo-ny/mip/advanced-exterminating-co-3556749","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://www.advancedexterminatingwny.com","","980 Tifft St","Buffalo","NY","14220","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Buffalo,%20New%20York"
"10. ","Ashland Pest Control, Inc.","(716) 884-7431","https://www.yellowpages.com/buffalo-ny/mip/ashland-pest-control-inc-1330623","Pest Control Services","http://www.ashlandpest.com/contact","","406 Connecticut St Ste A","Buffalo","NY","14213","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Buffalo,%20New%20York"
