"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Lady Bug Exterminating Co Inc","(423) 708-5056","https://www.yellowpages.com/chattanooga-tn/mip/lady-bug-exterminating-co-inc-1619201?lid=1001728838143","Pest Control Services,Bee Control & Removal Service,Pest Control Services-Commercial & Industrial","http://www.2ladybugpco.com","","1800 E 3rd St","Chattanooga","TN","37404","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"2. ","Bio-Lab Pest & Termite Control","(423) 800-8566","https://www.yellowpages.com/chattanooga-tn/mip/bio-lab-pest-termite-control-3902058?lid=1002080762037","Pest Control Services,Termite Control,Animal Removal Services","","","9101 E Brainerd Rd","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"3. ","Aaron's Pest Control LLC","(423) 894-6633","https://www.yellowpages.com/chattanooga-tn/mip/aarons-pest-control-llc-11757882?lid=1000171392557","Pest Control Services,Termite Control","http://www.aaronspestcontrol.net","","4105 Bennett Rd","Chattanooga","TN","37412","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"4. ","Bug Busters, Inc.","(423) 708-2920","https://www.yellowpages.com/chattanooga-tn/mip/bug-busters-inc-553537944?lid=1002087116861","Pest Control Services,Termite Control,Animal Removal Services","https://bugbustersusa.com","","4159 Ringgold Rd","Chattanooga","TN","37412","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"5. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/chattanooga-tn/mip/orkin-pest-termite-control-470853104?lid=1002079891547","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","900 Creekside Rd","Chattanooga","TN","37406","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"6. ","Mayfield Brothers Pest Control","(423) 892-5950","https://www.yellowpages.com/chattanooga-tn/mip/mayfield-brothers-pest-control-21810456?lid=1000660372772","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.mayfieldbrospestcontrol.com","","4315 N Creek Rd","Chattanooga","TN","37406","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"7. ","Gilreath Pest Control","(423) 893-8960","https://www.yellowpages.com/chattanooga-tn/mip/gilreath-pest-control-519380492?lid=1002007290179","Pest Control Services,Animal Removal Services","http://gilreathpestcontrol.com","","8808 Standifer Gap Rd","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"8. ","Dodson Pest Control","(800) 931-1354","https://www.yellowpages.com/nationwide/mip/dodson-pest-control-534380813?lid=1002046552506","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://www.dodsonbros.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"9. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"10. ","Volunteer Rid A Pest, LLC","(423) 716-6210","https://www.yellowpages.com/cleveland-tn/mip/volunteer-rid-a-pest-llc-556806421?lid=1002050165871","Pest Control Services,Pest Control Equipment & Supplies,Pest Control Services-Commercial & Industrial","https://volpest.com","","333 Mimosa Drive Northwest","Cleveland","TN","37312","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"11. ","Flutterby Pest Services","(423) 667-3583","https://www.yellowpages.com/nationwide/mip/flutterby-pest-services-556798961?lid=1002049160148","Pest Control Services,Pest Control Services-Commercial & Industrial","https://www.flutterbypestservices.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"12. ","Volunteer Rid-A-Pest LLC","(423) 244-0967","https://www.yellowpages.com/cleveland-tn/mip/volunteer-rid-a-pest-llc-11839507?lid=157823838","Pest Control Services,Termite Control","http://www.volpest.com","","3325 Davy Crockett Rd NE","Cleveland","TN","37323","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"13. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"14. ","East TN Pest Control","(800) 247-7317","https://www.yellowpages.com/rogersville-tn/mip/east-tn-pest-control-561742956?lid=1002070299278","Pest Control Services,Pest Control Services-Commercial & Industrial,Mold Remediation","https://www.easttennpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"15. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417267","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"16. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042139","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"17. ","Anilate Pest Service LLC","(423) 432-8266","https://www.yellowpages.com/ooltewah-tn/mip/anilate-pest-service-llc-15004658?lid=1002007290183","Pest Control Services","https://www.facebook.com/Nanjeff24","","","Ooltewah","TN","37363","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"18. ","Pestway Corp","(423) 745-7537","https://www.yellowpages.com/nationwide/mip/pestway-corp-7785700?lid=1001616303292","Pest Control Services,Pest Control Equipment & Supplies,Insecticides","http://www.pestawayph.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"19. ","Pestaway Corp","(423) 479-9711","https://www.yellowpages.com/nationwide/mip/pestaway-corp-11940187?lid=1000814182082","Pest Control Services,Pest Control Equipment & Supplies,Home Improvements","http://www.pestawayph.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
"20. ","GPM Pest Control","(423) 718-0772","https://www.yellowpages.com/chattanooga-tn/mip/gpm-pest-control-13497337","Pest Control Services","https://www.gpmpestcontrol.net","","947 Vine St","Chattanooga","TN","37403","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chattanooga,%20Tennessee"
