"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Grass Roots","(757) 264-6700","https://www.yellowpages.com/chesapeake-va/mip/grass-roots-5350223?lid=1002067874572","Pest Control Services,Gardeners,Landscaping & Lawn Services","https://www.grassroots411.com","","617 Benefit Rd","Chesapeake","VA","23322","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chesapeake,%20Virginia"
"2. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/chesapeake-va/mip/orkin-pest-termite-control-471937911?lid=1002080467079","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","1533 Technology Dr Ste 102","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chesapeake,%20Virginia"
"3. ","Dodson Pest Control","(757) 524-3634","https://www.yellowpages.com/virginia-beach-va/mip/dodson-pest-control-560628914?lid=1002033451208","Pest Control Services,Termite Control,Bird Barriers, Repellents & Controls","https://www.dodsonbros.com","","4797 Indian River Rd","Virginia Beach","VA","23456","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chesapeake,%20Virginia"
"4. ","HomeTown Pest Control","(757) 512-7349","https://www.yellowpages.com/nationwide/mip/hometown-pest-control-568000906?lid=1002100842528","Pest Control Services,Animal Removal Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chesapeake,%20Virginia"
"5. ","Dodson Pest Control","(757) 930-5060","https://www.yellowpages.com/newport-news-va/mip/dodson-pest-control-457250630?lid=1002078847227","Pest Control Services,Pest Control Services-Commercial & Industrial,Bee Control & Removal Service","https://www.dodsonbros.com/","","15496 Warwick Blvd","Newport News","VA","23608","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chesapeake,%20Virginia"
"6. ","Two Guys Wildlife Removal","(757) 606-9743","https://www.yellowpages.com/nationwide/mip/two-guys-wildlife-removal-561191383?lid=1002094425654","Pest Control Services,Wildlife Refuge","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653460553153.c41e417d&ADID=12282587&DEST=https%3A%2F%2Ftwoguyswildlife2.mydex.com%2FzQoiPCvOw9A&C=Pest%20Control&T=Chesapeake&S=VA&PH=(757)%20606-9743&FL=url&TL=off&position=5&PS=30&PI=1&Results=FEED_CLCK&uid=c41e417d-ddef-4bef-b70b-73ba18fd8a49&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chesapeake,%20Virginia"
"7. ","Second Opinion Termite Pest Control Of Va Inc","(757) 657-4054","https://www.yellowpages.com/nationwide/mip/second-opinion-termite-pest-control-of-va-inc-560924094?lid=1002067290720","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653460553169.c41e417d&ADID=12244043&DEST=https%3A%2F%2Fsecondopiniontermite1.mydex.com%2FlduwJ-_tCqw&C=Pest%20Control&T=Chesapeake&S=VA&PH=(757)%20657-4054&FL=url&TL=off&position=6&PS=30&PI=1&Results=FEED_CLCK&uid=c41e417d-ddef-4bef-b70b-73ba18fd8a49&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chesapeake,%20Virginia"
"8. ","Hampton Roads Termite & Pest Control Inc.","(757) 436-3333","https://www.yellowpages.com/chesapeake-va/mip/hampton-roads-termite-pest-control-inc-9103475","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://hamptonroadstermite.com","","609 Innovation Dr","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chesapeake,%20Virginia"
"9. ","A-Aardvark the Exterminator","(757) 420-4800","https://www.yellowpages.com/chesapeake-va/mip/a-aardvark-the-exterminator-19383870","Pest Control Services,Waterproofing Contractors","http://www.a1inc.com","","1704 S Park Ct","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chesapeake,%20Virginia"
"10. ","Second Opinion Termite & Pest Control","(757) 484-4123","https://www.yellowpages.com/chesapeake-va/mip/second-opinion-termite-pest-control-453109510","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.secondopiniontermite.com","","3200 Churchland Blvd","Chesapeake","VA","23321","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chesapeake,%20Virginia"
