"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","A Alert Exterminating Service Inc Chicagoland","(773) 831-3239","https://www.yellowpages.com/chicago-il/mip/a-alert-exterminating-service-inc-chicagoland-23073213?lid=1001997254190","Pest Control Services,Termite Control,Bee Control & Removal Service","http://www.dontgivepestsachance.com","","","Chicago","IL","60659","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"2. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/chicago-il/mip/orkin-pest-termite-control-471924824?lid=1002085300264","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","4201 W 36th St","Chicago","IL","60632","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"3. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/chicago-il/mip/orkin-pest-termite-control-471932937?lid=1002080467198","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","5840 N Lincoln Ave","Chicago","IL","60659","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"4. ","Guardian Pest Control Services.","(773) 277-7378","https://www.yellowpages.com/nationwide/mip/guardian-pest-control-services-556330364?lid=1000875435261","Pest Control Services,Building Contractors,Animal Removal Services","http://www.guardianpestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"5. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"6. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697309","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"7. ","Landmark Pest Management","(312) 702-2684","https://www.yellowpages.com/nationwide/mip/landmark-pest-management-528889448?lid=1001627890515","Pest Control Services,Pest Control Services-Commercial & Industrial,Animal Removal Services","http://www.landmarkpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"8. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"9. ","Guardian Pest Control Services.","(773) 277-7378","https://www.yellowpages.com/nationwide/mip/guardian-pest-control-services-549459549?lid=1002004520175","Pest Control Services,Chemicals,Pest Control Services-Commercial & Industrial","http://www.guardianpestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"10. ","Master Home Inspectors","(708) 497-9646","https://www.yellowpages.com/tinley-park-il/mip/master-home-inspectors-536659009?lid=1002011797044","Pest Control Services,Environmental & Ecological Products & Services,Real Estate Inspection Service","http://www.masterhomeinspectorco.com","","","Tinley Park","IL","60477","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"11. ","Fox Valley Environmental Pest Control","(630) 793-6818","https://www.yellowpages.com/elburn-il/mip/fox-valley-environmental-pest-control-467858478?lid=1001809826895","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://foxvalleypestcontrol.com","","3n201 Echo Valley Ln","Elburn","IL","60119","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"12. ","James Pest Control","(708) 589-7299","https://www.yellowpages.com/harvey-il/mip/james-pest-control-9166302?lid=1001978052964","Pest Control Services","http://pestexterminationserviceharvey.com","","208 W 156th Pl","Harvey","IL","60426","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"13. ","Pest Corp","(872) 256-0924","https://www.yellowpages.com/northfield-il/mip/pest-corp-473917023?lid=1001362187074","Pest Control Services,Animal Removal Services","http://www.pestcontrolchicago.com/","","400 Central Ave","Northfield","IL","60093","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"14. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417112","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"15. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042143","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"16. ","ABC Humane Wildlife Control & Prevention Inc.","(847) 220-6404","https://www.yellowpages.com/nationwide/mip/abc-humane-wildlife-control-prevention-inc-23048611?lid=1002101059855","Pest Control Services,Environmental & Ecological Consultants,Bird Barriers, Repellents & Controls","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653459756849.d8c66e52&ADID=12253421&DEST=https%3A%2F%2Fabcwildlife.mydex.com%2F7gvMle3Oquw&C=Pest%20Control&T=Chicago&S=IL&PH=(847)%20220-6404&FL=url&TL=off&position=15&PS=30&PI=1&Results=FEED_CLCK&uid=d8c66e52-3e92-4cbd-b2a9-25122a6b380c&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"17. ","Beverly Bed Bugs Extermination","(872) 702-2346","https://www.yellowpages.com/chicago-il/mip/beverly-bed-bugs-extermination-529772416?lid=1001557106018","Pest Control Services,Pest Control Services-Commercial & Industrial","","","","Chicago","IL","60643","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"18. ","A-Alert Exterminating Service Inc.","(331) 625-1395","https://www.yellowpages.com/chicago-il/mip/a-alert-exterminating-service-inc-466887794?lid=1000115319933","Pest Control Services","http://www.dontgivepestsachance.com","","5860 N Lincoln Ave","Chicago","IL","60659","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"19. ","Super Bed Bug Control","(773) 896-9276","https://www.yellowpages.com/chicago-il/mip/super-bed-bug-control-457163080","Pest Control Services","","","4994 S Champlain Ave","Chicago","IL","60615","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"20. ","Ai's Bed Bug Elimination","(773) 967-9137","https://www.yellowpages.com/chicago-il/mip/ais-bed-bug-elimination-464152488","Pest Control Services","","","2856 E 89th St","Chicago","IL","60617","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"21. ","S & S Pest Control","(773) 826-7699","https://www.yellowpages.com/chicago-il/mip/s-s-pest-control-11327131","Pest Control Services","http://www.sandspestcontrolinc.com","","3358 W Chicago Ave","Chicago","IL","60651","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"22. ","The Bug Stop","(312) 226-0824","https://www.yellowpages.com/chicago-il/mip/the-bug-stop-3911734","Pest Control Services,Pest Control Equipment & Supplies,Bee Control & Removal Service","https://www.bugstop.net","","2029 S Halsted St","Chicago","IL","60608","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"23. ","ABC Exterminating Co","(773) 410-6883","https://www.yellowpages.com/chicago-il/mip/abc-exterminating-co-495455","Pest Control Services","","","4939 N Broadway St","Chicago","IL","60640","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"24. ","Rose Pest Solutions","(773) 776-5555","https://www.yellowpages.com/chicago-il/mip/rose-pest-solutions-6129968","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.rosepestcontrol.com","","","Chicago","IL","60622","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"25. ","Chapulin Service Center","(773) 523-3969","https://www.yellowpages.com/chicago-il/mip/chapulin-service-center-1653188","Pest Control Services,Pest Control Equipment & Supplies","","","4644 S Ashland Ave","Chicago","IL","60609","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"26. ","Pest Control of Chicago","(312) 453-0525","https://www.yellowpages.com/chicago-il/mip/pest-control-of-chicago-464103992","Pest Control Services","http://www.pestcontrolchicagoland.com","","74 W North Blvd","Chicago","IL","60610","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"27. ","Star Pest Control","(773) 855-9385","https://www.yellowpages.com/chicago-il/mip/star-pest-control-472798964","Pest Control Services","","","6306 S Loomis Blvd","Chicago","IL","60636","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"28. ","On-Target Pest Control Co","(773) 286-3620","https://www.yellowpages.com/chicago-il/mip/on-target-pest-control-co-6012523","Pest Control Services,Bee Control & Removal Service","http://www.target.com","","3031 N Kilbourn Ave","Chicago","IL","60641","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"29. ","My Favorite Pest Control","(773) 967-9146","https://www.yellowpages.com/chicago-il/mip/my-favorite-pest-control-457164221","Pest Control Services","","","2723 E 79th St","Chicago","IL","60649","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
"30. ","Elimination Bed Bugs","(773) 756-1836","https://www.yellowpages.com/chicago-il/mip/elimination-bed-bugs-21688452","Pest Control Services","","","4102 W Berteau Ave","Chicago","IL","60641","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Chicago,%20Illinois"
