"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/cincinnati-oh/mip/orkin-pest-termite-control-21418312?lid=1002080468307","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","75 Novner Dr","Cincinnati","OH","45215","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cincinnati,%20Ohio"
"2. ","Affordable Pest Control","(513) 424-5060","https://www.yellowpages.com/middletown-oh/mip/affordable-pest-control-16236395?lid=1000511986641","Pest Control Services,Bee Control & Removal Service,Animal Removal Services","http://www.affordpestcincy.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cincinnati,%20Ohio"
"3. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cincinnati,%20Ohio"
"4. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697315","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cincinnati,%20Ohio"
"5. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cincinnati,%20Ohio"
"6. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417142","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cincinnati,%20Ohio"
"7. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042065","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cincinnati,%20Ohio"
"8. ","ClearDefense Pest Control","(513) 823-4880","https://www.yellowpages.com/cincinnati-oh/mip/cleardefense-pest-control-545815839","Pest Control Services","https://locations.cleardefensepest.com/pest-control-cincinnati-oh-9c69ad6e7bb2?y_source=1_MTU1MTI0NzctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","","7855 Palace Dr.","Cincinnati","OH","45249","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cincinnati,%20Ohio"
"9. ","Bed Bug Be Gone","(859) 308-6183","https://www.yellowpages.com/cincinnati-oh/mip/bed-bug-be-gone-462481498","Pest Control Services","","","7210 Vine St","Cincinnati","OH","45216","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cincinnati,%20Ohio"
"10. ","Arab Termite & Pest Control of Cincinnati, OH","(513) 385-3430","https://www.yellowpages.com/cincinnati-oh/mip/arab-termite-pest-control-of-cincinnati-oh-5219025","Pest Control Services,Termite Control","http://arab-cincy.com","","5569 Cheviot Rd","Cincinnati","OH","45247","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cincinnati,%20Ohio"
