"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Certified Pest Control","(216) 716-1395","https://www.yellowpages.com/cleveland-oh/mip/certified-pest-control-462599175?lid=1002075085921","Pest Control Services,Pest Control Equipment & Supplies,Bee Control & Removal Service","http://certifiedpestcontrol.com/","","239 Old Brookpark Rd","Cleveland","OH","44109","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"2. ","Cleveland Chemical Pest Control Service Inc","(216) 370-7772","https://www.yellowpages.com/cleveland-oh/mip/cleveland-chemical-pest-control-service-inc-472202478?lid=258450089","Pest Control Services,Inspection Service,Pest Control Equipment & Supplies","http://www.clevelandchemical.com","","18400 S Waterloo Rd","Cleveland","OH","44119","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"3. ","Allied Exterminating Inc","(216) 672-0408","https://www.yellowpages.com/cleveland-oh/mip/allied-exterminating-inc-14962001?lid=171979563","Pest Control Services,Termite Control,Real Estate Inspection Service","http://www.alliedexterminators.com","","12400 Cooley Ave","Cleveland","OH","44111","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"4. ","Critter Control","(216) 642-3044","https://www.yellowpages.com/cleveland-oh/mip/critter-control-510430580?lid=1001124021148","Pest Control Services,Animal Removal Services,Pest Control Services-Commercial & Industrial","http://cleveland.crittercontrol.com","","","Cleveland","OH","44125","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"5. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/cleveland-oh/mip/orkin-pest-termite-control-482200115?lid=1002079891582","Pest Control Services,Termite Control,Animal Removal Services","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","5251 Commerce Pkwy W","Cleveland","OH","44130","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"6. ","General Pest Control","(216) 252-7140","https://www.yellowpages.com/cleveland-oh/mip/general-pest-control-478305928?lid=1000511965436","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://www.generalpest-ohio.com","","3561 W 105th St","Cleveland","OH","44111","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"7. ","Vextech Pest Control","(216) 769-9616","https://www.yellowpages.com/cleveland-oh/mip/vextech-pest-control-526691107?lid=1001522793970","Pest Control Services,Chemicals","","","4303 Pallister Dr","Cleveland","OH","44105","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"8. ","Speed Exterminating Co","(216) 351-2106","https://www.yellowpages.com/nationwide/mip/speed-exterminating-co-3662598?lid=1001868972368","Pest Control Services,Bee Control & Removal Service,Termite Control","http://www.speedexterminating.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"9. ","Apex Pest Control","(440) 252-3541","https://www.yellowpages.com/nationwide/mip/apex-pest-control-550093622?lid=1001893332021","Pest Control Services,Building Contractors,Pest Control Equipment & Supplies","http://www.apexpestcontrol.net","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"10. ","Patton Pest Control Co","(440) 804-5597","https://www.yellowpages.com/chagrin-falls-oh/mip/patton-pest-control-co-495779936?lid=1001284842183","Pest Control Services,Bee Control & Removal Service,Pest Control Services-Commercial & Industrial","http://www.pattonpest.com","","15526 Chillicothe Rd","Chagrin Falls","OH","44022","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"11. ","Lewis Exterminating","(216) 694-8839","https://www.yellowpages.com/nationwide/mip/lewis-exterminating-475365698?lid=1002004279850","Pest Control Services","http://www.lewisexterminating.org","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"12. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"13. ","G & G Exterminating","(216) 592-8013","https://www.yellowpages.com/shaker-heights-oh/mip/g-g-exterminating-522434059?lid=1002101558564","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","https://www.gandgpestcontrolcleveland.com","","3300 Van Aken Blvd","Shaker Heights","OH","44120","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"14. ","Precise Exterminating Service","(216) 930-0285","https://www.yellowpages.com/bedford-heights-oh/mip/precise-exterminating-service-551559178?lid=1002087314979","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://pestcontroloh.com","","24381 Aurora Rd","Bedford Heights","OH","44146","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"15. ","Cleveland Chemical Pest Control Serv Inc","(216) 370-7772","https://www.yellowpages.com/geneva-oh/mip/cleveland-chemical-pest-control-serv-inc-464072709?lid=1001117666442","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.clevelandchemical.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"16. ","Ace Wildlife Service & Supply","(216) 459-0903","https://www.yellowpages.com/nationwide/mip/ace-wildlife-service-supply-461557235?lid=1001059924551","Pest Control Services,Animal Removal Services","http://www.acewildlifeohio.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"17. ","D-Bugz Pest Control LLC","(216) 714-5575","https://www.yellowpages.com/garfield-heights-oh/mip/d-bugz-pest-control-llc-562743076?lid=1002082302183","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.dbugzpc.com","","12600 Rockside Rd","Garfield Heights","OH","44125","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"18. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"19. ","Bond Exterminating Co","(330) 931-3607","https://www.yellowpages.com/kent-oh/mip/bond-exterminating-co-21878745?lid=1002064414655","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","https://bondexterminating.com","","Po Box 1755","Kent","OH","44240","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"20. ","Apex Pest Control","(614) 681-4963","https://www.yellowpages.com/oakwood-village-oh/mip/apex-pest-control-472852862?lid=1002004336380","Pest Control Services,Pest Control Equipment & Supplies,Building Contractors","http://www.apexpestcontrol.net","","26118 Broadway Ave","Oakwood Village","OH","44146","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"21. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417142","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"22. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042065","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"23. ","Catch A Critter","(216) 323-2045","https://www.yellowpages.com/nationwide/mip/catch-a-critter-543277400?lid=1001682260266","Pest Control Services,Pest Control Services-Commercial & Industrial,Animal Removal Services","http://www.catchacritter.us","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"24. ","Central Exterminating Co.","(800) 554-1422","https://www.yellowpages.com/nationwide/mip/central-exterminating-co-461699631?lid=1000613043694","Pest Control Services,Tree Service,Bird Barriers, Repellents & Controls","http://www.centralexterminating.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"25. ","Dominion Pest Control","(440) 888-1388","https://www.yellowpages.com/independence-oh/mip/dominion-pest-control-459289468?lid=1000439546480","Pest Control Services,Pest Control Services-Commercial & Industrial,Bee Control & Removal Service","http://dominionpestcontrol.tripod.com","","","Independence","OH","44131","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"26. ","Bed  Bug Burners","(844) 421-6713","https://www.yellowpages.com/kent-oh/mip/bed-bug-burners-542338195?lid=1002089250127","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653460172482.112b5ac3&ADID=12226975&DEST=https%3A%2F%2Fbedbugburners.mydex.com%2F8Cha-U2A-Qw&C=Pest%20Control&T=Kent&S=OH&PH=(844)%20421-6713&FL=url&TL=off&position=25&PS=30&PI=1&Results=FEED_CLCK&uid=112b5ac3-b2e3-4663-8ee1-d16fbccde96c&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","330 Tallmadge Rd","Kent","OH","44240","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"27. ","Allied Exterminating Inc","(330) 535-4800","https://www.yellowpages.com/nationwide/mip/allied-exterminating-inc-1575344?lid=1001115617184","Pest Control Services,Termite Control,Bee Control & Removal Service","http://alliedexterminators.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"28. ","Ohio Bed Bugs","(216) 285-1918","https://www.yellowpages.com/cleveland-oh/mip/ohio-bed-bugs-472008276","Pest Control Services","https://www.ohbedbugs.com","","3621 Severn Rd","Cleveland","OH","44118","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"29. ","Acme Extermination Co Inc","(216) 991-6300","https://www.yellowpages.com/cleveland-oh/mip/acme-extermination-co-inc-2426122","Pest Control Services","","","3709 Lee Rd","Cleveland","OH","44120","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
"30. ","A Above All Pest Solutions","(216) 554-7212","https://www.yellowpages.com/cleveland-oh/mip/a-above-all-pest-solutions-466193651","Pest Control Services","","","W Lakeside Ave","Cleveland","OH","44113","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Cleveland,%20Ohio"
