"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"2. ","GW Exterminating Company Inc","(706) 653-7400","https://www.yellowpages.com/columbus-ga/mip/gw-exterminating-company-inc-466835548?lid=1001383775610","Pest Control Services,Pest Control Equipment & Supplies,Landscaping & Lawn Services","http://gwexterminating.com","","3908 Woodruff Rd","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"3. ","Do It Yourself Pest Control","(706) 682-2314","https://www.yellowpages.com/columbus-ga/mip/do-it-yourself-pest-control-523288032","Pest Control Services,Pest Control Equipment & Supplies,Pest Control Services-Commercial & Industrial","http://bugsaway.com","","5822 Moon Rd","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"4. ","Knox Pest Control","(706) 660-1577","https://www.yellowpages.com/columbus-ga/mip/knox-pest-control-516689135","Pest Control Services,Termite Control,Landscaping & Lawn Services","http://knoxpest.com","","8158 Fortson Business Park Blvd","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"5. ","Pesty John's Pest Control","(706) 568-9008","https://www.yellowpages.com/columbus-ga/mip/pesty-johns-pest-control-3375507","Pest Control Services,Termite Control","https://pestyjohnspestcontrol.com","","6060 Coca Cola Blvd","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"6. ","Scotts Lawn Service","(706) 507-2990","https://www.yellowpages.com/columbus-ga/mip/scotts-lawn-service-481169237?lid=1000754356054","Pest Control Services,Lawn Maintenance,Landscaping & Lawn Services","https://www.scottslawnservice.com","","","Columbus","GA","31907","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"7. ","Harmony Creek Pest Control","(706) 565-9300","https://www.yellowpages.com/columbus-ga/mip/harmony-creek-pest-control-12699419","Pest Control Services","","","5410 Rockhurst Dr","Columbus","GA","31907","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"8. ","Arrow Exterminators","(706) 561-6163","https://www.yellowpages.com/columbus-ga/mip/arrow-exterminators-11635528","Pest Control Services,Handyman Services,Insulation Contractors","http://www.arrowexterminators.com/georgia/columbus-service-center","","4707 Warm Springs Rd","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"9. ","Tadlock Pest Control","(706) 322-4824","https://www.yellowpages.com/columbus-ga/mip/tadlock-pest-control-12762802?lid=1001216379440","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","http://www.tadlockpestcontrol.com","","1162 Neill Dr","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"10. ","Affordable Wildlife Eviction","(706) 571-4933","https://www.yellowpages.com/nationwide/mip/affordable-wildlife-eviction-457907030","Pest Control Services,Animal Removal Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"11. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/columbus-ga/mip/orkin-pest-termite-control-475516342?lid=1002080468325","Pest Control Services,Termite Control,Bee Control & Removal Service","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","3709 Buena Vista Rd","Columbus","GA","31906","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"12. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"13. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417117","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
"14. ","Lawn Doctor","(706) 322-5570","https://www.yellowpages.com/columbus-ga/mip/lawn-doctor-534643524?lid=1001390285810","Pest Control Services,Landscaping & Lawn Services,Spraying Equipment","http://www.lawndoctor.com","","2980 Smith Rd","Columbus","GA","31907","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Columbus,%20Georgia"
