"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Pest Control Services","(361) 360-5651","https://www.yellowpages.com/corpus-christi-tx/mip/pest-control-services-495507929?lid=1002069699456","Pest Control Services,Landscaping & Lawn Services,Termite Control","http://www.pestcontrolservicesinc.com","","5011 Ambassador Row","Corpus Christi","TX","78416","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"2. ","ABC Home & Commercial Services","(361) 360-8239","https://www.yellowpages.com/corpus-christi-tx/mip/abc-home-commercial-services-546032173?lid=1002070299329","Pest Control Services,Air Conditioning Contractors & Systems,Plumbers","http://www.abchomeandcommercial.com/corpus-christi?utm_source=thryv&utm_medium=iyp&utm_campaign=ess","","1022 Mcbride Ln","Corpus Christi","TX","78407","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"3. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/corpus-christi-tx/mip/orkin-pest-termite-control-475511281?lid=1002079891577","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","8101 Leopard St","Corpus Christi","TX","78409","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"4. ","Aim Pest Control","(361) 853-9300","https://www.yellowpages.com/corpus-christi-tx/mip/aim-pest-control-463616993?lid=1001722485765","Pest Control Services","","","645 Wilshire Pl","Corpus Christi","TX","78411","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"5. ","Tri-County Exterminating Co","(361) 881-9104","https://www.yellowpages.com/corpus-christi-tx/mip/tri-county-exterminating-co-525890971?lid=1002104187557","Pest Control Services,Pest Control Equipment & Supplies,Insecticides","http://tricountypestcontrol.com","","5330 Spring Brook Dr","Corpus Christi","TX","78413","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"6. ","ABC Home & Commerical Services","(361) 400-2366","https://www.yellowpages.com/corpus-christi-tx/mip/abc-home-commerical-services-556850426?lid=1002098610977","Pest Control Services,Plumbing-Drain & Sewer Cleaning,Air Conditioning Service & Repair","http://www.abchomeandcommercial.com/corpus-christi/?utm_source=yp&utm_medium=iyp&utm_campaign=yp_mlp","","1022 Mcbride Ln","Corpus Christi","TX","78407","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"7. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"8. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697321","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"9. ","ABC Home & Commercial Services","(361) 884-8214","https://www.yellowpages.com/nationwide/mip/abc-home-commercial-services-542378744?lid=1000948874561","Pest Control Services,Major Appliances,Water Softening & Conditioning Equipment & Service","http://www.abchomeandcommercial.com/?utm_source=yp&utm_medium=iyp&utm_campaign=yp_platinum","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"10. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"11. ","Town & Country Pest Control","(361) 387-1634","https://www.yellowpages.com/robstown-tx/mip/town-country-pest-control-455192284?lid=1002101335575","Pest Control Services,Pest Control Equipment & Supplies,Mediterranean Restaurants","https://townandcountrypestcontrolinc.com","","2475 County Rd 69","Robstown","TX","78380","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"12. ","BugPRO","(844) 347-9164","https://www.yellowpages.com/alice-tx/mip/bugpro-545551745?lid=1001780224197","Pest Control Services,Bee Control & Removal Service,Lawn & Garden Equipment & Supplies","http://alicepestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"13. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417257","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"14. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042075","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"15. ","Tri-County Exterminating Co","(361) 881-9104","https://www.yellowpages.com/nationwide/mip/tri-county-exterminating-co-468887728?lid=1001722489305","Pest Control Services,Termite Control,Inspection Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"16. ","Pest Patrol Inc","(361) 852-4002","https://www.yellowpages.com/corpus-christi-tx/mip/pest-patrol-inc-464170765","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","http://www.pestpatrolcc.com","","3630 Wow Rd","Corpus Christi","TX","78413","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"17. ","Texas Pest Control","(361) 884-8353","https://www.yellowpages.com/corpus-christi-tx/mip/texas-pest-control-15945329","Pest Control Services","","","1724 17th St","Corpus Christi","TX","78404","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"18. ","Sal's Pest Control Company","(361) 992-3509","https://www.yellowpages.com/corpus-christi-tx/mip/sals-pest-control-company-12782851","Pest Control Services","","","617 John Lee St","Corpus Christi","TX","78412","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
"19. ","Pestmobiles Inc","(361) 994-4949","https://www.yellowpages.com/corpus-christi-tx/mip/pestmobiles-inc-8392989","Pest Control Services","","","4639 Corona Dr Ste 2E","Corpus Christi","TX","78411","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Corpus%20Christi,%20Texas"
