"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fayetteville,%20North%20Carolina"
"2. ","Antex Exterminating","(910) 822-0099","https://www.yellowpages.com/fayetteville-nc/mip/antex-exterminating-548849984","Pest Control Services,Waterproofing Contractors","http://www.antexexterminating.com","","3708B Ramsey St","Fayetteville","NC","28311","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fayetteville,%20North%20Carolina"
"3. ","The Master Exterminators","(910) 764-6610","https://www.yellowpages.com/fayetteville-nc/mip/the-master-exterminators-7831989","Pest Control Services,Advertising Agencies","http://www.masterexterminators.com","","224 Old Elizabethtown Rd","Fayetteville","NC","28306","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fayetteville,%20North%20Carolina"
"4. ","Orkin Pest & Termite Control","(910) 276-1280","https://www.yellowpages.com/fayetteville-nc/mip/orkin-pest-termite-control-497102090","Pest Control Services,Pest Control Equipment & Supplies,Bee Control & Removal Service","http://api.citygridmedia.com/content/places/v2/click?q=urVBa6moXC5S9VPyC16BYBn_NxLXMVobS_8vbcyI69_gxb4CfBJy9OKohTker_VRQUs_rkabzY8Aw-E7wg8PzxGIRE6Qeb1zffG2kRjt9wW32cq9uCECkL8wpv5bmgpn9eHujXaey0BWMkHvfUfCZa8KOwZ5rWwFFTocGn8Ak-TBBsiJXt6x1vGXfzE3Q_nCSzgUUBFuGAnJt-z80MPOF1hYHd1TBg6HqoN-n43YlwRJU17R8qAvKI2C6aBDfJaH__TCV0cjPYXZYLcWXTmzyHZOORyGYJJXHW-dOOdXoRC0dIJZ_a9rBUv9UMgsmVwxB_Dwkw3pUV_2ICk578zeAtf70IXnPWJRllV95Yf_6tjuMUHPPCiTEjUL79OM8y-_Z1SbckRk2z7JYR3I1x8DOA","","120 W Mountain Dr","Fayetteville","NC","28306","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fayetteville,%20North%20Carolina"
"5. ","Mosquito Joe of Southeastern NC","(910) 779-3311","https://www.yellowpages.com/nationwide/mip/mosquito-joe-of-southeastern-nc-543772606","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","https://southeasternnc.mosquitojoe.com/?cid=LSTL_MOJ000253","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fayetteville,%20North%20Carolina"
"6. ","Spring-Green Lawn Care","(910) 426-2266","https://www.yellowpages.com/fayetteville-nc/mip/spring-green-lawn-care-460763832","Pest Control Services,Lawn Maintenance,Tree Service","http://www.spring-green.com","","4312 Cedar Creek Rd","Fayetteville","NC","28312","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fayetteville,%20North%20Carolina"
"7. ","Clegg's Pest Control","(910) 484-8383","https://www.yellowpages.com/nationwide/mip/cleggs-pest-control-522403337","Pest Control Services,Waterproofing Contractors,Termite Control","http://www.cleggs.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fayetteville,%20North%20Carolina"
"8. ","Terminix","(910) 579-0763","https://www.yellowpages.com/fayetteville-nc/mip/terminix-461838720","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.terminix.com","","PO Box 2587","Fayetteville","NC","28302","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fayetteville,%20North%20Carolina"
"9. ","Arrow Exterminators of Fayetteville","(910) 483-5211","https://www.yellowpages.com/fayetteville-nc/mip/arrow-exterminators-of-fayetteville-504274274","Pest Control Services","","","325 Winslow St","Fayetteville","NC","28301","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fayetteville,%20North%20Carolina"
"10. ","Dodson Pest Control","(910) 849-1970","https://www.yellowpages.com/fayetteville-nc/mip/dodson-pest-control-461896607?lid=1002033451274","Pest Control Services,Bird Barriers, Repellents & Controls,Bee Control & Removal Service","https://www.dodsonbros.com","","425 Ann St","Fayetteville","NC","28301","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fayetteville,%20North%20Carolina"
