"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Medeiros & Sons Pest Control","(510) 429-9018","https://www.yellowpages.com/fremont-ca/mip/medeiros-sons-pest-control-710253?lid=1000997504672","Pest Control Services,Bee Control & Removal Service","","","PO Box 2821","Fremont","CA","94536","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"2. ","Clark Pest Control","(877) 772-3989","https://www.yellowpages.com/nationwide/mip/clark-pest-control-30426665?lid=1002046843854","Pest Control Services,Landscaping & Lawn Services,Lawn Maintenance","http://www.clarkpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"3. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"4. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697499","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"5. ","California Exterminating Service","(925) 962-5672","https://www.yellowpages.com/nationwide/mip/california-exterminating-service-488312737?lid=1001740346046","Pest Control Services,Bee Control & Removal Service,Pest Control Services-Commercial & Industrial","http://www.calextsvc.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"6. ","Omega Termite & Pest Control","(510) 969-2238","https://www.yellowpages.com/oakland-ca/mip/omega-termite-pest-control-4001007?lid=256469745","Pest Control Services,Chemicals,Termite Control","http://www.omegapest.com","","807 75th Ave","Oakland","CA","94621","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"7. ","Crane Pest Control","(628) 222-5544","https://www.yellowpages.com/san-francisco-ca/mip/crane-pest-control-504725211?lid=1001656204654","Pest Control Services,Pest Control Services-Commercial & Industrial,Pest Control Equipment & Supplies","http://www.cranepestcontrol.com/?utm_source=yp&utm_campaign=yp_platadv&utm_medium=iyp","","2700 Geary Blvd","San Francisco","CA","94118","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"8. ","Little David Pest Control Inc","(408) 758-5519","https://www.yellowpages.com/san-jose-ca/mip/little-david-pest-control-inc-461743876?lid=1002073217996","Pest Control Services,Bee Control & Removal Service,Weed Control Service","http://www.littledavidpestcontrol.com","","776 Clinton Pl","San Jose","CA","95126","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"9. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"10. ","Official Pest Prevention","(866) 203-6949","https://www.yellowpages.com/nationwide/mip/official-pest-prevention-564924885?lid=1002083806457","Pest Control Services,Pest Control Services-Commercial & Industrial,Animal Removal Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"11. ","Clark Pest Control","(408) 461-3047","https://www.yellowpages.com/milpitas-ca/mip/clark-pest-control-567142238?lid=1002091489999","Pest Control Services,Pest Control Services-Commercial & Industrial,Weed Control Service","http://www.clarkpest.com","","199 Topaz Street Milpitas","Milpitas","CA","95035","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"12. ","Crane Pest Control","(415) 530-2567","https://www.yellowpages.com/san-jose-ca/mip/crane-pest-control-537730588?lid=1002083955406","Pest Control Services,Pest Control Services-Commercial & Industrial,Bird Barriers, Repellents & Controls","http://www.cranepestcontrol.com/?utm_source=yp&utm_campaign=yp_mlp&utm_medium=iyp","","","San Jose","CA","95127","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
"13. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/hayward-ca/mip/orkin-pest-termite-control-458581551?lid=1002080468117","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","20942 Corsair Blvd","Hayward","CA","94545","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Fremont,%20California"
