"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/garland-tx/mip/orkin-pest-termite-control-451327143?lid=1002080468058","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","3634 Dividend Dr","Garland","TX","75042","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"2. ","Berrett Pest Control","(469) 619-0564","https://www.yellowpages.com/garland-tx/mip/berrett-pest-control-481339122?lid=1002071307032","Pest Control Services,Pest Control Equipment & Supplies,Pest Control Services-Commercial & Industrial","https://berrettpestcontrol.com","","708 Easy St","Garland","TX","75042","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"3. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"4. ","Premier Pest Control","(214) 340-2700","https://www.yellowpages.com/nationwide/mip/premier-pest-control-539994864?lid=1001527264030","Pest Control Services,Pest Control Equipment & Supplies","http://www.premierpest-termite.com/","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"5. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697333","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"6. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"7. ","East Texas Home Inspection & Pest Control, LLC","(903) 480-0687","https://www.yellowpages.com/palestine-tx/mip/east-texas-home-inspection-pest-control-llc-537307375?lid=1001630213285","Pest Control Services,Construction Consultants,Pest Control Services-Commercial & Industrial","http://easttexashomeinspection.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"8. ","J & J Reliable Pest Control Co","(214) 371-6738","https://www.yellowpages.com/dallas-tx/mip/j-j-reliable-pest-control-co-460356034?lid=1001772788918","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","http://jjreliablepestcontrol.com","","4404 S Marsalis Ave","Dallas","TX","75216","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"9. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417257","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"10. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042075","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"11. ","Home Run Pest & Termite Control","(972) 800-6354","https://www.yellowpages.com/wylie-tx/mip/home-run-pest-termite-control-519496515?lid=1001494369876","Pest Control Services","http://www.homerunpest.com","","2559 Elm Grove Rd","Wylie","TX","75098","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"12. ","Pest Management of Texas Inc","(972) 495-2847","https://www.yellowpages.com/nationwide/mip/pest-management-of-texas-inc-3087414?lid=1000935072346","Pest Control Services,Spraying Equipment,Real Estate Inspection Service","http://972495bugs.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"13. ","Little Giant Beekeepers","(817) 886-6698","https://www.yellowpages.com/dallas-tx/mip/little-giant-beekeepers-467637044?lid=1001584087091","Pest Control Services,Beekeeping & Supplies,Pest Control Equipment & Supplies","http://www.littlegiantbeekeepers.net","","15150 Preston Rd Suite 300","Dallas","TX","75248","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"14. ","Baldwin Pest Services, LLC","(214) 225-0649","https://www.yellowpages.com/nationwide/mip/baldwin-pest-services-llc-567137761?lid=1002102810699","Pest Control Services,Termite Control","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653460520202.fc1904d9&ADID=12072151&DEST=http%3A%2F%2Fbaldwinpestservices1.mydex.com%2F44NScF1EVuE&C=Pest%20Control&T=Garland&S=TX&PH=(214)%20225-0649&FL=url&TL=off&position=13&PS=30&PI=1&Results=FEED_CLCK&uid=fc1904d9-21df-4a51-a4a4-84aaeca92d57&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"15. ","Best Garland Pest Control","(972) 479-5710","https://www.yellowpages.com/garland-tx/mip/best-garland-pest-control-468661010","Pest Control Services,Termite Control","http://bestgarlandpestcontrol.com","","1102 High Mesa Dr","Garland","TX","75041","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"16. ","Castle Exterminating Co","(972) 272-2226","https://www.yellowpages.com/garland-tx/mip/castle-exterminating-co-17761054","Pest Control Services","","","913 Shorehaven Dr","Garland","TX","75040","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"17. ","Any Pest Removal","(972) 521-8968","https://www.yellowpages.com/garland-tx/mip/any-pest-removal-466309763","Pest Control Services","","","1017 Bandera Ln","Garland","TX","75040","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"18. ","Gun Slinger Pest Control","(972) 494-9113","https://www.yellowpages.com/garland-tx/mip/gun-slinger-pest-control-14494715","Pest Control Services","","","3701 Dividend Dr","Garland","TX","75042","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"19. ","Fire Ant Terminators","(972) 276-5431","https://www.yellowpages.com/garland-tx/mip/fire-ant-terminators-15261364","Pest Control Services","","","4513 Princeton Dr","Garland","TX","75042","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"20. ","Godfrey Pest Control","(972) 741-8687","https://www.yellowpages.com/garland-tx/mip/godfrey-pest-control-456393036","Pest Control Services","","","3013 Flagstone Dr","Garland","TX","75044","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"21. ","Arrow Pest Services","(972) 414-5556","https://www.yellowpages.com/garland-tx/mip/arrow-pest-services-5935270","Pest Control Services","http://www.arrowexterminators.com","","3137 Teakwood Dr","Garland","TX","75044","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"22. ","Pest Control in Garland, TX","(972) 474-3295","https://www.yellowpages.com/garland-tx/mip/pest-control-in-garland-tx-555592844","Pest Control Services,Pest Control Equipment & Supplies","","","1456 Belt Line Rd","Garland","TX","75044","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"23. ","Local Pest Control in Garland, TX","(972) 497-2218","https://www.yellowpages.com/garland-tx/mip/local-pest-control-in-garland-tx-555592688","Pest Control Services,Pest Control Equipment & Supplies","","","360 Coneflower Dr","Garland","TX","75040","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"24. ","Terminix","(972) 495-2429","https://www.yellowpages.com/garland-tx/mip/terminix-6601264","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://www.terminix.com","","2611 Belt Line Rd","Garland","TX","75044","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
"25. ","Earth Link Pest Management","(972) 675-8110","https://www.yellowpages.com/garland-tx/mip/earth-link-pest-management-3844377","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://earthlinkpest.com","","","Garland","TX","75044","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Garland,%20Texas"
