"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Blue Sky Pest Control","(480) 447-9489","https://www.yellowpages.com/gilbert-az/mip/blue-sky-pest-control-10111003?lid=1001447453468","Pest Control Services,Insecticides,Pest Control Equipment & Supplies","http://www.blueskypest.com/","","1936 W Rawhide Ave","Gilbert","AZ","85233","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"2. ","Magic Pest Control","(480) 654-5888","https://www.yellowpages.com/gilbert-az/mip/magic-pest-control-474025131","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","http://www.magicpest.com","","700 N Golden Key St # A-7","Gilbert","AZ","85233","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"3. ","Simply Green Pest Control","(480) 550-9220","https://www.yellowpages.com/chandler-az/mip/simply-green-pest-control-526327927","Pest Control Services,Bee Control & Removal Service,Pest Control Services-Commercial & Industrial","http://www.simplygreenpest.com","","3225 N Arizona Ave Ste 3","Chandler","AZ","85225","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"4. ","East Valley Pest Service","(480) 621-2576","https://www.yellowpages.com/mesa-az/mip/east-valley-pest-service-533517582","Pest Control Services","http://eastvalleypestservice.com","","","Mesa","AZ","85210","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"5. ","PEST BUSTERS EXTERMINATING","(480) 335-2776","https://www.yellowpages.com/chandler-az/mip/pest-busters-exterminating-520901722","Pest Control Services,Inspection Service,Bee Control & Removal Service","http://www.pestbustersexterminatings.com","","Po Box 712","Chandler","AZ","85244","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"6. ","Green Machine Pest Control","(480) 370-7619","https://www.yellowpages.com/chandler-az/mip/green-machine-pest-control-508643470","Pest Control Services","http://www.greenmachinepest.com","","1154 E Del Rio St","Chandler","AZ","85225","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"7. ","Integrity Termite & Pest Control","(480) 641-4500","https://www.yellowpages.com/mesa-az/mip/integrity-termite-pest-control-733171","Pest Control Services,Termite Control","http://www.integritypcaz.com","","4838 E Baseline Rd Ste 127","Mesa","AZ","85206","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"8. ","Western Exterminator","(480) 824-9940","https://www.yellowpages.com/tempe-az/mip/western-exterminator-533588558","Pest Control Services,Bee Control & Removal Service,Bird Barriers, Repellents & Controls","http://www.westernexterminator.com","","509 S 48th St Ste 108","Tempe","AZ","85281","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"9. ","Truly Nolen","(480) 814-8900","https://www.yellowpages.com/chandler-az/mip/truly-nolen-480127634","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.trulynolen.com/location/arizona/chandler-pest-control","","150 W Elliot Rd","Chandler","AZ","85225","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"10. ","Arizona Bug Busters","(480) 825-4155","https://www.yellowpages.com/mesa-az/mip/arizona-bug-busters-503021794","Pest Control Services,Bee Control & Removal Service,Bird Barriers, Repellents & Controls","http://www.arizonabugbusters.com","","750 N Regent","Mesa","AZ","85205","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"11. ","Shield Pest and Weed Control","(480) 828-1199","https://www.yellowpages.com/mesa-az/mip/shield-pest-and-weed-control-506457787","Pest Control Services,Weed Control Service,Pest Control Services-Commercial & Industrial","http://shieldpestandweed.com","","11232 E Sandoval Ave","Mesa","AZ","85212","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"12. ","EcoSense Pest Management","(602) 380-7960","https://www.yellowpages.com/mesa-az/mip/ecosense-pest-management-461175562","Pest Control Services,Insecticides,Termite Control","http://www.ethicalaz.com/SiteError.aspx?bbbid=122","","3807 E Grove Ave","Mesa","AZ","85206","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"13. ","Briphen Pool Cleaning & Pest Control","(480) 741-2798","https://www.yellowpages.com/tempe-az/mip/briphen-pool-cleaning-pest-control-562263286","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","http://briphen.com","","2750 S Hardy Dr #1a","Tempe","AZ","85282","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"14. ","Arizona's Best Choice Pest & Termite Services","(480) 418-5252","https://www.yellowpages.com/mesa-az/mip/arizonas-best-choice-pest-termite-services-565177151","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","https://www.azbestpest.com","","8227 E E Main St","Mesa","AZ","85207","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
"15. ","Schendel Pest Services","(800) 895-4003","https://www.yellowpages.com/chandler-az/mip/schendel-pest-services-465187542","Pest Control Services,Pest Control Equipment & Supplies,Bird Barriers, Repellents & Controls","http://www.schendelpest.com","","355 E Warner Rd Ste 2","Chandler","AZ","85225","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Gilbert,%20Arizona"
