"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Clark Pest Control","(800) 936-3339","https://www.yellowpages.com/nationwide/mip/clark-pest-control-30426665?lid=1002046843857","Pest Control Services,Landscaping & Lawn Services,Lawn Maintenance","http://www.clarkpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Glendale,%20California"
"2. ","Ecola Termite and Pest Control Services","(805) 206-3991","https://www.yellowpages.com/nationwide/mip/ecola-termite-and-pest-control-services-564773920?lid=1002081796035","Pest Control Services,Insect Control Devices,Bird Barriers, Repellents & Controls","https://www.ecolatermite.com/?=16","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Glendale,%20California"
"3. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Glendale,%20California"
"4. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697597","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Glendale,%20California"
"5. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Glendale,%20California"
"6. ","Clark Pest Control","(661) 505-1094","https://www.yellowpages.com/santa-clarita-ca/mip/clark-pest-control-21993348?lid=1002045793331","Pest Control Services,Pest Control Equipment & Supplies,Bird Barriers, Repellents & Controls","http://www.clarkpest.com","","26764 Oak Ave","Santa Clarita","CA","91351","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Glendale,%20California"
"7. ","Clark Pest Control","(661) 494-6245","https://www.yellowpages.com/lancaster-ca/mip/clark-pest-control-468580469?lid=1002065329877","Pest Control Services,Lawn Maintenance,Weed Control Service","","","42831 Sierra Hwy","Lancaster","CA","93534","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Glendale,%20California"
"8. ","Stanley  Pest Control","(800) 566-2505","https://www.yellowpages.com/los-angeles-ca/mip/stanley-pest-control-493030200?lid=1002009421290","Pest Control Services,Bee Control & Removal Service","https://www.stanleypest.com/?ypiyp","","5241 W Jefferson Blvd","Los Angeles","CA","90016","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Glendale,%20California"
"9. ","Bee Removers","(888) 771-8438","https://www.yellowpages.com/nationwide/mip/bee-removers-474065684?lid=1001185262891","Pest Control Services,Bee Control & Removal Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Glendale,%20California"
"10. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417187","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Glendale,%20California"
