"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Dodson Pest Control","(336) 698-4604","https://www.yellowpages.com/greensboro-nc/mip/dodson-pest-control-560628906?lid=1002033451222","Pest Control Services,Bee Control & Removal Service,Termite Control","https://www.dodsonbros.com","","1507 New Garden Rd","Greensboro","NC","27410","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"2. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/greensboro-nc/mip/orkin-pest-termite-control-475516312?lid=1002079891602","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","107 Bonita Dr","Greensboro","NC","27405","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"3. ","Bulwark Exterminating","(480) 733-1688","https://www.yellowpages.com/greensboro-nc/mip/bulwark-exterminating-15866374?lid=1000437167734","Pest Control Services,Pest Control Equipment & Supplies","http://www.bulwarkpestcontrol.com","","508 Prescott Street, Suite D","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"4. ","Dodson Pest Control","(800) 931-1354","https://www.yellowpages.com/nationwide/mip/dodson-pest-control-534380813?lid=1002046552504","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://www.dodsonbros.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"5. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"6. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697388","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"7. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"8. ","Pest- X Exterminating","(336) 904-3923","https://www.yellowpages.com/kernersville-nc/mip/pest-x-exterminating-459038085?lid=1001949331239","Pest Control Services,Termite Control,Building Contractors","http://www.pest-x.com","","725 W Mountain St","Kernersville","NC","27284","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"9. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417132","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"10. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042105","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"11. ","Smith Pest Control","(336) 314-5706","https://www.yellowpages.com/mc-leansville-nc/mip/smith-pest-control-27658774?lid=1001973290734","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","","","715 Knox Rd","Mc Leansville","NC","27301","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"12. ","Home Pro`s Suburban Pest Control Of North Carolina, inc.","(336) 839-2847","https://www.yellowpages.com/greensboro-nc/mip/home-pros-suburban-pest-control-of-north-carolina-inc-470433250","Pest Control Services,Pest Control Equipment & Supplies,Pest Control Services-Commercial & Industrial","http://www.homepropest.com","","7349 W Friendly Ave Suites # G & H","Greensboro","NC","27410","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"13. ","Crawlspace Care Tech Inc","(336) 333-9991","https://www.yellowpages.com/greensboro-nc/mip/crawlspace-care-tech-inc-2152789","Pest Control Services,Mothproofing,Termite Control","http://crawlspacecare.com","","420 Prescott St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"14. ","The House Doctor","(336) 299-4852","https://www.yellowpages.com/greensboro-nc/mip/the-house-doctor-6671851","Pest Control Services","","","2203 Springhill Rd","Greensboro","NC","27403","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"15. ","Carolina Bed Bug Dog","(336) 908-3975","https://www.yellowpages.com/greensboro-nc/mip/carolina-bed-bug-dog-465417239","Pest Control Services","http://carolinabedbugdog.com","","","Greensboro","NC","27410","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"16. ","McNeely Pest Control","(336) 631-9494","https://www.yellowpages.com/greensboro-nc/mip/mcneely-pest-control-497592565","Pest Control Services","http://www.mcneelypest.com","","2306 W Meadowview Rd","Greensboro","NC","27407","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"17. ","Arrow Exterminators, inc","(336) 273-6253","https://www.yellowpages.com/greensboro-nc/mip/arrow-exterminators-inc-461605746","Pest Control Services","http://www.arrow-exterminators.com","","715 Battleground Avenue","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"18. ","Terminix","(336) 621-7070","https://www.yellowpages.com/greensboro-nc/mip/terminix-548250067","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.terminix.com","","1703 E Wendover Ave","Greensboro","NC","27405","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"19. ","Greensboro Pest Control","(336) 396-9825","https://www.yellowpages.com/greensboro-nc/mip/greensboro-pest-control-560401178","Pest Control Services","http://greensboro-pestcontrol.com","","1616 Battleground Ave Ste G","Greensboro","NC","27408","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"20. ","HomeTeam Pest Defense","(336) 542-5257","https://www.yellowpages.com/greensboro-nc/mip/hometeam-pest-defense-459563101","Pest Control Services","https://pestdefense.com","","3410 W Wendover Ave","Greensboro","NC","27407","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"21. ","Pest One Inc","(336) 272-9156","https://www.yellowpages.com/greensboro-nc/mip/pest-one-inc-527812775","Pest Control Services","http://www.pestone.com","","424 Prescott St","Greensboro","NC","27401","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"22. ","Mosquito Squad of The Triad: Greensboro, Winston-Salem, High Point","(336) 347-4462","https://www.yellowpages.com/greensboro-nc/mip/mosquito-squad-of-the-triad-greensboro-winston-salem-high-point-558959951","Pest Control Services","http://www.mosquitosquad.com/triad","","1405 Yanceyville St Ste A","Greensboro","NC","27405","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"23. ","Dead Pest Society Inc","(336) 218-0333","https://www.yellowpages.com/greensboro-nc/mip/dead-pest-society-inc-14618254","Pest Control Services","","","GNBO Nc","Greensboro","NC","27403","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"24. ","Southeastern Exterminating Co Inc","(336) 274-4244","https://www.yellowpages.com/greensboro-nc/mip/southeastern-exterminating-co-inc-12564300","Pest Control Services,Animal Removal Services,Termite Control","http://southeasternext.com","","2331 Randleman Rd","Greensboro","NC","27406","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"25. ","Top NC Pest Control","(336) 715-3739","https://www.yellowpages.com/greensboro-nc/mip/top-nc-pest-control-540905802","Pest Control Services","http://topncpestcontrol.com","","717 Green Valley Road, Suite 200","Greensboro","NC","27408","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"26. ","Southeastern Exterminating Co","(336) 852-7902","https://www.yellowpages.com/greensboro-nc/mip/southeastern-exterminating-co-13628715","Pest Control Services","","","300 S Westgate Dr","Greensboro","NC","27407","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"27. ","Bug Busters","(336) 271-3461","https://www.yellowpages.com/greensboro-nc/mip/bug-busters-530488163","Pest Control Services,Bee Control & Removal Service,Termite Control","","","4917 Old Randleman Rd","Greensboro","NC","27406","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"28. ","All Natural Pest Elimination Inc","(336) 668-1400","https://www.yellowpages.com/greensboro-nc/mip/all-natural-pest-elimination-inc-560730441","Pest Control Services","","","8 Lockheed Ct","Greensboro","NC","27409","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"29. ","McNeely Pest Control","(336) 292-4968","https://www.yellowpages.com/greensboro-nc/mip/mcneely-pest-control-524059823","Pest Control Services","http://www.mcneelypest.com","","7707 Boeing Dr","Greensboro","NC","27409","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
"30. ","Clegg's Termite and Pest Control Inc.","(336) 429-5442","https://www.yellowpages.com/greensboro-nc/mip/cleggs-termite-and-pest-control-inc-551340932","Pest Control Services","http://www.cleggs.com","","Po Box 244","Greensboro","NC","27402","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Greensboro,%20North%20Carolina"
