"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Pioneer Exterminating Co","(832) 460-2305","https://www.yellowpages.com/houston-tx/mip/pioneer-exterminating-co-549312593?lid=1000268926156","Pest Control Services,Termite Control,Spraying Equipment","http://www.pioneerexterminating.com","","8707 Cadawac Rd","Houston","TX","77074","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"2. ","John Moore Services","(713) 597-6744","https://www.yellowpages.com/houston-tx/mip/john-moore-services-466838037?lid=192260175","Pest Control Services,Roofing Contractors,General Contractors","http://www.johnmooreservices.com","","10005 W Sam Houston Pkwy N","Houston","TX","77064","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"3. ","All Houston Pest Control Inc","(281) 645-0235","https://www.yellowpages.com/houston-tx/mip/all-houston-pest-control-inc-9862435?lid=1001657190264","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.allhoustonpestcontrol.com","","2021 Aldine Mail Route Rd","Houston","TX","77039","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"4. ","End O Pest","(346) 800-6280","https://www.yellowpages.com/houston-tx/mip/end-o-pest-461521994?lid=1002055398435","Pest Control Services,Chemicals,Pest Control Supply & Equipment-Wholesale & Manufacturers","http://www.endopest.com","","1119 W 34th St","Houston","TX","77018","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"5. ","SW Exterminating Co.","(346) 800-6222","https://www.yellowpages.com/houston-tx/mip/sw-exterminating-co-471139100?lid=1002067284083","Pest Control Services,Pest Control Equipment & Supplies,Animal Removal Services","http://www.southwestexterminating.com","","11023 Southwest Fwy","Houston","TX","77074","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"6. ","Pioneer Exterminating Company - TEXAS","(832) 930-9502","https://www.yellowpages.com/houston-tx/mip/pioneer-exterminating-company-texas-8136353?lid=1002004321464","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://pioneerexterminating.com","","8707 Cadawac Rd","Houston","TX","77074","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"7. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/houston-tx/mip/orkin-pest-termite-control-471899067?lid=1002080467184","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","3901 Braxton Dr","Houston","TX","77063","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"8. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/houston-tx/mip/orkin-pest-termite-control-471921521?lid=1002080468352","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","15621 Blue Ash Dr Ste 190","Houston","TX","77090","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"9. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/houston-tx/mip/orkin-pest-termite-control-475516413?lid=1002080467231","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","15510 Bammel North Houston Rd","Houston","TX","77014","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"10. ","A A A Pest Control","(281) 931-0093","https://www.yellowpages.com/houston-tx/mip/a-a-a-pest-control-5585125?lid=1001593326250","Pest Control Services,Pest Control Services-Commercial & Industrial","http://www.aaapest.com","","1618 Rainy River Dr","Houston","TX","77088","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"11. ","John Moore Services","(713) 730-2525","https://www.yellowpages.com/houston-tx/mip/john-moore-services-466838032?lid=1002072453924","Pest Control Services,Heating Contractors & Specialties,Electricians","https://www.johnmooreservices.com","","10005 W Sam Houston Pkwy N Ste 200","Houston","TX","77064","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"12. ","Lone Star Pest Control Service Inc","(281) 653-7936","https://www.yellowpages.com/houston-tx/mip/lone-star-pest-control-service-inc-524746631?lid=1002004321249","Pest Control Services,Bee Control & Removal Service","http://www.lonestarpest.com","","15462 Bay Green Ct","Houston","TX","77059","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"13. ","Lone Star Pest Control","(281) 500-9338","https://www.yellowpages.com/houston-tx/mip/lone-star-pest-control-20397548?lid=171342011","Pest Control Services,Bee Control & Removal Service","http://www.lonestarpest.com","","PO Box 691645","Houston","TX","77269","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"14. ","Ridley's Vacuum & Janitorial Supply","(713) 649-4121","https://www.yellowpages.com/houston-tx/mip/ridleys-vacuum-janitorial-supply-9121014?lid=1000439503449","Pest Control Services,Small Appliances,Paper Manufacturers","http://www.2ridleysonline.com","","3700 Reveille St","Houston","TX","77087","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"15. ","ABC Home & Commercial Services","(281) 730-9500","https://www.yellowpages.com/houston-tx/mip/abc-home-commercial-services-524666464?lid=1000437161751","Pest Control Services,Landscaping & Lawn Services","http://www.abchomeandcommercial.com/houston/#ppE8n","","","Houston","TX","77066","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"16. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"17. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697436","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"18. ","Animal Control Wildlife","(281) 399-2666","https://www.yellowpages.com/new-caney-tx/mip/animal-control-wildlife-516751349?lid=1001657194138","Pest Control Services,Animal Removal Services,Inspection Service","http://varmitbusters.com","","","New Caney","TX","77357","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"19. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"20. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417257","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"21. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042075","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"22. ","Alterra","(713) 690-7378","https://www.yellowpages.com/houston-tx/mip/alterra-469702466","Pest Control Services","http://www.alterrapestcontrol.com","","8800 Jameel Rd Ste 100b","Houston","TX","77040","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"23. ","Bulwark Exterminating","(713) 983-7378","https://www.yellowpages.com/houston-tx/mip/bulwark-exterminating-465013102","Pest Control Services","http://www.bulwarkpestcontrol.com/houstonpestcontrol.php","","10900 Brittmoore Park Dr","Houston","TX","77041","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"24. ","Aptive Environmental","(713) 460-2847","https://www.yellowpages.com/houston-tx/mip/aptive-environmental-523435689","Pest Control Services","https://www.goaptive.com/houston?cid=yp","","8800 Jameel Rd Ste 100B","Houston","TX","77040","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"25. ","Green Earth Exterminators","(281) 978-2238","https://www.yellowpages.com/houston-tx/mip/green-earth-exterminators-526491641","Pest Control Services","https://greenearthexterminators.com/contacts.html","","14300 Northwest Fwy Ste B16","Houston","TX","77040","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"26. ","Hartz Pest Control","(713) 461-4866","https://www.yellowpages.com/houston-tx/mip/hartz-pest-control-269984","Pest Control Services,Pest Control Services-Commercial & Industrial","http://www.hartzpestcontrol.com","","1814 W Sam Houston Pkwy N","Houston","TX","77043","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"27. ","Preventive Pest Control","(713) 946-9202","https://www.yellowpages.com/houston-tx/mip/preventive-pest-control-9630594","Pest Control Services,Pest Control Services-Commercial & Industrial","http://www.preventivepestcontrol.com","","","Houston","TX","77041","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"28. ","EcoFirst Pest Control","(713) 681-7378","https://www.yellowpages.com/houston-tx/mip/ecofirst-pest-control-462600197","Pest Control Services","","","2400 Central Pkwy Ste H","Houston","TX","77092","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"29. ","BJ Watkins Pest Control","(713) 453-7734","https://www.yellowpages.com/houston-tx/mip/bj-watkins-pest-control-3094159","Pest Control Services","http://www.bjwatkinspestcontrol.com/quotes.html","","1114 Uvalde Rd","Houston","TX","77015","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
"30. ","Accutrol Pest Management","(281) 987-0509","https://www.yellowpages.com/houston-tx/mip/accutrol-pest-management-10078379","Pest Control Services,Bee Control & Removal Service,Animal Removal Services","http://accutrolpestmanagement.com","","11842 Plum Meadow Ln","Houston","TX","77039","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Houston,%20Texas"
