"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Tried  and True Termite and Pest Control","(256) 658-4201","https://www.yellowpages.com/huntsville-al/mip/tried-and-true-termite-and-pest-control-7494732?lid=1002097407128","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","https://www.triedandtruetermite.com","","104 Chase Hills","Huntsville","AL","35811","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"2. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/huntsville-al/mip/orkin-pest-termite-control-505540550?lid=1002085299321","Pest Control Services,Termite Control,Animal Removal Services","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","1035 Putman Dr NW Ste F","Huntsville","AL","35816","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"3. ","Goins, Ella V","(256) 837-6565","https://www.yellowpages.com/huntsville-al/mip/goins-ella-v-544208666?lid=1000709977639","Pest Control Services,Building Contractors,Waterproofing Contractors","","","797 Old Jim Williams Rd SW","Huntsville","AL","35824","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"4. ","Holder's Pest Control","(256) 508-7486","https://www.yellowpages.com/huntsville-al/mip/holders-pest-control-5527295?lid=1001433793469","Pest Control Services,Waterproofing Contractors,Termite Control","http://www.holderspestsolutions.com","","2125 Byrd Spring Rd SW","Huntsville","AL","35802","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"5. ","Bug Doctor","(256) 666-3734","https://www.yellowpages.com/nationwide/mip/bug-doctor-548695411?lid=1001997036144","Pest Control Services","http://bugdoctor911.com/","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"6. ","Defense Pest Solutions, LLC","(256) 642-7899","https://www.yellowpages.com/decatur-al/mip/defense-pest-solutions-llc-535248317?lid=1002036438963","Pest Control Services","http://www.DefensePestSolutions.com","","401 14th St SE","Decatur","AL","35601","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"7. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"8. ","Madison County Termite Services","(256) 651-7608","https://www.yellowpages.com/new-market-al/mip/madison-county-termite-services-470490765?lid=1002073509249","Pest Control Services,Termite Control,Inspection Service","","","5908 Maysville Rd","New Market","AL","35761","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"9. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"10. ","Sam The Bugman","(256) 228-6464","https://www.yellowpages.com/section-al/mip/sam-the-bugman-1455426?lid=1001410107042","Pest Control Services,Real Estate Inspection Service,Air Conditioning Equipment & Systems","http://www.samthebugman.com","","5136 Tammy Little Dr","Section","AL","35771","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"11. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417057","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"12. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042099","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"13. ","TurfKeeper","(256) 776-4555","https://www.yellowpages.com/nationwide/mip/turfkeeper-21876391?lid=1000581344469","Pest Control Services,Spraying Equipment,Landscaping & Lawn Services","https://www.turfkeeperinc.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"14. ","Crown Service Of AL LLC","(256) 701-7095","https://www.yellowpages.com/huntsville-al/mip/crown-service-of-al-llc-547427780","Pest Control Services,Termite Control","","","706 Rison Ave NE","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"15. ","A+ Pest Control","(256) 850-4423","https://www.yellowpages.com/huntsville-al/mip/a-pest-control-495830873","Pest Control Services,Pest Control Services-Commercial & Industrial","http://www.myapluspest.com","","12025 Chicamauga Trl Se","Huntsville","AL","35803","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"16. ","Best Pest Control","(256) 253-5879","https://www.yellowpages.com/huntsville-al/mip/best-pest-control-552476423","Pest Control Services","","","2309 Clinton Ave W","Huntsville","AL","35805","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"17. ","Mosquito Squad of Huntsville - Northern Alabama","(256) 907-8493","https://www.yellowpages.com/huntsville-al/mip/mosquito-squad-of-huntsville-northern-alabama-565150855","Pest Control Services","http://www.mosquitosquad.com/huntsville","","1305B Fletcher St NW","Huntsville","AL","35801","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
"18. ","Professional Pest Control","(256) 253-5879","https://www.yellowpages.com/huntsville-al/mip/professional-pest-control-552483954","Pest Control Services","","","2611 University Dr NW","Huntsville","AL","35816","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Huntsville,%20Alabama"
