"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Newport Exterminating","(949) 743-3889","https://www.yellowpages.com/irvine-ca/mip/newport-exterminating-549909688?lid=171692579","Pest Control Services,Bee Control & Removal Service,Termite Control","http://newportexterminating.com","","16661 Millikan Ave","Irvine","CA","92606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Irvine,%20California"
"2. ","Newport Exterminating","(949) 529-3736","https://www.yellowpages.com/irvine-ca/mip/newport-exterminating-2047210?lid=1002004642166","Pest Control Services,Pest Control Equipment & Supplies,Bee Control & Removal Service","http://www.newportexterminating.com","","16661 Millikan Ave","Irvine","CA","92606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Irvine,%20California"
"3. ","Clark Pest Control","(877) 772-3989","https://www.yellowpages.com/nationwide/mip/clark-pest-control-30426665?lid=1002046843880","Pest Control Services,Landscaping & Lawn Services,Lawn Maintenance","http://www.clarkpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Irvine,%20California"
"4. ","Ecola Termite and Pest Control Services","(805) 206-3991","https://www.yellowpages.com/nationwide/mip/ecola-termite-and-pest-control-services-564773920?lid=1002081796046","Pest Control Services,Insect Control Devices,Bird Barriers, Repellents & Controls","https://www.ecolatermite.com/?=16","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Irvine,%20California"
"5. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Irvine,%20California"
"6. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697597","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Irvine,%20California"
"7. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Irvine,%20California"
"8. ","Clark Pest Control","(949) 220-2952","https://www.yellowpages.com/lake-forest-ca/mip/clark-pest-control-545255696?lid=1002041485826","Pest Control Services,Bee Control & Removal Service,Termite Control","http://api.citygridmedia.com/content/places/v2/click?q=urVBa6moXC5S9VPyC16BYBn_NxLXMVobS_8vbcyI69_gxb4CfBJy9OKohTker_VRQUs_rkabzY8Aw-E7wg8PzxGIRE6Qeb1zffG2kRjt9wW32cq9uCECkL8wpv5bmgpnApYw8Hv5i9aH2dq7yVWxPwwIrZe_Au5IurgHUvLu5wEmR1jcTLTjdjxRpY06Ye_hjkFTpYnZO-uBMakHT50ynjJrqoVuh3kxy0KMO3diajEIaih4TXzr_TiEGCuwW4PLHXS0xMkye8pQn6AvyrFYQqHdqL1Hb9AisAwAldS_DaRf0p34VHGcA2h4k-stcGa1tqL2fkWTEuLPjxWkt_bwSiflpwydT62BP4PAXPXELe-8E2XbayIUFdD7t0WLzGDYfLToLDFolUsdMlVE8qFO_Kn3Tewzutd1w4DaqYVCsLjUg876MJkp4GgG42pgFx5r","","26822 Vista Ter","Lake Forest","CA","92630","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Irvine,%20California"
"9. ","Bee Removers","(888) 714-8240","https://www.yellowpages.com/nationwide/mip/bee-removers-474065684?lid=1001185262889","Pest Control Services,Bee Control & Removal Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Irvine,%20California"
"10. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417187","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Irvine,%20California"
