"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","B & B Exterminating Co Inc","(904) 516-9329","https://www.yellowpages.com/jacksonville-fl/mip/b-b-exterminating-co-inc-13461560?lid=157783890","Pest Control Services,Landscaping & Lawn Services,Bee Control & Removal Service","http://www.bandbexterminating.com","","215 Osceola St","Jacksonville","FL","32204","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jacksonville,%20Florida"
"2. ","Bug Away Specialists Inc","(904) 479-2158","https://www.yellowpages.com/jacksonville-fl/mip/bug-away-specialists-inc-21780083?lid=178622306","Pest Control Services,Landscaping & Lawn Services,Pest Control Equipment & Supplies","http://www.4bugaway.com","","11318 Distribution Ave W","Jacksonville","FL","32256","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jacksonville,%20Florida"
"3. ","Maxlawn","(904) 724-4769","https://www.yellowpages.com/jacksonville-fl/mip/maxlawn-480070901?lid=1001532796367","Pest Control Services,Landscaping & Lawn Services,Lawn Maintenance","http://www.maxlawncorp.com","","318 Mill Creek Rd","Jacksonville","FL","32211","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jacksonville,%20Florida"
"4. ","Trusted Lawn Care","(904) 483-9865","https://www.yellowpages.com/jacksonville-fl/mip/trusted-lawn-care-542631210?lid=1002102702683","Pest Control Services,Attorneys,Landscaping & Lawn Services","http://www.tlctrustedlawncare.com","","6655 Blanding Blvd","Jacksonville","FL","32244","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jacksonville,%20Florida"
"5. ","Pro Care Lawn & Pest","(904) 469-0772","https://www.yellowpages.com/jacksonville-fl/mip/pro-care-lawn-pest-16921173?lid=1002067867828","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","","","6672 Columbia Park Dr S","Jacksonville","FL","32258","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jacksonville,%20Florida"
"6. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/jacksonville-fl/mip/orkin-pest-termite-control-471942382?lid=1002079891439","Pest Control Services,Termite Control,Animal Removal Services","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","529 Stuart Ln","Jacksonville","FL","32254","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jacksonville,%20Florida"
"7. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/jacksonville-fl/mip/orkin-pest-termite-control-565952162?lid=1002085299298","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","11200 St Johns Industrial Pkwy S","Jacksonville","FL","32246","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jacksonville,%20Florida"
"8. ","Turner Pest Control","(904) 355-5300","https://www.yellowpages.com/jacksonville-fl/mip/turner-pest-control-506753260?lid=1000996151277","Pest Control Services,Pest Control Equipment & Supplies,Landscaping & Lawn Services","http://www.turnerpest.com","","8400 Baymeadows Way","Jacksonville","FL","32256","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jacksonville,%20Florida"
"9. ","Knockout Pest Elimination","(904) 739-2989","https://www.yellowpages.com/jacksonville-fl/mip/knockout-pest-elimination-465729740?lid=1001115618968","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.knockoutpestcontroljacksonville.com","","3491 Pall Mall Dr","Jacksonville","FL","32257","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jacksonville,%20Florida"
"10. ","B & B Exterminating Co Inc","(904) 516-9338","https://www.yellowpages.com/jacksonville-fl/mip/b-b-exterminating-co-inc-451427387?lid=158641233","Pest Control Services,Termite Control,Landscape Designers & Consultants","http://www.bandbexterminating.com","","215 Osceola St","Jacksonville","FL","32204","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jacksonville,%20Florida"
