"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"2. ","Bayonne  Exterminating Co","(201) 243-4919","https://www.yellowpages.com/bayonne-nj/mip/bayonne-exterminating-co-2052262?lid=1002004583836","Pest Control Services,Pest Control Equipment & Supplies,Pest Control Services-Commercial & Industrial","http://bayexco.com","","1065 Avenue C","Bayonne","NJ","07002","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"3. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"4. ","Trimblett & Sons Exterminating","(201) 932-0719","https://www.yellowpages.com/secaucus-nj/mip/trimblett-sons-exterminating-14805081?lid=1002004640579","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://www.trimsons.com","","","Secaucus","NJ","07094","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"5. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417047","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"6. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042069","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"7. ","Western Pest Services","(888) 314-5910","https://www.yellowpages.com/jersey-city-nj/mip/western-pest-services-452157430","Pest Control Services,Bee Control & Removal Service,Termite Control","http://www.westernpest.com","","100 Marin Blvd","Jersey City","NJ","07302","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"8. ","pros in control pest services","(718) 880-7995","https://www.yellowpages.com/jersey-city-nj/mip/pros-in-control-pest-services-541902417","Pest Control Services","http://www.pestcontrolnearyou.com/p/citygrid2/pros-in-control-pest-services-inc-new-york-new-york.html","","28 Duncan Ave","Jersey City","NJ","07304","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"9. ","Jersey City Pest Control","(201) 425-1570","https://www.yellowpages.com/jersey-city-nj/mip/jersey-city-pest-control-550721480","Pest Control Services","http://jerseycity-exterminator.com","","181 Sip Ave","Jersey City","NJ","07306","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"10. ","Pest Control Services in Jersey City NJ","(201) 627-3351","https://www.yellowpages.com/jersey-city-nj/mip/pest-control-services-in-jersey-city-nj-556731283","Pest Control Services","","","524 Mercer St","Jersey City","NJ","07306","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"11. ","Local A 1 Pest Control","(201) 627-3351","https://www.yellowpages.com/jersey-city-nj/mip/local-a-1-pest-control-552260213","Pest Control Services","","","474 West Side Ave","Jersey City","NJ","07304","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"12. ","Tap Out Pest Control","(201) 736-4802","https://www.yellowpages.com/jersey-city-nj/mip/tap-out-pest-control-533754950","Pest Control Services","http://www.tapoutpestcontrol.com","","342 Saint Pauls Ave","Jersey City","NJ","07306","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"13. ","Professional  Pest Control Services in  Jersey City NJ","(201) 627-3351","https://www.yellowpages.com/jersey-city-nj/mip/professional-pest-control-services-in-jersey-city-nj-552263777","Pest Control Services","","","463 Pacific Ave","Jersey City","NJ","07304","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"14. ","Pest Control IN Jersey City NJ","(201) 627-3351","https://www.yellowpages.com/jersey-city-nj/mip/pest-control-in-jersey-city-nj-552263792","Pest Control Services","","","50 Christopher Columbus Dr","Jersey City","NJ","07302","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"15. ","VISION TECH SOLUTIONS INC","(201) 668-6326","https://www.yellowpages.com/jersey-city-nj/mip/vision-tech-solutions-inc-481377734","Pest Control Services,Pest Control Services-Commercial & Industrial","","","789 Newark Ave","Jersey city","NJ","07306","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"16. ","Trident Travel & Tours","(201) 369-9133","https://www.yellowpages.com/jersey-city-nj/mip/trident-travel-tours-522524802","Pest Control Services","","","761 Montgomery St Ste 3","Jersey City","NJ","07306","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"17. ","Pest Control Equipment & Supplies","(201) 201-1212","https://www.yellowpages.com/jersey-city-nj/mip/pest-control-equipment-supplies-567071809","Pest Control Services","","","4 Highland Ave","Jersey City","NJ","07306","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
"18. ","Bee Control & Removal Service","(201) 201-0264","https://www.yellowpages.com/jersey-city-nj/mip/bee-control-removal-service-550688566","Pest Control Services","","","662 Communipaw Ave","Jersey City","NJ","07304","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Jersey%20City,%20New%20Jersey"
