"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Nu-Life Laboratories","(913) 871-6015","https://www.yellowpages.com/kansas-city-mo/mip/nu-life-laboratories-537137216?lid=1002077246405","Pest Control Services,Cleaning Contractors,Janitors Equipment & Supplies","https://www.nu-lifelabs.com","","1501 W 31st St","Kansas City","MO","64108","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Kansas%20City,%20Missouri"
"2. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Kansas%20City,%20Missouri"
"3. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Kansas%20City,%20Missouri"
"4. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417062","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Kansas%20City,%20Missouri"
"5. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042087","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Kansas%20City,%20Missouri"
"6. ","Certified Termite & Pest Control","(816) 322-3109","https://www.yellowpages.com/raymore-mo/mip/certified-termite-pest-control-14895621?lid=1001988914323","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","","","","Raymore","MO","64083","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Kansas%20City,%20Missouri"
"7. ","Cole Termite & Pest Control, Inc.","(816) 737-1031","https://www.yellowpages.com/kansas-city-mo/mip/cole-termite-pest-control-inc-8406528","Pest Control Services,Spraying Equipment,Termite Control","http://www.colepestcontrol.com","","11705 E State Route 350 Ste B","Kansas City","MO","64138","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Kansas%20City,%20Missouri"
"8. ","All Pro Pest Cont Service","(816) 464-5128","https://www.yellowpages.com/kansas-city-mo/mip/all-pro-pest-cont-service-469765664","Pest Control Services","","","9200 NW 119th Ter","Kansas City","MO","64153","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Kansas%20City,%20Missouri"
"9. ","Schedndel Pest Control","(816) 356-3380","https://www.yellowpages.com/kansas-city-mo/mip/schedndel-pest-control-882856","Pest Control Services,Bee Control & Removal Service,Bird Barriers, Repellents & Controls","http://www.schendelpestcontrol.com","","10407 Blue Ridge Blvd","Kansas City","MO","64134","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Kansas%20City,%20Missouri"
"10. ","S & S Pest Control","(816) 561-7378","https://www.yellowpages.com/kansas-city-mo/mip/s-s-pest-control-462111333","Pest Control Services,Animal Removal Services","http://www.kansascity-pestcontrol.com","","3109 Charlotte St","Kansas City","MO","64109","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Kansas%20City,%20Missouri"
