"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Bulwark Exterminating - Pest & Scorpion Control","(702) 425-5430","https://www.yellowpages.com/las-vegas-nv/mip/bulwark-exterminating-pest-scorpion-control-465135500?lid=182006355","Pest Control Services","http://www.bulwarkpestcontrol.com/landing/las-vegas.php","","2121 Industrial Rd Ste 205","Las Vegas","NV","89102","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"2. ","Champion Pest Control","(702) 847-7346","https://www.yellowpages.com/las-vegas-nv/mip/champion-pest-control-23353905?lid=1001920993600","Pest Control Services,Home Improvements,Pest Control Services-Commercial & Industrial","","","","Las Vegas","NV","89119","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"3. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/las-vegas-nv/mip/orkin-pest-termite-control-471938143?lid=1002080468243","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","5740 Arville St Ste 201","Las Vegas","NV","89118","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"4. ","Battle Born Pigeon Control","(702) 375-2801","https://www.yellowpages.com/las-vegas-nv/mip/battle-born-pigeon-control-480607257?lid=1001658737893","Pest Control Services,Pest Control Services-Commercial & Industrial,Animal Removal Services","http://www.battlebornpigeoncontrol.com","","3310 China Dr","Las Vegas","NV","89121","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"5. ","Las Vegas Pest Control","(702) 369-2847","https://www.yellowpages.com/las-vegas-nv/mip/las-vegas-pest-control-1167959?lid=1000437171582","Pest Control Services,Bird Barriers, Repellents & Controls","http://369bugs.com","","","Las Vegas","NV","89102","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"6. ","Surefire Pest Control","(702) 423-7463","https://www.yellowpages.com/las-vegas-nv/mip/surefire-pest-control-526026173?lid=1001478986313","Pest Control Services,Bird Barriers, Repellents & Controls,Pest Control Services-Commercial & Industrial","https://www.surefirelvpestcontrol.com","","","Las Vegas","NV","89143","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"7. ","Environmental Pest Control","(702) 655-2257","https://www.yellowpages.com/las-vegas-nv/mip/environmental-pest-control-5904642?lid=1000892112252","Pest Control Services,Pest Control Equipment & Supplies,Bee Control & Removal Service","http://superpages.dex-digital.com/PCRLrreXV58","","","Las Vegas","NV","89130","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"8. ","Bee Master Of Las Vegas","(702) 457-6700","https://www.yellowpages.com/las-vegas-nv/mip/bee-master-of-las-vegas-546628390?lid=1002004290167","Pest Control Services,Stump Removal & Grinding,Landscaping & Lawn Services","https://www.beemasterlv.com","","2280 N Gateway Rd","Las Vegas","NV","89115","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"9. ","Delcon Termite & Pest Control","(702) 656-0455","https://www.yellowpages.com/las-vegas-nv/mip/delcon-termite-pest-control-20909735?lid=1000629169257","Pest Control Services,Bee Control & Removal Service","http://www.delconpestcontrol.com","","2410 N Decatur Blvd Ste 115","Las Vegas","NV","89108","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"10. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"11. ","AA Frugal Pest Control","(702) 666-6365","https://www.yellowpages.com/henderson-nv/mip/aa-frugal-pest-control-16183561?lid=1002046834220","Pest Control Services,Tourist Information & Attractions,Animal Shows & Organizations","http://www.frugalpestcontrol.com","","410 Crater Ct","Henderson","NV","89014","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"12. ","Swat Bug Killers","(702) 608-2803","https://www.yellowpages.com/north-las-vegas-nv/mip/swat-bug-killers-458051871?lid=1002042935753","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.swatbugkillerspestcontrol.com","","3520 Coleman St","North Las Vegas","NV","89032","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"13. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"14. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417052","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"15. ","Payless Pest Control","(702) 748-8588","https://www.yellowpages.com/nationwide/mip/payless-pest-control-463679952?lid=1001781836544","Pest Control Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"16. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042133","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"17. ","Intrusion Pest Control","(702) 280-4549","https://www.yellowpages.com/las-vegas-nv/mip/intrusion-pest-control-15995829","Pest Control Services","http://www.intrusionpest.com","","10620 Southern Highlands Pkwy #110-448","Las Vegas","NV","89141","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"18. ","Aptive Environmental","(702) 359-2847","https://www.yellowpages.com/las-vegas-nv/mip/aptive-environmental-525640884","Pest Control Services","https://www.goaptive.com?cid=yp","","5190 S Valley View Blvd","Las Vegas","NV","89118","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
"19. ","Alterra Pest Control","(702) 736-7378","https://www.yellowpages.com/las-vegas-nv/mip/alterra-pest-control-506562112","Pest Control Services,Pest Control Services-Commercial & Industrial","http://www.alterrapest.com","","5190 S Valley View Blvd Ste 106","Las Vegas","NV","89118","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Las%20Vegas,%20Nevada"
