"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Meers Pest Solutions","(806) 416-5494","https://www.yellowpages.com/lubbock-tx/mip/meers-pest-solutions-517105867?lid=1001681748679","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://www.meerspestsolutions.com/","","9606 Highway 87","Lubbock","TX","79423","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"2. ","Terminix Termite & Pest Control","(806) 370-7739","https://www.yellowpages.com/lubbock-tx/mip/terminix-termite-pest-control-470286083?lid=1001359717283","Pest Control Services,Handyman Services,Spraying Equipment","http://www.terminix.com","","5212 Marsha Sharp Fwy","Lubbock","TX","79407","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"3. ","Quality Pest Control","(806) 745-6922","https://www.yellowpages.com/lubbock-tx/mip/quality-pest-control-544544385?lid=1001527270675","Pest Control Services,Tree Service,Weed Control Service","http://www.qualitypestcontrollubbock.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"4. ","Ace Spray Equipment","(806) 747-9852","https://www.yellowpages.com/lubbock-tx/mip/ace-spray-equipment-5615731?lid=1001585093850","Pest Control Services,Farm Equipment,Construction & Building Equipment","http://sprayequipmentlubbock.com/","","1802 Erskine St","Lubbock","TX","79415","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"5. ","Pest Management Services","(806) 794-4567","https://www.yellowpages.com/lubbock-tx/mip/pest-management-services-461701689?lid=1000439619370","Pest Control Services,Spraying Equipment,Termite Control","http://pestmantexas.com","","6613 Quincy Ave","Lubbock","TX","79424","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"6. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"7. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697625","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"8. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"9. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417257","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"10. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042075","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"11. ","Pest Pro Pest Control Services","(806) 777-1333","https://www.yellowpages.com/shallowater-tx/mip/pest-pro-pest-control-services-508918438?lid=1001359716256","Pest Control Services","","","PO Box 511","Shallowater","TX","79363","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"12. ","Pinkston's Pest Control","(806) 796-1084","https://www.yellowpages.com/nationwide/mip/pinkstons-pest-control-16385633?lid=1001681752151","Pest Control Services,Pest Control Services-Commercial & Industrial,Bee Control & Removal Service","http://www.pinkstonspestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"13. ","Quality Pest Control","(806) 319-8196","https://www.yellowpages.com/lubbock-tx/mip/quality-pest-control-558902833?lid=1002063855091","Pest Control Services,Pest Control Equipment & Supplies","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653460484114.504e4f01&ADID=12036345&DEST=http%3A%2F%2Fqualitypestcontrollubbock.mydex.com%2FxbbSMerK7iY&C=Pest%20Control&T=Lubbock&S=TX&PH=(806)%20319-8196&FL=url&TL=off&position=12&PS=30&PI=1&Results=FEED_CLCK&uid=504e4f01-d601-4ae1-b065-b8c35f2b5a1c&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","8602 Peach Ave","Lubbock","TX","79404","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
"14. ","Terminix","(806) 686-3060","https://www.yellowpages.com/lubbock-tx/mip/terminix-567133884?lid=1002064118226","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653460484115.504e4f01&ADID=12040931&DEST=http%3A%2F%2Fterminixlubbock.mydex.com%2Fl5PcLK-MY0M&C=Pest%20Control&T=Lubbock&S=TX&PH=(806)%20686-3060&FL=url&TL=off&position=13&PS=30&PI=1&Results=FEED_CLCK&uid=504e4f01-d601-4ae1-b065-b8c35f2b5a1c&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","5212 Marsha Sharp Fwy","Lubbock","TX","79407","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Lubbock,%20Texas"
