"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Abra Kadabra Environmental Services","(763) 537-0330","https://www.yellowpages.com/minneapolis-mn/mip/abra-kadabra-environmental-services-474487289?lid=1000800880526","Pest Control Services","https://abrakadabraenvironmental.com","","8009 Irving Ave N","Minneapolis","MN","55444","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"2. ","Adam's Pest Control","(800) 644-7810","https://www.yellowpages.com/nationwide/mip/adams-pest-control-495715761?lid=1001999203989","Pest Control Services,Pest Control Supply & Equipment-Wholesale & Manufacturers,Pest Control Equipment & Supplies","https://adamspestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"3. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"4. ","Wildlife Management Services","(612) 915-0979","https://www.yellowpages.com/nationwide/mip/wildlife-management-services-459514498?lid=1002082255441","Pest Control Services,Bird Barriers, Repellents & Controls,Pest Control Services-Commercial & Industrial","http://www.wmsmn.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"5. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"6. ","Paffy's Pest Control","(651) 393-9986","https://www.yellowpages.com/newport-mn/mip/paffys-pest-control-560698170?lid=1001900174621","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://www.paffyspestcontrol.com","","303 21st St","Newport","MN","55055","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"7. ","Badger Wildlife Management","(763) 317-1378","https://www.yellowpages.com/zimmerman-mn/mip/badger-wildlife-management-8717598?lid=1001884228031","Pest Control Services,Pest Control Equipment & Supplies,Chemicals","http://badgerwildlife.com","","29088 143rd St NW","Zimmerman","MN","55398","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"8. ","Be  There Pest Control","(612) 379-8300","https://www.yellowpages.com/saint-paul-mn/mip/be-there-pest-control-9903629?lid=1002070472350","Pest Control Services,Animal Shows & Organizations,Tourist Information & Attractions","https://be-there4you.com","","151 Silver Lake Rd NW","Saint Paul","MN","55112","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"9. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/eden-prairie-mn/mip/orkin-pest-termite-control-21867847?lid=1002079891521","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","9917 Valley View Rd","Eden Prairie","MN","55344","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"10. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417182","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"11. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042113","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"12. ","Buggs Pest Control","(612) 722-3770","https://www.yellowpages.com/minneapolis-mn/mip/buggs-pest-control-18775558","Pest Control Services,Animal Removal Services,Bee Control & Removal Service","http://www.buggspestcontrol.com","","","Minneapolis","MN","55443","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"13. ","Midwest Pest Management Inc","(952) 934-3880","https://www.yellowpages.com/minneapolis-mn/mip/midwest-pest-management-inc-467847378","Pest Control Services,Animal Removal Services","http://www.midwest-pest.com","","8534 Riverview Ln","Minneapolis","MN","55444","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"14. ","Rove Pest Control","(763) 445-9074","https://www.yellowpages.com/minneapolis-mn/mip/rove-pest-control-551074277","Pest Control Services,Insect Control Devices,Pest Control Services-Commercial & Industrial","https://www.rovepestcontrol.com/minneapolis-pest-control","","3014th Ave. South Suite 272H","Minneapolis","MN","55415","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"15. ","Terminix","(952) 314-8237","https://www.yellowpages.com/minneapolis-mn/mip/terminix-496729781","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://www.terminix.com","","6314 Cambridge St","Minneapolis","MN","55416","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"16. ","B & E Pest Control","(612) 558-8087","https://www.yellowpages.com/minneapolis-mn/mip/b-e-pest-control-463806151","Pest Control Services,Home Improvements,Energy Conservation Consultants","http://www.bepest.com","","3 E 38th St","Minneapolis","MN","55409","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"17. ","Green Exterminator Service","(612) 255-5415","https://www.yellowpages.com/minneapolis-mn/mip/green-exterminator-service-563717302","Pest Control Services","","","520 University Ave NE","Minneapolis","MN","55413","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"18. ","Thermal Devices","(763) 588-4450","https://www.yellowpages.com/minneapolis-mn/mip/thermal-devices-464041974","Pest Control Services","","","2560 Kyle Ave N","Minneapolis","MN","55422","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"19. ","Bat Tech","(218) 409-5495","https://www.yellowpages.com/minneapolis-mn/mip/bat-tech-540692717","Pest Control Services","https://www.battechbatremoval.com","","3818 Upton Ave N","Minneapolis","MN","55412","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"20. ","Residential Pest Control","(612) 467-9905","https://www.yellowpages.com/minneapolis-mn/mip/residential-pest-control-563716907","Pest Control Services","","","2143 77th St","Minneapolis","MN","55450","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"21. ","Rodents Exterminator Service","(612) 470-8702","https://www.yellowpages.com/minneapolis-mn/mip/rodents-exterminator-service-563719079","Pest Control Services","","","5201 Post Rd","Minneapolis","MN","55450","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"22. ","Bed Bug Terminators","(612) 246-6829","https://www.yellowpages.com/minneapolis-mn/mip/bed-bug-terminators-525100909","Pest Control Services","http://www.bedbugterminators.com","","MINNEAPOLIS Mn","Minneapolis","MN","55407","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
"23. ","Bed Bug Treatment & Pest Control Services","(612) 814-0055","https://www.yellowpages.com/minneapolis-mn/mip/bed-bug-treatment-pest-control-services-550772294","Pest Control Services","","","","Minneapolis","MN","55432","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Minneapolis,%20Minnesota"
