"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Newport Exterminating","(951) 293-0537","https://www.yellowpages.com/irvine-ca/mip/newport-exterminating-549912962?lid=1002004690301","Pest Control Services,Bee Control & Removal Service,Termite Control","http://www.newportexterminating.com","","16661 Millikan","Irvine","CA","92606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"2. ","Total Exterminating","(951) 638-0490","https://www.yellowpages.com/corona-ca/mip/total-exterminating-556212695?lid=1002042646237","Pest Control Services,Pest Control Equipment & Supplies,Bee Control & Removal Service","http://total-exterminating.com","","268 N Lincoln Ave Ste 2","Corona","CA","92882","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"3. ","Dragon Exterminators","(442) 256-6275","https://www.yellowpages.com/la-quinta-ca/mip/dragon-exterminators-564534786?lid=1002058172276","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","https://go.thryv.com/site/dragonexterminators","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"4. ","Clark Pest Control","(951) 289-3033","https://www.yellowpages.com/riverside-ca/mip/clark-pest-control-544943586?lid=1002079462395","Pest Control Services,Bee Control & Removal Service,Termite Control","http://www.clarkpest.com","","3403 Durahart St","Riverside","CA","92507","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"5. ","Powerful Pest Management","(442) 324-4734","https://www.yellowpages.com/palm-desert-ca/mip/powerful-pest-management-13182242?lid=1002045095050","Pest Control Services,Animal Removal Services,Pest Control Equipment & Supplies","http://www.powerfulpestmanagement.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"6. ","Frazier Pest Control Inc","(951) 335-0475","https://www.yellowpages.com/nationwide/mip/frazier-pest-control-inc-16170050?lid=1002020260433","Pest Control Services","http://www.frazierpestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"7. ","Compass Pest Management","(951) 688-8066","https://www.yellowpages.com/riverside-ca/mip/compass-pest-management-18405371?lid=1000707855871","Pest Control Services,Pest Control Services-Commercial & Industrial,Bee Control & Removal Service","http://www.bye2bugs.com","","5925 Rickenbacker Ave","Riverside","CA","92504","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"8. ","Busy Bee Chimney Sweep","(951) 681-0985","https://www.yellowpages.com/mira-loma-ca/mip/busy-bee-chimney-sweep-462017843?lid=1001442732287","Pest Control Services,Heating Equipment & Systems,Building Contractors","","","6107 Lucretia Ave","Mira Loma","CA","91752","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"9. ","Desert Web Inc.","(760) 592-8471","https://www.yellowpages.com/yuma-az/mip/desert-web-inc-469731174?lid=1001912188940","Pest Control Services,Bee Control & Removal Service,Termite Control","http://www.desertwebinc.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"10. ","Cliff's Pest Control Inc.","(909) 887-1862","https://www.yellowpages.com/san-bernardino-ca/mip/cliffs-pest-control-inc-542694062?lid=1001608506204","Pest Control Services,Bee Control & Removal Service","http://www.cliffspestcontrol.com","","3165 June St","San Bernardino","CA","92407","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"11. ","Gopher Patrol","(310) 909-7235","https://www.yellowpages.com/riverside-ca/mip/gopher-patrol-540724275?lid=1001069505955","Pest Control Services,Termite Control","","","12115 Magnolia Ave","Riverside","CA","92503","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"12. ","Clark Pest Control","(888) 208-4638","https://www.yellowpages.com/nationwide/mip/clark-pest-control-457906687?lid=1002045566175","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
"13. ","McIver's Exterminators","(951) 924-0767","https://www.yellowpages.com/moreno-valley-ca/mip/mcivers-exterminators-459021735","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://www.mciversexterminators.com","","24594 Sunnymead Blvd Ste V","Moreno Valley","CA","92553","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Moreno%20Valley,%20California"
